5.0, {'J01': -0.0, 'top_mgr': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -0.0, 'top_mgr': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -4.0, 'top_mgr': 0}, {'J01': 1}, {'J01': 2}, 
20.0, {'J01': -7.2, 'top_mgr': 3}, {'J01': 1}, {'J01': 3}, 
25.0, {'J01': -10.200000000000001, 'top_mgr': 2}, {'J01': 1}, {'J01': 3}, 
30.0, {'J01': -30.0, 'top_mgr': 0}, {'J01': 4}, {'J01': 10}, 
35.0, {'J01': -46.6, 'top_mgr': 3}, {'J01': 3}, {'J01': 12}, 
40.0, {'J01': -57.0, 'top_mgr': 3}, {'J01': 5}, {'J01': 12}, 
45.0, {'J01': -74.80000000000001, 'top_mgr': 1}, {'J01': 5}, {'J01': 17}, 
50.0, {'J01': -104.80000000000001, 'top_mgr': 1}, {'J01': 7}, {'J01': 22}, 
55.0, {'J01': -123.2, 'top_mgr': 3}, {'J01': 7}, {'J01': 25}, 
60.0, {'J01': -125.6, 'top_mgr': 4}, {'J01': 8}, {'J01': 23}, 
65.0, {'J01': -154.6, 'top_mgr': 3}, {'J01': 7}, {'J01': 24}, 
70.0, {'J01': -189.20000000000002, 'top_mgr': 0}, {'J01': 8}, {'J01': 27}, 
75.0, {'J01': -173.39999999999998, 'top_mgr': 7}, {'J01': 7}, {'J01': 24}, 
80.0, {'J01': -158.40000000000003, 'top_mgr': 7}, {'J01': 6}, {'J01': 19}, 
85.0, {'J01': -193.0, 'top_mgr': 0}, {'J01': 6}, {'J01': 25}, 
90.0, {'J01': -148.20000000000002, 'top_mgr': 6}, {'J01': 5}, {'J01': 20}, 
95.0, {'J01': -108.4, 'top_mgr': 11}, {'J01': 4}, {'J01': 14}, 
100.0, {'J01': -95.39999999999999, 'top_mgr': 9}, {'J01': 4}, {'J01': 12}, 
105.0, {'J01': -104.00000000000001, 'top_mgr': 7}, {'J01': 4}, {'J01': 14}, 
110.0, {'J01': -147.99999999999997, 'top_mgr': 0}, {'J01': 4}, {'J01': 22}, 
115.0, {'J01': -192.99999999999997, 'top_mgr': 0}, {'J01': 7}, {'J01': 31}, 
120.0, {'J01': -208.8, 'top_mgr': 6}, {'J01': 7}, {'J01': 31}, 
125.0, {'J01': -201.8, 'top_mgr': 14}, {'J01': 4}, {'J01': 22}, 
130.0, {'J01': -232.4, 'top_mgr': 3}, {'J01': 4}, {'J01': 24}, 
135.0, {'J01': -274.4, 'top_mgr': 0}, {'J01': 4}, {'J01': 26}, 
140.0, {'J01': -300.6, 'top_mgr': 3}, {'J01': 7}, {'J01': 33}, 
145.0, {'J01': -332.8, 'top_mgr': 1}, {'J01': 8}, {'J01': 37}, 
150.0, {'J01': -377.8, 'top_mgr': 1}, {'J01': 8}, {'J01': 42}, 
155.0, {'J01': -380.0, 'top_mgr': 7}, {'J01': 7}, {'J01': 36}, 
160.0, {'J01': -403.19999999999993, 'top_mgr': 5}, {'J01': 6}, {'J01': 31}, 
165.0, {'J01': -393.8, 'top_mgr': 9}, {'J01': 6}, {'J01': 27}, 
170.0, {'J01': -376.6, 'top_mgr': 5}, {'J01': 6}, {'J01': 27}, 
175.0, {'J01': -332.00000000000006, 'top_mgr': 5}, {'J01': 4}, {'J01': 28}, 
180.0, {'J01': -239.8, 'top_mgr': 8}, {'J01': 7}, {'J01': 29}, 
185.0, {'J01': -280.8, 'top_mgr': 0}, {'J01': 8}, {'J01': 33}, 
190.0, {'J01': -281.00000000000006, 'top_mgr': 3}, {'J01': 8}, {'J01': 32}, 
195.0, {'J01': -317.8, 'top_mgr': 1}, {'J01': 8}, {'J01': 35}, 
200.0, {'J01': -338.80000000000007, 'top_mgr': 4}, {'J01': 8}, {'J01': 35}, 
205.0, {'J01': -367.00000000000006, 'top_mgr': 3}, {'J01': 7}, {'J01': 34}, 
210.0, {'J01': -393.20000000000005, 'top_mgr': 2}, {'J01': 7}, {'J01': 34}, 
215.0, {'J01': -366.20000000000005, 'top_mgr': 9}, {'J01': 7}, {'J01': 26}, 
220.0, {'J01': -257.20000000000005, 'top_mgr': 12}, {'J01': 4}, {'J01': 15}, 
225.0, {'J01': -273.6, 'top_mgr': 8}, {'J01': 4}, {'J01': 12}, 
230.0, {'J01': -223.20000000000005, 'top_mgr': 9}, {'J01': 4}, {'J01': 9}, 
235.0, {'J01': -243.20000000000005, 'top_mgr': 7}, {'J01': 4}, {'J01': 9}, 
240.0, {'J01': -264.20000000000005, 'top_mgr': 8}, {'J01': 4}, {'J01': 10}, 
245.0, {'J01': -284.20000000000005, 'top_mgr': 5}, {'J01': 4}, {'J01': 10}, 
250.0, {'J01': -305.20000000000005, 'top_mgr': 7}, {'J01': 4}, {'J01': 11}, 
255.0, {'J01': -325.20000000000005, 'top_mgr': 3}, {'J01': 4}, {'J01': 11}, 
260.0, {'J01': -320.0, 'top_mgr': 3}, {'J01': 4}, {'J01': 13}, 
265.0, {'J01': -287.40000000000003, 'top_mgr': 3}, {'J01': 4}, {'J01': 13}, 
270.0, {'J01': -312.2, 'top_mgr': 1}, {'J01': 4}, {'J01': 15}, 
275.0, {'J01': -297.0, 'top_mgr': 9}, {'J01': 4}, {'J01': 9}, 
280.0, {'J01': -318.0, 'top_mgr': 7}, {'J01': 4}, {'J01': 12}, 
285.0, {'J01': -333.4, 'top_mgr': 4}, {'J01': 4}, {'J01': 11}, 
