5.0, {'J01': -0.0, 'top_mgr': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -1.8, 'top_mgr': 0}, {'J01': 1}, {'J01': 1}, 
15.0, {'J01': -9.8, 'top_mgr': 3}, {'J01': 3}, {'J01': 4}, 
20.0, {'J01': -18.8, 'top_mgr': 3}, {'J01': 4}, {'J01': 5}, 
25.0, {'J01': -28.8, 'top_mgr': 1}, {'J01': 4}, {'J01': 6}, 
30.0, {'J01': -27.8, 'top_mgr': 3}, {'J01': 3}, {'J01': 6}, 
35.0, {'J01': -31.8, 'top_mgr': 3}, {'J01': 2}, {'J01': 8}, 
40.0, {'J01': -55.2, 'top_mgr': 2}, {'J01': 3}, {'J01': 12}, 
45.0, {'J01': -81.0, 'top_mgr': 2}, {'J01': 4}, {'J01': 16}, 
50.0, {'J01': -88.8, 'top_mgr': 6}, {'J01': 4}, {'J01': 17}, 
55.0, {'J01': -121.99999999999999, 'top_mgr': 6}, {'J01': 3}, {'J01': 16}, 
60.0, {'J01': -101.0, 'top_mgr': 8}, {'J01': 2}, {'J01': 12}, 
65.0, {'J01': -148.0, 'top_mgr': 2}, {'J01': 3}, {'J01': 19}, 
70.0, {'J01': -193.0, 'top_mgr': 0}, {'J01': 6}, {'J01': 24}, 
75.0, {'J01': -229.20000000000005, 'top_mgr': 2}, {'J01': 8}, {'J01': 30}, 
80.0, {'J01': -269.6, 'top_mgr': 4}, {'J01': 8}, {'J01': 31}, 
85.0, {'J01': -314.6, 'top_mgr': 3}, {'J01': 8}, {'J01': 32}, 
90.0, {'J01': -360.00000000000006, 'top_mgr': 1}, {'J01': 8}, {'J01': 33}, 
95.0, {'J01': -281.20000000000005, 'top_mgr': 8}, {'J01': 7}, {'J01': 31}, 
100.0, {'J01': -324.40000000000003, 'top_mgr': 1}, {'J01': 7}, {'J01': 31}, 
105.0, {'J01': -306.8, 'top_mgr': 3}, {'J01': 7}, {'J01': 32}, 
110.0, {'J01': -280.8, 'top_mgr': 5}, {'J01': 8}, {'J01': 33}, 
115.0, {'J01': -314.00000000000006, 'top_mgr': 2}, {'J01': 8}, {'J01': 33}, 
120.0, {'J01': -365.00000000000006, 'top_mgr': 0}, {'J01': 8}, {'J01': 39}, 
125.0, {'J01': -377.80000000000007, 'top_mgr': 4}, {'J01': 8}, {'J01': 38}, 
130.0, {'J01': -397.00000000000006, 'top_mgr': 3}, {'J01': 8}, {'J01': 35}, 
135.0, {'J01': -416.80000000000007, 'top_mgr': 2}, {'J01': 8}, {'J01': 35}, 
140.0, {'J01': -464.20000000000005, 'top_mgr': 0}, {'J01': 8}, {'J01': 41}, 
145.0, {'J01': -511.2000000000001, 'top_mgr': 1}, {'J01': 9}, {'J01': 44}, 
150.0, {'J01': -452.0000000000001, 'top_mgr': 9}, {'J01': 7}, {'J01': 38}, 
155.0, {'J01': -473.2000000000001, 'top_mgr': 6}, {'J01': 6}, {'J01': 34}, 
160.0, {'J01': -522.4000000000001, 'top_mgr': 1}, {'J01': 6}, {'J01': 39}, 
165.0, {'J01': -542.6, 'top_mgr': 4}, {'J01': 7}, {'J01': 40}, 
170.0, {'J01': -502.6000000000001, 'top_mgr': 8}, {'J01': 9}, {'J01': 38}, 
175.0, {'J01': -443.80000000000007, 'top_mgr': 13}, {'J01': 6}, {'J01': 27}, 
180.0, {'J01': -349.20000000000005, 'top_mgr': 9}, {'J01': 4}, {'J01': 22}, 
185.0, {'J01': -366.8, 'top_mgr': 11}, {'J01': 4}, {'J01': 20}, 
190.0, {'J01': -304.2, 'top_mgr': 5}, {'J01': 4}, {'J01': 22}, 
195.0, {'J01': -331.4, 'top_mgr': 1}, {'J01': 4}, {'J01': 30}, 
200.0, {'J01': -369.2, 'top_mgr': 3}, {'J01': 7}, {'J01': 32}, 
205.0, {'J01': -318.0, 'top_mgr': 2}, {'J01': 8}, {'J01': 38}, 
210.0, {'J01': -321.99999999999994, 'top_mgr': 2}, {'J01': 8}, {'J01': 39}, 
215.0, {'J01': -333.20000000000005, 'top_mgr': 5}, {'J01': 8}, {'J01': 34}, 
220.0, {'J01': -303.00000000000006, 'top_mgr': 6}, {'J01': 7}, {'J01': 29}, 
225.0, {'J01': -271.00000000000006, 'top_mgr': 11}, {'J01': 5}, {'J01': 24}, 
230.0, {'J01': -290.8, 'top_mgr': 6}, {'J01': 4}, {'J01': 23}, 
235.0, {'J01': -304.2, 'top_mgr': 4}, {'J01': 4}, {'J01': 20}, 
240.0, {'J01': -311.8, 'top_mgr': 10}, {'J01': 4}, {'J01': 16}, 
245.0, {'J01': -298.8, 'top_mgr': 6}, {'J01': 3}, {'J01': 14}, 
250.0, {'J01': -323.8, 'top_mgr': 1}, {'J01': 3}, {'J01': 21}, 
255.0, {'J01': -350.2, 'top_mgr': 3}, {'J01': 6}, {'J01': 27}, 
260.0, {'J01': -303.79999999999995, 'top_mgr': 7}, {'J01': 7}, {'J01': 24}, 
265.0, {'J01': -324.4, 'top_mgr': 5}, {'J01': 6}, {'J01': 24}, 
270.0, {'J01': -211.0, 'top_mgr': 5}, {'J01': 6}, {'J01': 25}, 
275.0, {'J01': -248.2, 'top_mgr': 1}, {'J01': 6}, {'J01': 30}, 
280.0, {'J01': -255.00000000000003, 'top_mgr': 6}, {'J01': 8}, {'J01': 32}, 
285.0, {'J01': -263.20000000000005, 'top_mgr': 5}, {'J01': 8}, {'J01': 28}, 
290.0, {'J01': -276.4, 'top_mgr': 6}, {'J01': 7}, {'J01': 29}, 
295.0, {'J01': -286.0, 'top_mgr': 5}, {'J01': 7}, {'J01': 26}, 
300.0, {'J01': -287.40000000000003, 'top_mgr': 3}, {'J01': 7}, {'J01': 27}, 
305.0, {'J01': -321.6, 'top_mgr': 3}, {'J01': 8}, {'J01': 30}, 
310.0, {'J01': -338.00000000000006, 'top_mgr': 8}, {'J01': 7}, {'J01': 29}, 
315.0, {'J01': -372.40000000000003, 'top_mgr': 2}, {'J01': 7}, {'J01': 30}, 
320.0, {'J01': -384.8, 'top_mgr': 7}, {'J01': 6}, {'J01': 24}, 
325.0, {'J01': -393.8, 'top_mgr': 1}, {'J01': 6}, {'J01': 31}, 
330.0, {'J01': -402.20000000000005, 'top_mgr': 6}, {'J01': 5}, {'J01': 26}, 
335.0, {'J01': -424.40000000000003, 'top_mgr': 6}, {'J01': 4}, {'J01': 26}, 
340.0, {'J01': -429.80000000000007, 'top_mgr': 7}, {'J01': 4}, {'J01': 21}, 
345.0, {'J01': -344.40000000000003, 'top_mgr': 10}, {'J01': 4}, {'J01': 15}, 
350.0, {'J01': -366.6, 'top_mgr': 9}, {'J01': 4}, {'J01': 16}, 
355.0, {'J01': -390.6, 'top_mgr': 8}, {'J01': 4}, {'J01': 16}, 
360.0, {'J01': -419.0, 'top_mgr': 4}, {'J01': 4}, {'J01': 19}, 
365.0, {'J01': -439.6, 'top_mgr': 6}, {'J01': 4}, {'J01': 17}, 
370.0, {'J01': -442.6, 'top_mgr': 6}, {'J01': 4}, {'J01': 17}, 
375.0, {'J01': -452.20000000000005, 'top_mgr': 5}, {'J01': 4}, {'J01': 14}, 
380.0, {'J01': -479.20000000000005, 'top_mgr': 4}, {'J01': 4}, {'J01': 17}, 
385.0, {'J01': -413.2, 'top_mgr': 3}, {'J01': 4}, {'J01': 17}, 
390.0, {'J01': -445.6000000000001, 'top_mgr': 2}, {'J01': 5}, {'J01': 25}, 
395.0, {'J01': -493.2000000000001, 'top_mgr': 0}, {'J01': 7}, {'J01': 35}, 
400.0, {'J01': -494.8, 'top_mgr': 2}, {'J01': 8}, {'J01': 39}, 
405.0, {'J01': -475.00000000000006, 'top_mgr': 8}, {'J01': 7}, {'J01': 31}, 
410.0, {'J01': -464.40000000000003, 'top_mgr': 4}, {'J01': 7}, {'J01': 30}, 
415.0, {'J01': -496.6, 'top_mgr': 2}, {'J01': 7}, {'J01': 33}, 
420.0, {'J01': -532.6000000000001, 'top_mgr': 0}, {'J01': 8}, {'J01': 36}, 
425.0, {'J01': -369.0, 'top_mgr': 4}, {'J01': 8}, {'J01': 38}, 
430.0, {'J01': -390.8, 'top_mgr': 3}, {'J01': 8}, {'J01': 36}, 
435.0, {'J01': -229.39999999999998, 'top_mgr': 4}, {'J01': 8}, {'J01': 33}, 
440.0, {'J01': -245.40000000000003, 'top_mgr': 3}, {'J01': 8}, {'J01': 33}, 
445.0, {'J01': -281.40000000000003, 'top_mgr': 1}, {'J01': 8}, {'J01': 37}, 
450.0, {'J01': -260.8, 'top_mgr': 10}, {'J01': 7}, {'J01': 28}, 
455.0, {'J01': -218.00000000000003, 'top_mgr': 8}, {'J01': 6}, {'J01': 24}, 
460.0, {'J01': -263.00000000000006, 'top_mgr': 2}, {'J01': 6}, {'J01': 29}, 
465.0, {'J01': -291.20000000000005, 'top_mgr': 5}, {'J01': 7}, {'J01': 30}, 
470.0, {'J01': -338.2, 'top_mgr': 1}, {'J01': 8}, {'J01': 35}, 
475.0, {'J01': -394.20000000000005, 'top_mgr': 0}, {'J01': 8}, {'J01': 39}, 
480.0, {'J01': -346.8, 'top_mgr': 7}, {'J01': 7}, {'J01': 34}, 
485.0, {'J01': -356.6000000000001, 'top_mgr': 5}, {'J01': 7}, {'J01': 32}, 
490.0, {'J01': -411.6, 'top_mgr': 0}, {'J01': 7}, {'J01': 35}, 
495.0, {'J01': -404.40000000000003, 'top_mgr': 3}, {'J01': 7}, {'J01': 36}, 
500.0, {'J01': -385.6, 'top_mgr': 4}, {'J01': 8}, {'J01': 41}, 
505.0, {'J01': -416.6, 'top_mgr': 1}, {'J01': 8}, {'J01': 46}, 
510.0, {'J01': -461.0, 'top_mgr': 0}, {'J01': 10}, {'J01': 49}, 
515.0, {'J01': -477.2, 'top_mgr': 5}, {'J01': 10}, {'J01': 46}, 
520.0, {'J01': -498.79999999999995, 'top_mgr': 3}, {'J01': 11}, {'J01': 46}, 
525.0, {'J01': -545.5999999999999, 'top_mgr': 1}, {'J01': 11}, {'J01': 48}, 
530.0, {'J01': -533.5999999999999, 'top_mgr': 6}, {'J01': 9}, {'J01': 45}, 
535.0, {'J01': -556.8, 'top_mgr': 3}, {'J01': 8}, {'J01': 43}, 
540.0, {'J01': -556.8, 'top_mgr': 8}, {'J01': 6}, {'J01': 35}, 
545.0, {'J01': -506.8, 'top_mgr': 5}, {'J01': 6}, {'J01': 34}, 
550.0, {'J01': -557.8, 'top_mgr': 0}, {'J01': 6}, {'J01': 41}, 
555.0, {'J01': -606.8, 'top_mgr': 0}, {'J01': 8}, {'J01': 46}, 
560.0, {'J01': -571.4, 'top_mgr': 11}, {'J01': 7}, {'J01': 36}, 
565.0, {'J01': -447.0, 'top_mgr': 11}, {'J01': 4}, {'J01': 26}, 
570.0, {'J01': -370.20000000000005, 'top_mgr': 8}, {'J01': 4}, {'J01': 22}, 
