episode,agent,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,ped_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,bike_queue_frac,ped_queue_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,FMA2CFull,2149570.0,494621.5,101528.0,31182.0,6572.0,6222.0,-179.24935,91.98091,-916.0,16.0,0.1801,0.037,0.1494,0.1415,0.0,0.0,0.0,1080,50.8
2,FMA2CFull,2230543.5,722881.5,131663.0,32363.0,6838.0,7026.0,-196.7875,115.68592,-1172.4,15.0,0.2343,0.0427,0.1479,0.152,0.0,0.0,0.0,1080,35.5
3,FMA2CFull,2528496.0,864162.5,283129.5,33013.0,7852.0,7754.0,-219.45315,117.11507,-1411.4,18.0,0.2351,0.077,0.1615,0.1595,0.0,0.0,0.0,1080,34.9
4,FMA2CFull,2483144.0,611854.5,104333.0,32729.0,7157.0,6111.0,-195.21991,96.48981,-1147.8,17.0,0.1912,0.0326,0.1556,0.1329,0.0,0.0,0.0,1080,35.9
5,FMA2CFull,2350966.5,560468.0,130940.5,32401.0,6835.0,6880.0,-196.35454,99.1796,-1029.8,18.0,0.1842,0.043,0.1482,0.1492,0.0,0.0,0.0,1080,35.8
6,FMA2CFull,2335940.5,977726.0,79895.5,34634.0,9061.0,5573.0,-199.89343,91.30764,-875.0,16.0,0.2881,0.0235,0.1839,0.1131,0.0,0.0,0.0,1080,35.6
7,FMA2CFull,2195076.5,468054.5,118918.5,31906.0,6536.0,7023.0,-181.46981,74.82486,-876.6,18.0,0.1682,0.0427,0.1438,0.1545,0.0,0.0,0.0,1080,33.8
8,FMA2CFull,2171636.5,498140.0,124235.5,30985.0,6246.0,6924.0,-185.87046,85.92592,-956.8,15.0,0.1783,0.0445,0.1415,0.1568,0.0,0.0,0.0,1080,34.4
9,FMA2CFull,2155104.0,463028.0,98200.5,32021.0,6444.0,6192.0,-176.97676,80.75065,-964.6,19.0,0.1705,0.0362,0.1443,0.1387,0.0,0.0,0.0,1080,35.9
10,FMA2CFull,2323734.5,869198.5,94561.5,33983.0,8572.0,6220.0,-206.73731,115.44549,-1124.2,16.0,0.2644,0.0288,0.1757,0.1275,0.0,0.0,0.0,1080,36.3
