episode,agent,decision,signal_id,reward
1,FMA2CFull,50,J01,-198.2
1,FMA2CFull,50,top_mgr,0.0
1,FMA2CFull,100,J01,-253.2
1,FMA2CFull,100,top_mgr,7.0
1,FMA2CFull,150,J01,-455.8
1,FMA2CFull,150,top_mgr,5.0
1,FMA2CFull,200,J01,-254.2
1,FMA2CFull,200,top_mgr,9.0
1,FMA2CFull,250,J01,-409.6
1,FMA2CFull,250,top_mgr,0.0
1,FMA2CFull,300,J01,-434.2
1,FMA2CFull,300,top_mgr,0.0
1,FMA2CFull,350,J01,-689.8
1,FMA2CFull,350,top_mgr,0.0
1,FMA2CFull,400,J01,-781.0
1,FMA2CFull,400,top_mgr,0.0
1,FMA2CFull,450,J01,-456.0
1,FMA2CFull,450,top_mgr,1.0
1,FMA2CFull,500,J01,-432.2
1,FMA2CFull,500,top_mgr,2.0
1,FMA2CFull,550,J01,-453.6
1,FMA2CFull,550,top_mgr,3.0
1,FMA2CFull,600,J01,-590.2
1,FMA2CFull,600,top_mgr,7.0
1,FMA2CFull,650,J01,-458.2
1,FMA2CFull,650,top_mgr,2.0
1,FMA2CFull,700,J01,-768.8
1,FMA2CFull,700,top_mgr,1.0
1,FMA2CFull,750,J01,-219.6
1,FMA2CFull,750,top_mgr,3.0
1,FMA2CFull,800,J01,-244.4
1,FMA2CFull,800,top_mgr,0.0
1,FMA2CFull,850,J01,-234.0
1,FMA2CFull,850,top_mgr,2.0
1,FMA2CFull,900,J01,-193.4
1,FMA2CFull,900,top_mgr,4.0
1,FMA2CFull,950,J01,-145.4
1,FMA2CFull,950,top_mgr,6.0
1,FMA2CFull,1000,J01,-181.8
1,FMA2CFull,1000,top_mgr,0.0
1,FMA2CFull,1050,J01,-58.8
1,FMA2CFull,1050,top_mgr,4.0
2,FMA2CFull,50,J01,-391.4
2,FMA2CFull,50,top_mgr,9.0
2,FMA2CFull,100,J01,-328.2
2,FMA2CFull,100,top_mgr,3.0
2,FMA2CFull,150,J01,-391.0
2,FMA2CFull,150,top_mgr,6.0
2,FMA2CFull,200,J01,-367.2
2,FMA2CFull,200,top_mgr,4.0
2,FMA2CFull,250,J01,-532.0
2,FMA2CFull,250,top_mgr,0.0
2,FMA2CFull,300,J01,-739.4
2,FMA2CFull,300,top_mgr,12.0
2,FMA2CFull,350,J01,-525.4
2,FMA2CFull,350,top_mgr,0.0
2,FMA2CFull,400,J01,-494.2
2,FMA2CFull,400,top_mgr,13.0
