episode,agent,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,ped_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,bike_queue_frac,ped_queue_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,FMA2CVAL,2602516.5,2518131.5,93541.5,39341.0,14939.0,5779.0,-244.71324,151.22403,-1524.4,20.0,0.4829,0.0179,0.2487,0.0962,0.0,0.0,0.0,1080,53.3
2,FMA2CVAL,2645981.0,5394259.0,72353.5,44910.0,20620.0,5564.0,-268.03657,156.86234,-1382.0,20.0,0.6649,0.0089,0.29,0.0783,0.0,0.0,0.0,1080,39.1
3,FMA2CVAL,2447646.0,1658439.5,105087.0,35274.0,11152.0,6126.0,-215.88361,123.10805,-1415.6,17.0,0.3938,0.025,0.2122,0.1166,0.0,0.0,0.0,1080,37.0
4,FMA2CVAL,2149569.0,1826136.0,73699.5,36686.0,12881.0,5624.0,-207.8963,113.88811,-1035.8,19.0,0.451,0.0182,0.2334,0.1019,0.0,0.0,0.0,1080,36.9
5,FMA2CVAL,2815658.5,4624937.0,77032.5,45184.0,20100.0,5594.0,-279.32028,154.23888,-1488.2,21.0,0.6152,0.0102,0.2836,0.0789,0.0,0.0,0.0,1080,39.4
6,FMA2CVAL,2597429.0,3355499.5,63445.0,42412.0,17718.0,5273.0,-257.19972,146.94297,-1275.2,17.0,0.5577,0.0105,0.2709,0.0806,0.0,0.0,0.0,1080,37.8
7,FMA2CVAL,2441764.5,1241152.5,57077.0,34742.0,10266.0,5094.0,-212.09176,118.36035,-1483.6,21.0,0.3319,0.0153,0.2049,0.1017,0.0,0.0,0.0,1080,36.3
8,FMA2CVAL,2071101.5,691990.5,48338.5,31879.0,7580.0,4972.0,-175.93815,73.31681,-787.4,16.0,0.2461,0.0172,0.1706,0.1119,0.0,0.0,0.0,1080,35.9
9,FMA2CVAL,2198994.0,797617.0,85159.0,32370.0,8415.0,5515.0,-185.88481,103.45092,-1190.0,18.0,0.2588,0.0276,0.1817,0.1191,0.0,0.0,0.0,1080,35.5
10,FMA2CVAL,2671846.0,8300387.5,70637.5,52124.0,27461.0,5129.0,-298.52019,152.89649,-1394.2,18.0,0.7517,0.0064,0.3242,0.0605,0.0,0.0,0.0,1080,40.2
11,FMA2CVAL,2705620.0,6860713.0,68537.0,49006.0,24203.0,5323.0,-303.94713,164.93507,-1577.4,20.0,0.7121,0.0071,0.3082,0.0678,0.0,0.0,0.0,1080,39.8
12,FMA2CVAL,2366319.0,3002925.5,51803.5,39733.0,15251.0,4920.0,-228.88389,125.44991,-1322.8,18.0,0.5539,0.0096,0.2546,0.0821,0.0,0.0,0.0,1080,38.3
13,FMA2CVAL,2926903.5,9977759.5,70965.5,54680.0,29834.0,5342.0,-341.02407,205.65576,-1836.6,16.0,0.769,0.0055,0.332,0.0595,0.0,0.0,0.0,1080,41.7
14,FMA2CVAL,2348327.0,5821239.5,48423.0,46259.0,21845.0,4768.0,-254.24917,148.25838,-1405.8,19.0,0.7084,0.0059,0.2998,0.0654,0.0,0.0,0.0,1080,38.6
15,FMA2CVAL,2862135.5,5847029.5,69173.5,47698.0,23117.0,5420.0,-295.32806,169.97768,-1514.8,20.0,0.6661,0.0079,0.3032,0.0711,0.0,0.0,0.0,1080,39.2
16,FMA2CVAL,2408473.5,2481291.0,64778.5,38347.0,13930.0,5372.0,-224.01417,136.94104,-1532.0,18.0,0.5008,0.0131,0.2416,0.0932,0.0,0.0,0.0,1080,37.5
17,FMA2CVAL,2769303.0,4528627.0,94137.5,44020.0,19334.0,5648.0,-274.26333,145.85468,-1439.0,21.0,0.6126,0.0127,0.2802,0.0819,0.0,0.0,0.0,1080,38.0
18,FMA2CVAL,2448641.0,2836874.0,91799.0,39786.0,15581.0,5819.0,-236.1725,127.39606,-1205.2,18.0,0.5276,0.0171,0.2546,0.0951,0.0,0.0,0.0,1080,37.6
19,FMA2CVAL,2259508.0,1443131.5,63739.5,35486.0,11269.0,5427.0,-204.91926,124.82926,-1367.0,17.0,0.3832,0.0169,0.216,0.104,0.0,0.0,0.0,1080,36.7
20,FMA2CVAL,1789999.0,407763.0,73707.5,29413.0,5937.0,5391.0,-158.87593,76.44301,-1074.0,16.0,0.1795,0.0324,0.1457,0.1323,0.0,0.0,0.0,1080,34.4
21,FMA2CVAL,2476002.5,3012373.5,69391.5,40396.0,15884.0,5498.0,-241.77889,133.53849,-1362.6,19.0,0.542,0.0125,0.2571,0.089,0.0,0.0,0.0,1080,36.7
22,FMA2CVAL,2407008.5,1001431.0,58901.0,34418.0,9857.0,5326.0,-207.45046,106.75604,-1245.0,15.0,0.2888,0.017,0.1987,0.1074,0.0,0.0,0.0,1080,35.9
23,FMA2CVAL,2365649.5,8602484.0,58613.5,50853.0,26298.0,5215.0,-291.89611,150.67153,-1293.2,18.0,0.7801,0.0053,0.3193,0.0633,0.0,0.0,0.0,1080,39.9
24,FMA2CVAL,2438170.5,2294059.5,57433.0,38860.0,14239.0,4992.0,-233.41426,136.12588,-1470.8,17.0,0.479,0.012,0.2451,0.0859,0.0,0.0,0.0,1080,37.9
