5.0, {'J01': -0.0, 'top_mgr': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -1.8, 'top_mgr': 0}, {'J01': 1}, {'J01': 1}, 
15.0, {'J01': -5.4, 'top_mgr': 2}, {'J01': 1}, {'J01': 3}, 
20.0, {'J01': -22.8, 'top_mgr': 1}, {'J01': 2}, {'J01': 6}, 
25.0, {'J01': -29.0, 'top_mgr': 2}, {'J01': 4}, {'J01': 10}, 
30.0, {'J01': -32.8, 'top_mgr': 5}, {'J01': 4}, {'J01': 9}, 
35.0, {'J01': -34.8, 'top_mgr': 5}, {'J01': 4}, {'J01': 7}, 
40.0, {'J01': -34.6, 'top_mgr': 5}, {'J01': 4}, {'J01': 8}, 
45.0, {'J01': -42.2, 'top_mgr': 6}, {'J01': 4}, {'J01': 7}, 
50.0, {'J01': -64.8, 'top_mgr': 1}, {'J01': 4}, {'J01': 13}, 
55.0, {'J01': -71.60000000000001, 'top_mgr': 7}, {'J01': 4}, {'J01': 8}, 
60.0, {'J01': -98.8, 'top_mgr': 3}, {'J01': 4}, {'J01': 12}, 
65.0, {'J01': -115.60000000000002, 'top_mgr': 4}, {'J01': 4}, {'J01': 11}, 
70.0, {'J01': -126.2, 'top_mgr': 5}, {'J01': 4}, {'J01': 15}, 
75.0, {'J01': -139.4, 'top_mgr': 5}, {'J01': 4}, {'J01': 11}, 
80.0, {'J01': -70.2, 'top_mgr': 10}, {'J01': 3}, {'J01': 8}, 
85.0, {'J01': -110.60000000000001, 'top_mgr': 1}, {'J01': 4}, {'J01': 20}, 
90.0, {'J01': -147.20000000000002, 'top_mgr': 2}, {'J01': 7}, {'J01': 27}, 
95.0, {'J01': -143.4, 'top_mgr': 7}, {'J01': 6}, {'J01': 22}, 
100.0, {'J01': -179.8, 'top_mgr': 0}, {'J01': 6}, {'J01': 25}, 
105.0, {'J01': -207.00000000000003, 'top_mgr': 1}, {'J01': 6}, {'J01': 30}, 
110.0, {'J01': -239.0, 'top_mgr': 3}, {'J01': 7}, {'J01': 35}, 
115.0, {'J01': -202.0, 'top_mgr': 3}, {'J01': 7}, {'J01': 33}, 
120.0, {'J01': -248.20000000000002, 'top_mgr': 0}, {'J01': 7}, {'J01': 38}, 
125.0, {'J01': -301.20000000000005, 'top_mgr': 0}, {'J01': 7}, {'J01': 43}, 
130.0, {'J01': -321.6, 'top_mgr': 7}, {'J01': 6}, {'J01': 38}, 
135.0, {'J01': -293.8, 'top_mgr': 7}, {'J01': 6}, {'J01': 32}, 
140.0, {'J01': -329.00000000000006, 'top_mgr': 2}, {'J01': 6}, {'J01': 35}, 
145.0, {'J01': -356.40000000000003, 'top_mgr': 1}, {'J01': 7}, {'J01': 40}, 
150.0, {'J01': -376.00000000000006, 'top_mgr': 4}, {'J01': 7}, {'J01': 40}, 
155.0, {'J01': -303.40000000000003, 'top_mgr': 10}, {'J01': 6}, {'J01': 30}, 
160.0, {'J01': -298.40000000000003, 'top_mgr': 14}, {'J01': 4}, {'J01': 21}, 
165.0, {'J01': -298.80000000000007, 'top_mgr': 5}, {'J01': 4}, {'J01': 22}, 
170.0, {'J01': -336.6, 'top_mgr': 2}, {'J01': 4}, {'J01': 31}, 
175.0, {'J01': -392.0, 'top_mgr': 0}, {'J01': 6}, {'J01': 38}, 
180.0, {'J01': -447.0, 'top_mgr': 0}, {'J01': 7}, {'J01': 41}, 
185.0, {'J01': -475.2, 'top_mgr': 2}, {'J01': 7}, {'J01': 43}, 
190.0, {'J01': -450.0, 'top_mgr': 4}, {'J01': 7}, {'J01': 42}, 
195.0, {'J01': -405.0, 'top_mgr': 7}, {'J01': 7}, {'J01': 35}, 
200.0, {'J01': -383.20000000000005, 'top_mgr': 3}, {'J01': 7}, {'J01': 37}, 
205.0, {'J01': -426.8, 'top_mgr': 1}, {'J01': 7}, {'J01': 38}, 
210.0, {'J01': -475.8, 'top_mgr': 0}, {'J01': 7}, {'J01': 39}, 
215.0, {'J01': -524.8, 'top_mgr': 0}, {'J01': 7}, {'J01': 40}, 
220.0, {'J01': -577.5999999999999, 'top_mgr': 0}, {'J01': 8}, {'J01': 44}, 
225.0, {'J01': -595.5999999999999, 'top_mgr': 1}, {'J01': 8}, {'J01': 43}, 
230.0, {'J01': -586.4, 'top_mgr': 6}, {'J01': 8}, {'J01': 38}, 
235.0, {'J01': -548.4, 'top_mgr': 4}, {'J01': 8}, {'J01': 36}, 
240.0, {'J01': -540.0, 'top_mgr': 3}, {'J01': 8}, {'J01': 37}, 
245.0, {'J01': -561.4, 'top_mgr': 1}, {'J01': 9}, {'J01': 39}, 
250.0, {'J01': -432.4, 'top_mgr': 7}, {'J01': 9}, {'J01': 34}, 
255.0, {'J01': -477.79999999999995, 'top_mgr': 0}, {'J01': 10}, {'J01': 39}, 
260.0, {'J01': -495.40000000000003, 'top_mgr': 2}, {'J01': 10}, {'J01': 38}, 
265.0, {'J01': -393.80000000000007, 'top_mgr': 8}, {'J01': 9}, {'J01': 33}, 
270.0, {'J01': -302.40000000000003, 'top_mgr': 15}, {'J01': 4}, {'J01': 19}, 
275.0, {'J01': -250.40000000000003, 'top_mgr': 11}, {'J01': 4}, {'J01': 13}, 
280.0, {'J01': -162.39999999999998, 'top_mgr': 5}, {'J01': 4}, {'J01': 14}, 
285.0, {'J01': -145.6, 'top_mgr': 7}, {'J01': 4}, {'J01': 9}, 
290.0, {'J01': -166.6, 'top_mgr': 9}, {'J01': 4}, {'J01': 10}, 
295.0, {'J01': -120.80000000000003, 'top_mgr': 8}, {'J01': 3}, {'J01': 11}, 
300.0, {'J01': -167.8, 'top_mgr': 0}, {'J01': 4}, {'J01': 24}, 
305.0, {'J01': -213.4, 'top_mgr': 0}, {'J01': 7}, {'J01': 33}, 
310.0, {'J01': -178.60000000000002, 'top_mgr': 3}, {'J01': 7}, {'J01': 33}, 
315.0, {'J01': -160.39999999999998, 'top_mgr': 3}, {'J01': 7}, {'J01': 31}, 
320.0, {'J01': -199.60000000000002, 'top_mgr': 2}, {'J01': 7}, {'J01': 36}, 
325.0, {'J01': -227.40000000000003, 'top_mgr': 7}, {'J01': 7}, {'J01': 34}, 
330.0, {'J01': -264.2, 'top_mgr': 3}, {'J01': 8}, {'J01': 37}, 
335.0, {'J01': -293.4, 'top_mgr': 5}, {'J01': 9}, {'J01': 38}, 
340.0, {'J01': -286.40000000000003, 'top_mgr': 7}, {'J01': 9}, {'J01': 34}, 
345.0, {'J01': -320.00000000000006, 'top_mgr': 2}, {'J01': 10}, {'J01': 35}, 
350.0, {'J01': -233.0, 'top_mgr': 4}, {'J01': 10}, {'J01': 32}, 
355.0, {'J01': -252.20000000000005, 'top_mgr': 9}, {'J01': 8}, {'J01': 31}, 
360.0, {'J01': -279.6, 'top_mgr': 1}, {'J01': 8}, {'J01': 31}, 
365.0, {'J01': -314.0, 'top_mgr': 1}, {'J01': 8}, {'J01': 33}, 
370.0, {'J01': -352.6, 'top_mgr': 2}, {'J01': 10}, {'J01': 37}, 
375.0, {'J01': -388.2, 'top_mgr': 4}, {'J01': 10}, {'J01': 37}, 
380.0, {'J01': -423.2, 'top_mgr': 3}, {'J01': 10}, {'J01': 38}, 
385.0, {'J01': -414.8, 'top_mgr': 4}, {'J01': 11}, {'J01': 37}, 
390.0, {'J01': -390.40000000000003, 'top_mgr': 4}, {'J01': 11}, {'J01': 36}, 
395.0, {'J01': -438.40000000000003, 'top_mgr': 0}, {'J01': 11}, {'J01': 40}, 
400.0, {'J01': -490.20000000000005, 'top_mgr': 0}, {'J01': 12}, {'J01': 46}, 
405.0, {'J01': -510.8, 'top_mgr': 8}, {'J01': 13}, {'J01': 41}, 
410.0, {'J01': -432.80000000000007, 'top_mgr': 10}, {'J01': 13}, {'J01': 34}, 
415.0, {'J01': -419.4, 'top_mgr': 5}, {'J01': 12}, {'J01': 33}, 
420.0, {'J01': -451.6, 'top_mgr': 5}, {'J01': 12}, {'J01': 31}, 
425.0, {'J01': -472.40000000000003, 'top_mgr': 3}, {'J01': 12}, {'J01': 39}, 
430.0, {'J01': -492.4000000000001, 'top_mgr': 2}, {'J01': 13}, {'J01': 47}, 
435.0, {'J01': -414.6000000000001, 'top_mgr': 5}, {'J01': 13}, {'J01': 45}, 
440.0, {'J01': -395.6000000000001, 'top_mgr': 4}, {'J01': 14}, {'J01': 43}, 
445.0, {'J01': -398.4000000000001, 'top_mgr': 2}, {'J01': 15}, {'J01': 43}, 
450.0, {'J01': -414.4000000000001, 'top_mgr': 5}, {'J01': 15}, {'J01': 41}, 
455.0, {'J01': -425.8, 'top_mgr': 4}, {'J01': 16}, {'J01': 41}, 
