episode,agent,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,ped_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,bike_queue_frac,ped_queue_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,IDQN,70651417.5,163414092.5,3834059.0,80467.0,52157.0,40620.0,-3.96112,0.35356,-4.0,0.0,0.6869,0.0161,0.3011,0.2345,0.1023,-1.72179,nan,1080,57.5
2,IDQN,131551694.5,301231276.0,6575830.5,100929.0,70809.0,64909.0,-3.97174,0.29626,-4.0,0.0,0.6856,0.015,0.2992,0.2743,0.0,-1.67038,0.297009,1080,68.1
3,IDQN,119483392.0,318459512.5,6676287.0,100212.0,73306.0,65836.0,-3.97201,0.2949,-4.0,0.0,0.7163,0.015,0.3063,0.2751,0.0,-5.50997,0.508167,1080,71.0
4,IDQN,4930488.0,11145257.0,1024234.5,55766.0,31122.0,16119.0,-3.9687,0.3006,-4.0,0.0,0.6518,0.0599,0.3021,0.1565,0.0,-12.19552,0.464684,1080,36.2
5,IDQN,5152930.0,20899033.5,569039.0,69658.0,42269.0,13240.0,-3.97149,0.29668,-4.0,0.0,0.7851,0.0214,0.3377,0.1058,0.0,-22.76969,0.449887,1080,52.0
6,IDQN,70721066.5,181122972.5,4027740.0,81173.0,55190.0,41497.0,-3.97217,0.29724,-4.0,0.0,0.7079,0.0157,0.3103,0.2333,0.0,-31.53909,0.269654,1080,64.0
7,IDQN,4357574.0,16283326.0,556863.0,64008.0,38321.0,11724.0,-3.96643,0.30645,-4.0,0.0,0.7682,0.0263,0.336,0.1028,0.0,-39.99574,0.272604,1080,39.9
8,IDQN,4469436.5,19233373.5,438842.0,64273.0,38293.0,11049.0,-3.97128,0.295,-4.0,0.0,0.7967,0.0182,0.337,0.0972,0.0,-48.65947,0.308683,1080,42.1
9,IDQN,108049505.5,236422435.0,4766262.5,84285.0,56610.0,47602.0,-3.97102,0.29517,-4.0,0.0,0.677,0.0136,0.3003,0.2525,0.0,-55.90994,0.259591,1080,64.8
10,IDQN,68170301.0,206750827.0,3662410.0,82106.0,55998.0,37921.0,-3.97074,0.29587,-4.0,0.0,0.7422,0.0131,0.3181,0.2154,0.0,-61.99742,0.303151,1080,61.6
