episode,agent,decision,signal_id,reward
1,IDQN_MM2,50,J01,-3.0
1,IDQN_MM2,100,J01,-3.0
1,IDQN_MM2,150,J01,-1.00091
1,IDQN_MM2,200,J01,-0.46593
1,IDQN_MM2,250,J01,-0.65806
1,IDQN_MM2,300,J01,-1.63146
1,IDQN_MM2,350,J01,-2.12196
1,IDQN_MM2,400,J01,3.0
1,IDQN_MM2,450,J01,3.0
1,IDQN_MM2,500,J01,3.0
1,IDQN_MM2,550,J01,-3.0
1,IDQN_MM2,600,J01,-0.68398
1,IDQN_MM2,650,J01,-0.071
1,IDQN_MM2,700,J01,3.0
1,IDQN_MM2,750,J01,-0.83439
1,IDQN_MM2,800,J01,-0.47154
1,IDQN_MM2,850,J01,-0.35338
1,IDQN_MM2,900,J01,-0.29972
1,IDQN_MM2,950,J01,-0.48474
1,IDQN_MM2,1000,J01,0.284
1,IDQN_MM2,1050,J01,-0.01665
2,IDQN_MM2,50,J01,3.0
2,IDQN_MM2,100,J01,-3.0
2,IDQN_MM2,150,J01,-3.0
2,IDQN_MM2,200,J01,-3.0
2,IDQN_MM2,250,J01,3.0
2,IDQN_MM2,300,J01,-0.516
2,IDQN_MM2,350,J01,-3.0
2,IDQN_MM2,400,J01,-3.0
2,IDQN_MM2,450,J01,-0.58824
2,IDQN_MM2,500,J01,-1.8896
2,IDQN_MM2,550,J01,-3.0
2,IDQN_MM2,600,J01,-1.03479
2,IDQN_MM2,650,J01,-0.53527
2,IDQN_MM2,700,J01,-0.74691
2,IDQN_MM2,750,J01,0.38483
2,IDQN_MM2,800,J01,-0.20722
2,IDQN_MM2,850,J01,-0.43201
2,IDQN_MM2,900,J01,-0.3654
2,IDQN_MM2,950,J01,-0.11193
2,IDQN_MM2,1000,J01,-0.45976
2,IDQN_MM2,1050,J01,1.01943
3,IDQN_MM2,50,J01,-1.70486
3,IDQN_MM2,100,J01,3.0
3,IDQN_MM2,150,J01,-3.0
3,IDQN_MM2,200,J01,3.0
3,IDQN_MM2,250,J01,-0.52124
3,IDQN_MM2,300,J01,-3.0
3,IDQN_MM2,350,J01,0.91912
3,IDQN_MM2,400,J01,-2.55986
3,IDQN_MM2,450,J01,-3.0
3,IDQN_MM2,500,J01,-2.71289
3,IDQN_MM2,550,J01,-3.0
3,IDQN_MM2,600,J01,-3.0
3,IDQN_MM2,650,J01,-1.28861
3,IDQN_MM2,700,J01,-1.72101
3,IDQN_MM2,750,J01,-0.83304
3,IDQN_MM2,800,J01,-0.00463
3,IDQN_MM2,850,J01,-0.3506
3,IDQN_MM2,900,J01,-0.14431
3,IDQN_MM2,950,J01,0.23034
3,IDQN_MM2,1000,J01,1.23404
3,IDQN_MM2,1050,J01,-0.24514
4,IDQN_MM2,50,J01,-0.71474
4,IDQN_MM2,100,J01,-2.56484
4,IDQN_MM2,150,J01,-1.24556
4,IDQN_MM2,200,J01,-2.01831
4,IDQN_MM2,250,J01,-2.95945
4,IDQN_MM2,300,J01,-3.0
4,IDQN_MM2,350,J01,3.0
4,IDQN_MM2,400,J01,3.0
4,IDQN_MM2,450,J01,-0.8298
4,IDQN_MM2,500,J01,-2.23773
4,IDQN_MM2,550,J01,0.8369
4,IDQN_MM2,600,J01,-0.7325
4,IDQN_MM2,650,J01,-3.0
4,IDQN_MM2,700,J01,3.0
4,IDQN_MM2,750,J01,-0.0592
4,IDQN_MM2,800,J01,0.26457
4,IDQN_MM2,850,J01,0.64477
4,IDQN_MM2,900,J01,0.33673
4,IDQN_MM2,950,J01,0.78446
4,IDQN_MM2,1000,J01,-0.06198
4,IDQN_MM2,1050,J01,-0.07678
5,IDQN_MM2,50,J01,3.0
5,IDQN_MM2,100,J01,-2.05812
5,IDQN_MM2,150,J01,-0.74905
5,IDQN_MM2,200,J01,-3.0
5,IDQN_MM2,250,J01,0.0811
5,IDQN_MM2,300,J01,3.0
5,IDQN_MM2,350,J01,-3.0
5,IDQN_MM2,400,J01,-3.0
5,IDQN_MM2,450,J01,-0.05808
5,IDQN_MM2,500,J01,3.0
5,IDQN_MM2,550,J01,-3.0
5,IDQN_MM2,600,J01,-3.0
5,IDQN_MM2,650,J01,-1.0605
5,IDQN_MM2,700,J01,-3.0
5,IDQN_MM2,750,J01,3.0
5,IDQN_MM2,800,J01,-0.40333
5,IDQN_MM2,850,J01,0.09898
5,IDQN_MM2,900,J01,-0.44403
5,IDQN_MM2,950,J01,0.71138
5,IDQN_MM2,1000,J01,0.03145
5,IDQN_MM2,1050,J01,-0.3987
6,IDQN_MM2,50,J01,-3.0
6,IDQN_MM2,100,J01,-0.08033
6,IDQN_MM2,150,J01,-2.13032
6,IDQN_MM2,200,J01,-2.19001
6,IDQN_MM2,250,J01,-3.0
6,IDQN_MM2,300,J01,-3.0
6,IDQN_MM2,350,J01,3.0
6,IDQN_MM2,400,J01,-3.0
6,IDQN_MM2,450,J01,3.0
6,IDQN_MM2,500,J01,-0.85076
6,IDQN_MM2,550,J01,-3.0
6,IDQN_MM2,600,J01,3.0
6,IDQN_MM2,650,J01,-3.0
6,IDQN_MM2,700,J01,3.0
6,IDQN_MM2,750,J01,0.18317
6,IDQN_MM2,800,J01,-0.15634
6,IDQN_MM2,850,J01,-0.18779
6,IDQN_MM2,900,J01,-0.43663
6,IDQN_MM2,950,J01,1.46531
6,IDQN_MM2,1000,J01,0.05365
6,IDQN_MM2,1050,J01,1.0518
7,IDQN_MM2,50,J01,1.82574
7,IDQN_MM2,100,J01,-0.81043
7,IDQN_MM2,150,J01,-3.0
7,IDQN_MM2,200,J01,-0.06113
7,IDQN_MM2,250,J01,-0.87277
7,IDQN_MM2,300,J01,-3.0
7,IDQN_MM2,350,J01,3.0
7,IDQN_MM2,400,J01,1.14699
7,IDQN_MM2,450,J01,-3.0
7,IDQN_MM2,500,J01,-2.87145
7,IDQN_MM2,550,J01,-3.0
7,IDQN_MM2,600,J01,-2.46764
7,IDQN_MM2,650,J01,-3.0
7,IDQN_MM2,700,J01,-1.10283
7,IDQN_MM2,750,J01,2.33482
7,IDQN_MM2,800,J01,-0.22294
7,IDQN_MM2,850,J01,-0.3913
7,IDQN_MM2,900,J01,-0.06105
7,IDQN_MM2,950,J01,-0.07956
7,IDQN_MM2,1000,J01,-0.30712
7,IDQN_MM2,1050,J01,0.06568
8,IDQN_MM2,50,J01,1.44261
8,IDQN_MM2,100,J01,-2.26134
8,IDQN_MM2,150,J01,-2.91
8,IDQN_MM2,200,J01,-3.0
8,IDQN_MM2,250,J01,-0.4574
8,IDQN_MM2,300,J01,1.06814
8,IDQN_MM2,350,J01,-0.93969
8,IDQN_MM2,400,J01,-2.05538
8,IDQN_MM2,450,J01,-1.27385
8,IDQN_MM2,500,J01,2.28015
8,IDQN_MM2,550,J01,-3.0
8,IDQN_MM2,600,J01,0.09984
8,IDQN_MM2,650,J01,-3.0
8,IDQN_MM2,700,J01,-3.0
8,IDQN_MM2,750,J01,-0.21277
8,IDQN_MM2,800,J01,-0.53654
8,IDQN_MM2,850,J01,-0.40888
8,IDQN_MM2,900,J01,0.17761
8,IDQN_MM2,950,J01,-0.33395
8,IDQN_MM2,1000,J01,0.08048
8,IDQN_MM2,1050,J01,0.43201
9,IDQN_MM2,50,J01,-3.0
9,IDQN_MM2,100,J01,-3.0
9,IDQN_MM2,150,J01,3.0
9,IDQN_MM2,200,J01,-1.07994
9,IDQN_MM2,250,J01,2.27377
9,IDQN_MM2,300,J01,3.0
9,IDQN_MM2,350,J01,0.16928
9,IDQN_MM2,400,J01,-2.13602
9,IDQN_MM2,450,J01,-3.0
9,IDQN_MM2,500,J01,-3.0
9,IDQN_MM2,550,J01,3.0
9,IDQN_MM2,600,J01,3.0
9,IDQN_MM2,650,J01,-1.61854
9,IDQN_MM2,700,J01,-3.0
9,IDQN_MM2,750,J01,3.0
9,IDQN_MM2,800,J01,0.45421
9,IDQN_MM2,850,J01,0.15911
9,IDQN_MM2,900,J01,-0.49954
9,IDQN_MM2,950,J01,-0.2877
9,IDQN_MM2,1000,J01,-0.0592
9,IDQN_MM2,1050,J01,-0.24144
10,IDQN_MM2,50,J01,-0.49857
10,IDQN_MM2,100,J01,-0.55107
10,IDQN_MM2,150,J01,-2.4542
10,IDQN_MM2,200,J01,-1.67258
10,IDQN_MM2,250,J01,-3.0
10,IDQN_MM2,300,J01,-2.84406
10,IDQN_MM2,350,J01,3.0
10,IDQN_MM2,400,J01,1.65708
10,IDQN_MM2,450,J01,2.90198
10,IDQN_MM2,500,J01,-1.76312
10,IDQN_MM2,550,J01,3.0
10,IDQN_MM2,600,J01,-1.93024
10,IDQN_MM2,650,J01,-1.15761
10,IDQN_MM2,700,J01,-3.0
10,IDQN_MM2,750,J01,0.19941
10,IDQN_MM2,800,J01,-0.11378
10,IDQN_MM2,850,J01,-0.2914
10,IDQN_MM2,900,J01,-0.43756
10,IDQN_MM2,950,J01,0.12303
10,IDQN_MM2,1000,J01,-0.25162
10,IDQN_MM2,1050,J01,0.02035
11,IDQN_MM2,50,J01,-2.56623
11,IDQN_MM2,100,J01,-0.11215
11,IDQN_MM2,150,J01,-3.0
11,IDQN_MM2,200,J01,3.0
11,IDQN_MM2,250,J01,-1.01693
11,IDQN_MM2,300,J01,-1.89101
11,IDQN_MM2,350,J01,-0.26968
11,IDQN_MM2,400,J01,-2.91013
11,IDQN_MM2,450,J01,-1.0976
11,IDQN_MM2,500,J01,-0.48269
11,IDQN_MM2,550,J01,3.0
11,IDQN_MM2,600,J01,-1.91957
11,IDQN_MM2,650,J01,-1.09215
11,IDQN_MM2,700,J01,3.0
11,IDQN_MM2,750,J01,-0.78342
11,IDQN_MM2,800,J01,-0.41351
11,IDQN_MM2,850,J01,0.09713
11,IDQN_MM2,900,J01,-0.26827
11,IDQN_MM2,950,J01,-0.037
11,IDQN_MM2,1000,J01,-0.09158
11,IDQN_MM2,1050,J01,-0.17761
12,IDQN_MM2,50,J01,3.0
12,IDQN_MM2,100,J01,1.74692
12,IDQN_MM2,150,J01,-3.0
12,IDQN_MM2,200,J01,1.80334
12,IDQN_MM2,250,J01,3.0
12,IDQN_MM2,300,J01,3.0
12,IDQN_MM2,350,J01,-0.77853
12,IDQN_MM2,400,J01,1.95177
12,IDQN_MM2,450,J01,3.0
12,IDQN_MM2,500,J01,3.0
12,IDQN_MM2,550,J01,-3.0
12,IDQN_MM2,600,J01,-2.26635
12,IDQN_MM2,650,J01,3.0
12,IDQN_MM2,700,J01,-2.26137
12,IDQN_MM2,750,J01,-0.57704
12,IDQN_MM2,800,J01,0.03423
12,IDQN_MM2,850,J01,-0.50694
12,IDQN_MM2,900,J01,-0.40981
12,IDQN_MM2,950,J01,1.11193
12,IDQN_MM2,1000,J01,-0.17854
12,IDQN_MM2,1050,J01,0.24144
13,IDQN_MM2,50,J01,-1.36838
13,IDQN_MM2,100,J01,-3.0
13,IDQN_MM2,150,J01,-2.64015
13,IDQN_MM2,200,J01,-0.35627
13,IDQN_MM2,250,J01,-1.2138
13,IDQN_MM2,300,J01,0.08082
13,IDQN_MM2,350,J01,-1.17373
13,IDQN_MM2,400,J01,-0.30277
13,IDQN_MM2,450,J01,2.95742
13,IDQN_MM2,500,J01,3.0
13,IDQN_MM2,550,J01,-3.0
13,IDQN_MM2,600,J01,-1.32176
13,IDQN_MM2,650,J01,3.0
13,IDQN_MM2,700,J01,2.58773
13,IDQN_MM2,750,J01,1.58872
13,IDQN_MM2,800,J01,0.05088
13,IDQN_MM2,850,J01,-0.10176
13,IDQN_MM2,900,J01,-0.2766
13,IDQN_MM2,950,J01,-0.27105
13,IDQN_MM2,1000,J01,0.07771
13,IDQN_MM2,1050,J01,0.13043
14,IDQN_MM2,50,J01,-1.56903
14,IDQN_MM2,100,J01,-0.69438
14,IDQN_MM2,150,J01,0.31868
14,IDQN_MM2,200,J01,-2.01168
14,IDQN_MM2,250,J01,3.0
14,IDQN_MM2,300,J01,3.0
14,IDQN_MM2,350,J01,-0.9482
14,IDQN_MM2,400,J01,-0.72697
14,IDQN_MM2,450,J01,-0.61033
14,IDQN_MM2,500,J01,-0.62032
14,IDQN_MM2,550,J01,3.0
14,IDQN_MM2,600,J01,-2.0393
14,IDQN_MM2,650,J01,-2.97285
14,IDQN_MM2,700,J01,-3.0
14,IDQN_MM2,750,J01,-0.33488
14,IDQN_MM2,800,J01,-0.32562
14,IDQN_MM2,850,J01,-0.20999
14,IDQN_MM2,900,J01,-0.43201
14,IDQN_MM2,950,J01,0.62442
14,IDQN_MM2,1000,J01,-0.3284
14,IDQN_MM2,1050,J01,0.20722
15,IDQN_MM2,50,J01,-3.0
15,IDQN_MM2,100,J01,0.21102
15,IDQN_MM2,150,J01,1.42543
15,IDQN_MM2,200,J01,-2.58722
15,IDQN_MM2,250,J01,-2.50255
15,IDQN_MM2,300,J01,3.0
15,IDQN_MM2,350,J01,-1.37825
15,IDQN_MM2,400,J01,-3.0
15,IDQN_MM2,450,J01,3.0
15,IDQN_MM2,500,J01,1.71575
