5.0, {'J01': np.float32(0.0)}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': np.float32(0.0)}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': np.float32(0.0)}, {'J01': 0}, {'J01': 0}, 
20.0, {'J01': np.float32(-0.046875)}, {'J01': 1}, {'J01': 3}, 
25.0, {'J01': np.float32(-0.18973215)}, {'J01': 1}, {'J01': 4}, 
30.0, {'J01': np.float32(-0.18973215)}, {'J01': 2}, {'J01': 5}, 
35.0, {'J01': np.float32(-0.4888393)}, {'J01': 3}, {'J01': 11}, 
40.0, {'J01': np.float32(-1.0223215)}, {'J01': 4}, {'J01': 14}, 
45.0, {'J01': np.float32(-1.6138393)}, {'J01': 6}, {'J01': 18}, 
50.0, {'J01': np.float32(-2.4598215)}, {'J01': 6}, {'J01': 23}, 
55.0, {'J01': np.float32(-2.9955356)}, {'J01': 7}, {'J01': 23}, 
60.0, {'J01': np.float32(-3.8816965)}, {'J01': 8}, {'J01': 27}, 
65.0, {'J01': np.float32(-3.4017856)}, {'J01': 7}, {'J01': 25}, 
70.0, {'J01': np.float32(-2.0089285)}, {'J01': 5}, {'J01': 19}, 
75.0, {'J01': np.float32(-2.482143)}, {'J01': 5}, {'J01': 18}, 
80.0, {'J01': np.float32(-2.595982)}, {'J01': 4}, {'J01': 15}, 
85.0, {'J01': np.float32(-2.5825894)}, {'J01': 4}, {'J01': 18}, 
90.0, {'J01': np.float32(-2.4285715)}, {'J01': 3}, {'J01': 19}, 
95.0, {'J01': np.float32(-2.75)}, {'J01': 7}, {'J01': 25}, 
100.0, {'J01': np.float32(-3.5535715)}, {'J01': 8}, {'J01': 27}, 
105.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 31}, 
110.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 34}, 
115.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 33}, 
120.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 34}, 
125.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 36}, 
130.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 34}, 
135.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 26}, 
140.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 30}, 
145.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 34}, 
150.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 31}, 
155.0, {'J01': np.float32(-4.0)}, {'J01': 6}, {'J01': 24}, 
160.0, {'J01': np.float32(-4.0)}, {'J01': 5}, {'J01': 22}, 
165.0, {'J01': np.float32(-4.0)}, {'J01': 4}, {'J01': 17}, 
170.0, {'J01': np.float32(-4.0)}, {'J01': 4}, {'J01': 13}, 
175.0, {'J01': np.float32(-4.0)}, {'J01': 4}, {'J01': 14}, 
180.0, {'J01': np.float32(-4.0)}, {'J01': 4}, {'J01': 19}, 
185.0, {'J01': np.float32(-2.345982)}, {'J01': 5}, {'J01': 22}, 
190.0, {'J01': np.float32(-3.4174106)}, {'J01': 8}, {'J01': 30}, 
195.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 30}, 
200.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 33}, 
205.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 34}, 
210.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 33}, 
215.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 34}, 
220.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 32}, 
225.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 31}, 
230.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 34}, 
235.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 32}, 
240.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 34}, 
245.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 33}, 
250.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 41}, 
255.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 43}, 
260.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 37}, 
265.0, {'J01': np.float32(-4.0)}, {'J01': 5}, {'J01': 26}, 
270.0, {'J01': np.float32(-4.0)}, {'J01': 4}, {'J01': 17}, 
275.0, {'J01': np.float32(-4.0)}, {'J01': 4}, {'J01': 17}, 
280.0, {'J01': np.float32(-4.0)}, {'J01': 4}, {'J01': 23}, 
285.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 29}, 
290.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 32}, 
295.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 26}, 
300.0, {'J01': np.float32(-4.0)}, {'J01': 6}, {'J01': 20}, 
305.0, {'J01': np.float32(-4.0)}, {'J01': 6}, {'J01': 23}, 
310.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 29}, 
315.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 31}, 
320.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 35}, 
325.0, {'J01': np.float32(-4.0)}, {'J01': 6}, {'J01': 26}, 
330.0, {'J01': np.float32(-4.0)}, {'J01': 4}, {'J01': 20}, 
335.0, {'J01': np.float32(-4.0)}, {'J01': 4}, {'J01': 16}, 
340.0, {'J01': np.float32(-3.127232)}, {'J01': 3}, {'J01': 13}, 
345.0, {'J01': np.float32(-3.4776785)}, {'J01': 3}, {'J01': 20}, 
350.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 30}, 
355.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 28}, 
360.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 29}, 
365.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 26}, 
370.0, {'J01': np.float32(-4.0)}, {'J01': 6}, {'J01': 24}, 
375.0, {'J01': np.float32(-4.0)}, {'J01': 4}, {'J01': 19}, 
380.0, {'J01': np.float32(-4.0)}, {'J01': 4}, {'J01': 16}, 
385.0, {'J01': np.float32(-4.0)}, {'J01': 4}, {'J01': 20}, 
390.0, {'J01': np.float32(-4.0)}, {'J01': 4}, {'J01': 22}, 
395.0, {'J01': np.float32(-4.0)}, {'J01': 6}, {'J01': 29}, 
400.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 32}, 
405.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 32}, 
410.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 30}, 
415.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 29}, 
420.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 34}, 
425.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 38}, 
430.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 35}, 
435.0, {'J01': np.float32(-4.0)}, {'J01': 6}, {'J01': 29}, 
440.0, {'J01': np.float32(-4.0)}, {'J01': 5}, {'J01': 21}, 
445.0, {'J01': np.float32(-4.0)}, {'J01': 5}, {'J01': 16}, 
450.0, {'J01': np.float32(-4.0)}, {'J01': 5}, {'J01': 16}, 
455.0, {'J01': np.float32(-3.3861606)}, {'J01': 4}, {'J01': 20}, 
460.0, {'J01': np.float32(-2.4732144)}, {'J01': 6}, {'J01': 25}, 
465.0, {'J01': np.float32(-3.34375)}, {'J01': 8}, {'J01': 31}, 
470.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 33}, 
475.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 31}, 
480.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 35}, 
485.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 32}, 
490.0, {'J01': np.float32(-4.0)}, {'J01': 6}, {'J01': 27}, 
495.0, {'J01': np.float32(-4.0)}, {'J01': 4}, {'J01': 19}, 
500.0, {'J01': np.float32(-4.0)}, {'J01': 4}, {'J01': 16}, 
505.0, {'J01': np.float32(-4.0)}, {'J01': 4}, {'J01': 16}, 
510.0, {'J01': np.float32(-4.0)}, {'J01': 4}, {'J01': 18}, 
515.0, {'J01': np.float32(-4.0)}, {'J01': 4}, {'J01': 18}, 
520.0, {'J01': np.float32(-4.0)}, {'J01': 4}, {'J01': 20}, 
525.0, {'J01': np.float32(-4.0)}, {'J01': 4}, {'J01': 18}, 
530.0, {'J01': np.float32(-4.0)}, {'J01': 5}, {'J01': 17}, 
535.0, {'J01': np.float32(-4.0)}, {'J01': 5}, {'J01': 20}, 
540.0, {'J01': np.float32(-4.0)}, {'J01': 5}, {'J01': 19}, 
545.0, {'J01': np.float32(-4.0)}, {'J01': 5}, {'J01': 17}, 
550.0, {'J01': np.float32(-4.0)}, {'J01': 6}, {'J01': 18}, 
555.0, {'J01': np.float32(-4.0)}, {'J01': 6}, {'J01': 18}, 
560.0, {'J01': np.float32(-4.0)}, {'J01': 6}, {'J01': 20}, 
565.0, {'J01': np.float32(-4.0)}, {'J01': 6}, {'J01': 22}, 
570.0, {'J01': np.float32(-4.0)}, {'J01': 6}, {'J01': 26}, 
575.0, {'J01': np.float32(-4.0)}, {'J01': 6}, {'J01': 24}, 
580.0, {'J01': np.float32(-4.0)}, {'J01': 6}, {'J01': 28}, 
585.0, {'J01': np.float32(-4.0)}, {'J01': 6}, {'J01': 32}, 
590.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 41}, 
595.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 48}, 
600.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 48}, 
605.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 44}, 
610.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 34}, 
615.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 28}, 
620.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 28}, 
625.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 35}, 
630.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 45}, 
635.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 42}, 
640.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 32}, 
645.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 28}, 
650.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 26}, 
655.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 27}, 
660.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 28}, 
665.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 29}, 
670.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 29}, 
675.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 30}, 
680.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 30}, 
685.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 27}, 
690.0, {'J01': np.float32(-4.0)}, {'J01': 6}, {'J01': 30}, 
695.0, {'J01': np.float32(-4.0)}, {'J01': 6}, {'J01': 34}, 
700.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 30}, 
705.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 30}, 
710.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 30}, 
715.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 30}, 
720.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 32}, 
725.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 33}, 
730.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 31}, 
735.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 31}, 
740.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 31}, 
745.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 32}, 
750.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 29}, 
