5.0, {'J01': np.float32(0.0)}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': np.float32(-0.008928572)}, {'J01': 1}, {'J01': 1}, 
15.0, {'J01': np.float32(-0.11160714)}, {'J01': 3}, {'J01': 6}, 
20.0, {'J01': np.float32(-0.22991072)}, {'J01': 2}, {'J01': 5}, 
25.0, {'J01': np.float32(-0.29910713)}, {'J01': 1}, {'J01': 3}, 
30.0, {'J01': np.float32(-0.33482143)}, {'J01': 2}, {'J01': 5}, 
35.0, {'J01': np.float32(-0.59151787)}, {'J01': 2}, {'J01': 9}, 
40.0, {'J01': np.float32(-0.9754464)}, {'J01': 3}, {'J01': 12}, 
45.0, {'J01': np.float32(-1.5959822)}, {'J01': 4}, {'J01': 19}, 
50.0, {'J01': np.float32(-2.0111606)}, {'J01': 7}, {'J01': 24}, 
55.0, {'J01': np.float32(-2.0044644)}, {'J01': 6}, {'J01': 19}, 
60.0, {'J01': np.float32(-2.310268)}, {'J01': 4}, {'J01': 16}, 
65.0, {'J01': np.float32(-2.3638394)}, {'J01': 3}, {'J01': 15}, 
70.0, {'J01': np.float32(-2.96875)}, {'J01': 3}, {'J01': 20}, 
75.0, {'J01': np.float32(-3.955357)}, {'J01': 6}, {'J01': 31}, 
80.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 35}, 
85.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 32}, 
90.0, {'J01': np.float32(-4.0)}, {'J01': 5}, {'J01': 25}, 
95.0, {'J01': np.float32(-4.0)}, {'J01': 4}, {'J01': 21}, 
100.0, {'J01': np.float32(-4.0)}, {'J01': 4}, {'J01': 25}, 
105.0, {'J01': np.float32(-4.0)}, {'J01': 6}, {'J01': 29}, 
110.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 34}, 
115.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 37}, 
120.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 43}, 
125.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 38}, 
130.0, {'J01': np.float32(-4.0)}, {'J01': 5}, {'J01': 28}, 
135.0, {'J01': np.float32(-4.0)}, {'J01': 5}, {'J01': 22}, 
140.0, {'J01': np.float32(-4.0)}, {'J01': 5}, {'J01': 18}, 
145.0, {'J01': np.float32(-4.0)}, {'J01': 5}, {'J01': 22}, 
150.0, {'J01': np.float32(-4.0)}, {'J01': 4}, {'J01': 19}, 
155.0, {'J01': np.float32(-4.0)}, {'J01': 4}, {'J01': 26}, 
160.0, {'J01': np.float32(-4.0)}, {'J01': 6}, {'J01': 32}, 
165.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 34}, 
170.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 33}, 
175.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 36}, 
180.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 42}, 
