episode,agent,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,ped_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,bike_queue_frac,ped_queue_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,IPPO,2770607.0,6919336.5,57423.5,47356.0,21278.0,5033.0,-3.84964,0.57931,-4.0,0.0,0.7099,0.0059,0.2888,0.0683,0.0,0.0,0.0,1080,35.2
2,IPPO,3122447.0,10792863.0,30007.5,56495.0,30142.0,4132.0,-3.9078,0.42966,-4.0,0.0,0.7739,0.0022,0.3321,0.0455,0.0,0.0,0.0,1080,37.7
3,IPPO,2518305.5,1217104.5,37825.0,34318.0,9059.0,4330.0,-3.82407,0.58798,-4.0,0.0,0.3226,0.01,0.1899,0.0908,0.0,0.0,0.0,1080,32.3
4,IPPO,2685714.5,2331540.5,32650.0,38880.0,13033.0,4141.0,-3.8635,0.52462,-4.0,0.0,0.4617,0.0065,0.2325,0.0739,0.0,0.0,0.0,1080,33.1
5,IPPO,3109914.5,6729342.0,25320.5,49071.0,23554.0,3845.0,-3.74794,0.71977,-4.0,0.0,0.6822,0.0026,0.308,0.0503,0.0,0.0,0.0,1080,36.3
6,IPPO,2332907.0,464603.5,42977.5,31889.0,6725.0,4163.0,-3.82962,0.58673,-4.0,0.0,0.1636,0.0151,0.1572,0.0973,0.0,0.0,0.0,1080,31.3
7,IPPO,2950608.0,3294652.5,42491.0,42499.0,16150.0,4245.0,-3.81119,0.62863,-4.0,0.0,0.524,0.0068,0.2568,0.0675,0.0,0.0,0.0,1080,33.6
8,IPPO,92868308.5,135279363.0,1365875.5,88951.0,50666.0,16375.0,-3.96732,0.3378,-4.0,0.0,0.5894,0.006,0.3248,0.105,0.0,0.0,0.0,1080,54.9
9,IPPO,127418188.0,326786494.5,6832154.0,102880.0,74629.0,62630.0,-3.96698,0.31152,-4.0,0.0,0.7088,0.0148,0.3108,0.2608,0.0,0.0,0.0,1080,64.4
10,IPPO,158617820.5,335565828.5,6826599.5,107209.0,75154.0,62998.0,-3.97332,0.29622,-4.0,0.0,0.6698,0.0136,0.3063,0.2568,0.0,0.0,0.0,1080,66.1
11,IPPO,150581154.0,310695939.0,6713442.0,103767.0,71346.0,59320.0,-3.96865,0.31059,-4.0,0.0,0.6639,0.0143,0.3043,0.253,0.0,0.0,0.0,1080,66.5
12,IPPO,140826493.0,330334953.5,6757212.0,102479.0,73536.0,62994.0,-3.96698,0.32342,-4.0,0.0,0.6912,0.0141,0.3077,0.2636,0.0,0.0,0.0,1080,65.9
