episode,agent,decision,signal_id,reward
1,MAXPRESSURE,50,J01,-5778.0
1,MAXPRESSURE,100,J01,-10405.5
1,MAXPRESSURE,150,J01,-16403.5
1,MAXPRESSURE,200,J01,-22265.0
1,MAXPRESSURE,250,J01,-26057.0
1,MAXPRESSURE,300,J01,-34498.0
1,MAXPRESSURE,350,J01,-38191.5
1,MAXPRESSURE,400,J01,-47693.0
1,MAXPRESSURE,450,J01,-57270.5
1,MAXPRESSURE,500,J01,-66734.0
1,MAXPRESSURE,550,J01,-64426.0
1,MAXPRESSURE,600,J01,-66531.5
1,MAXPRESSURE,650,J01,-72169.0
1,MAXPRESSURE,700,J01,-77487.5
1,MAXPRESSURE,750,J01,-86858.5
1,MAXPRESSURE,800,J01,-96358.5
1,MAXPRESSURE,850,J01,-105858.5
1,MAXPRESSURE,900,J01,-115358.5
1,MAXPRESSURE,950,J01,-124858.5
1,MAXPRESSURE,1000,J01,-134358.5
1,MAXPRESSURE,1050,J01,-143858.5
2,MAXPRESSURE,50,J01,-4184.5
2,MAXPRESSURE,100,J01,-13618.5
2,MAXPRESSURE,150,J01,-22875.0
2,MAXPRESSURE,200,J01,-32386.0
2,MAXPRESSURE,250,J01,-29083.5
2,MAXPRESSURE,300,J01,-38542.5
2,MAXPRESSURE,350,J01,-48116.5
2,MAXPRESSURE,400,J01,-45279.5
2,MAXPRESSURE,450,J01,-54907.5
2,MAXPRESSURE,500,J01,-50278.5
2,MAXPRESSURE,550,J01,-46493.5
2,MAXPRESSURE,600,J01,-56856.5
2,MAXPRESSURE,650,J01,-91101.0
2,MAXPRESSURE,700,J01,-130509.5
2,MAXPRESSURE,750,J01,-181487.0
2,MAXPRESSURE,800,J01,-225213.5
2,MAXPRESSURE,850,J01,-269383.5
2,MAXPRESSURE,900,J01,-322061.5
2,MAXPRESSURE,950,J01,-181910.0
2,MAXPRESSURE,1000,J01,-136998.5
2,MAXPRESSURE,1050,J01,-8866.0
3,MAXPRESSURE,50,J01,-5487.5
3,MAXPRESSURE,100,J01,-9536.5
3,MAXPRESSURE,150,J01,-16985.5
3,MAXPRESSURE,200,J01,-26435.5
3,MAXPRESSURE,250,J01,-35905.5
3,MAXPRESSURE,300,J01,-45555.5
3,MAXPRESSURE,350,J01,-55012.0
3,MAXPRESSURE,400,J01,-43772.0
3,MAXPRESSURE,450,J01,-50506.5
3,MAXPRESSURE,500,J01,-56193.5
3,MAXPRESSURE,550,J01,-65752.5
3,MAXPRESSURE,600,J01,-71086.0
3,MAXPRESSURE,650,J01,-84402.0
3,MAXPRESSURE,700,J01,-112207.5
3,MAXPRESSURE,750,J01,-151316.5
3,MAXPRESSURE,800,J01,-177747.0
3,MAXPRESSURE,850,J01,-88283.0
3,MAXPRESSURE,900,J01,-27311.5
3,MAXPRESSURE,950,J01,-7542.0
3,MAXPRESSURE,1000,J01,-16900.0
3,MAXPRESSURE,1050,J01,-26400.0
4,MAXPRESSURE,50,J01,-5113.5
4,MAXPRESSURE,100,J01,-11242.5
4,MAXPRESSURE,150,J01,-15257.5
4,MAXPRESSURE,200,J01,-20108.0
4,MAXPRESSURE,250,J01,-27675.0
4,MAXPRESSURE,300,J01,-36690.5
4,MAXPRESSURE,350,J01,-46030.5
4,MAXPRESSURE,400,J01,-49090.0
4,MAXPRESSURE,450,J01,-58084.0
4,MAXPRESSURE,500,J01,-67573.0
4,MAXPRESSURE,550,J01,-62269.0
4,MAXPRESSURE,600,J01,-65665.5
4,MAXPRESSURE,650,J01,-70503.5
4,MAXPRESSURE,700,J01,-78327.5
4,MAXPRESSURE,750,J01,-87826.5
4,MAXPRESSURE,800,J01,-97326.5
4,MAXPRESSURE,850,J01,-106826.5
4,MAXPRESSURE,900,J01,-116326.5
4,MAXPRESSURE,950,J01,-125826.5
4,MAXPRESSURE,1000,J01,-135326.5
4,MAXPRESSURE,1050,J01,-144826.5
5,MAXPRESSURE,50,J01,-7975.0
5,MAXPRESSURE,100,J01,-30890.0
5,MAXPRESSURE,150,J01,-62611.5
5,MAXPRESSURE,200,J01,-96283.5
5,MAXPRESSURE,250,J01,-134327.5
5,MAXPRESSURE,300,J01,-168693.5
5,MAXPRESSURE,350,J01,-200657.0
5,MAXPRESSURE,400,J01,-246427.0
5,MAXPRESSURE,450,J01,-282653.0
5,MAXPRESSURE,500,J01,-312423.5
5,MAXPRESSURE,550,J01,-343740.5
5,MAXPRESSURE,600,J01,-393382.5
5,MAXPRESSURE,650,J01,-445212.0
5,MAXPRESSURE,700,J01,-491770.5
5,MAXPRESSURE,750,J01,-534838.5
5,MAXPRESSURE,800,J01,-545975.5
5,MAXPRESSURE,850,J01,-573678.0
5,MAXPRESSURE,900,J01,-617384.0
5,MAXPRESSURE,950,J01,-656690.0
5,MAXPRESSURE,1000,J01,-702161.0
5,MAXPRESSURE,1050,J01,-728466.5
6,MAXPRESSURE,50,J01,-4457.0
