5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -7.0}, {'J01': 1}, {'J01': 4}, 
20.0, {'J01': -24.5}, {'J01': 1}, {'J01': 2}, 
25.0, {'J01': -46.0}, {'J01': 1}, {'J01': 5}, 
30.0, {'J01': -96.0}, {'J01': 2}, {'J01': 8}, 
35.0, {'J01': -165.5}, {'J01': 2}, {'J01': 10}, 
40.0, {'J01': -201.0}, {'J01': 2}, {'J01': 8}, 
45.0, {'J01': -216.5}, {'J01': 2}, {'J01': 10}, 
50.0, {'J01': -297.0}, {'J01': 2}, {'J01': 18}, 
55.0, {'J01': -367.0}, {'J01': 3}, {'J01': 14}, 
60.0, {'J01': -464.0}, {'J01': 3}, {'J01': 16}, 
65.0, {'J01': -502.5}, {'J01': 4}, {'J01': 24}, 
70.0, {'J01': -719.5}, {'J01': 7}, {'J01': 31}, 
75.0, {'J01': -914.0}, {'J01': 7}, {'J01': 31}, 
80.0, {'J01': -944.5}, {'J01': 5}, {'J01': 24}, 
85.0, {'J01': -1004.5}, {'J01': 4}, {'J01': 20}, 
90.0, {'J01': -932.5}, {'J01': 3}, {'J01': 16}, 
95.0, {'J01': -1097.0}, {'J01': 3}, {'J01': 19}, 
100.0, {'J01': -1317.5}, {'J01': 6}, {'J01': 30}, 
105.0, {'J01': -1641.5}, {'J01': 8}, {'J01': 37}, 
110.0, {'J01': -1791.0}, {'J01': 7}, {'J01': 31}, 
115.0, {'J01': -1843.5}, {'J01': 5}, {'J01': 25}, 
120.0, {'J01': -1935.5}, {'J01': 4}, {'J01': 24}, 
125.0, {'J01': -1991.5}, {'J01': 4}, {'J01': 20}, 
130.0, {'J01': -1825.5}, {'J01': 3}, {'J01': 16}, 
135.0, {'J01': -1668.5}, {'J01': 3}, {'J01': 20}, 
140.0, {'J01': -1894.5}, {'J01': 7}, {'J01': 32}, 
145.0, {'J01': -2242.0}, {'J01': 8}, {'J01': 41}, 
150.0, {'J01': -2530.0}, {'J01': 8}, {'J01': 41}, 
155.0, {'J01': -2630.0}, {'J01': 6}, {'J01': 32}, 
160.0, {'J01': -2654.5}, {'J01': 4}, {'J01': 27}, 
165.0, {'J01': -2648.5}, {'J01': 4}, {'J01': 21}, 
170.0, {'J01': -2667.0}, {'J01': 4}, {'J01': 21}, 
175.0, {'J01': -2478.0}, {'J01': 4}, {'J01': 26}, 
180.0, {'J01': -2651.0}, {'J01': 7}, {'J01': 32}, 
185.0, {'J01': -2988.0}, {'J01': 8}, {'J01': 37}, 
190.0, {'J01': -3196.5}, {'J01': 7}, {'J01': 35}, 
195.0, {'J01': -3262.0}, {'J01': 5}, {'J01': 29}, 
200.0, {'J01': -3196.0}, {'J01': 4}, {'J01': 23}, 
205.0, {'J01': -3236.0}, {'J01': 4}, {'J01': 19}, 
210.0, {'J01': -3084.5}, {'J01': 4}, {'J01': 20}, 
215.0, {'J01': -3131.0}, {'J01': 4}, {'J01': 24}, 
220.0, {'J01': -3341.5}, {'J01': 7}, {'J01': 31}, 
225.0, {'J01': -3627.5}, {'J01': 7}, {'J01': 32}, 
230.0, {'J01': -3797.0}, {'J01': 5}, {'J01': 27}, 
235.0, {'J01': -3927.0}, {'J01': 5}, {'J01': 23}, 
240.0, {'J01': -4074.0}, {'J01': 5}, {'J01': 21}, 
245.0, {'J01': -4073.0}, {'J01': 6}, {'J01': 22}, 
250.0, {'J01': -3986.5}, {'J01': 7}, {'J01': 24}, 
255.0, {'J01': -4153.0}, {'J01': 7}, {'J01': 31}, 
260.0, {'J01': -4436.5}, {'J01': 8}, {'J01': 39}, 
265.0, {'J01': -4718.5}, {'J01': 7}, {'J01': 39}, 
270.0, {'J01': -4868.0}, {'J01': 7}, {'J01': 31}, 
275.0, {'J01': -5030.5}, {'J01': 7}, {'J01': 28}, 
280.0, {'J01': -5188.0}, {'J01': 7}, {'J01': 27}, 
285.0, {'J01': -5190.0}, {'J01': 8}, {'J01': 26}, 
290.0, {'J01': -5401.5}, {'J01': 8}, {'J01': 33}, 
295.0, {'J01': -5655.0}, {'J01': 8}, {'J01': 32}, 
300.0, {'J01': -5868.0}, {'J01': 8}, {'J01': 28}, 
305.0, {'J01': -5903.5}, {'J01': 8}, {'J01': 26}, 
310.0, {'J01': -6172.5}, {'J01': 8}, {'J01': 32}, 
315.0, {'J01': -6512.5}, {'J01': 8}, {'J01': 41}, 
320.0, {'J01': -6936.5}, {'J01': 8}, {'J01': 46}, 
325.0, {'J01': -7123.0}, {'J01': 8}, {'J01': 38}, 
330.0, {'J01': -7353.0}, {'J01': 8}, {'J01': 34}, 
335.0, {'J01': -7541.5}, {'J01': 8}, {'J01': 30}, 
340.0, {'J01': -7416.0}, {'J01': 8}, {'J01': 27}, 
345.0, {'J01': -7434.0}, {'J01': 8}, {'J01': 29}, 
350.0, {'J01': -7644.0}, {'J01': 8}, {'J01': 32}, 
355.0, {'J01': -7922.0}, {'J01': 8}, {'J01': 32}, 
360.0, {'J01': -8210.0}, {'J01': 8}, {'J01': 34}, 
365.0, {'J01': -8427.0}, {'J01': 8}, {'J01': 33}, 
370.0, {'J01': -7125.0}, {'J01': 8}, {'J01': 33}, 
375.0, {'J01': -6991.5}, {'J01': 8}, {'J01': 34}, 
380.0, {'J01': -7312.0}, {'J01': 8}, {'J01': 34}, 
385.0, {'J01': -7678.5}, {'J01': 8}, {'J01': 42}, 
390.0, {'J01': -7732.0}, {'J01': 8}, {'J01': 38}, 
395.0, {'J01': -7709.0}, {'J01': 8}, {'J01': 31}, 
400.0, {'J01': -7899.0}, {'J01': 8}, {'J01': 27}, 
405.0, {'J01': -7844.0}, {'J01': 8}, {'J01': 25}, 
410.0, {'J01': -7753.5}, {'J01': 8}, {'J01': 25}, 
415.0, {'J01': -7781.5}, {'J01': 8}, {'J01': 29}, 
420.0, {'J01': -8091.0}, {'J01': 8}, {'J01': 36}, 
425.0, {'J01': -8475.5}, {'J01': 8}, {'J01': 44}, 
430.0, {'J01': -8540.0}, {'J01': 8}, {'J01': 33}, 
435.0, {'J01': -8599.0}, {'J01': 8}, {'J01': 25}, 
440.0, {'J01': -8717.0}, {'J01': 8}, {'J01': 26}, 
445.0, {'J01': -8927.5}, {'J01': 8}, {'J01': 26}, 
450.0, {'J01': -9132.5}, {'J01': 8}, {'J01': 28}, 
