episode,agent,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,ped_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,bike_queue_frac,ped_queue_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,MAXPRESSURE,41538443.0,3307554.5,518497.0,34565.0,8619.0,10564.0,-41524.07176,27741.38477,-124327.5,0.0,0.0729,0.0114,0.1604,0.1965,0.0,0.0,0.0,1080,27.1
2,MAXPRESSURE,64914528.0,71753.0,40273.5,27664.0,2165.0,5184.0,-60172.48241,39519.30634,-144401.5,0.0,0.0011,0.0006,0.0618,0.1481,0.0,0.0,0.0,1080,25.5
3,MAXPRESSURE,47881192.0,9387447.5,910734.5,41264.0,14408.0,14385.0,-53026.51806,38898.14841,-171104.5,0.0,0.1614,0.0157,0.2057,0.2053,0.0,0.0,0.0,1080,28.1
4,MAXPRESSURE,72200346.5,257541422.5,12740126.5,134927.0,98252.0,140590.0,-305316.45278,204266.50454,-647949.0,0.0,0.752,0.0372,0.2629,0.3761,0.0,0.0,0.0,1080,71.4
5,MAXPRESSURE,40279479.0,3242266.0,654240.0,35081.0,8641.0,11623.0,-40297.91204,27431.28004,-124009.0,0.0,0.0734,0.0148,0.1561,0.21,0.0,0.0,0.0,1080,27.0
6,MAXPRESSURE,41995291.5,3965092.5,543487.5,36303.0,9817.0,10998.0,-42555.91111,28035.02399,-128990.5,0.0,0.0853,0.0117,0.1719,0.1925,0.0,0.0,0.0,1080,26.6
7,MAXPRESSURE,72201889.5,40086.0,29526.0,25590.0,1631.0,4964.0,-66890.71806,38650.63134,-145474.0,0.0,0.0006,0.0004,0.0507,0.1542,0.0,0.0,0.0,1080,25.0
8,MAXPRESSURE,40823890.5,4023691.5,577111.5,36753.0,10460.0,10861.0,-41525.53889,28165.70225,-129373.0,0.0,0.0886,0.0127,0.1801,0.187,0.0,0.0,0.0,1080,27.3
9,MAXPRESSURE,70886114.0,34963.5,29972.5,25757.0,1601.0,4989.0,-65667.66435,40238.21477,-146391.0,0.0,0.0005,0.0004,0.0495,0.1542,0.0,0.0,0.0,1080,25.3
10,MAXPRESSURE,72346224.0,35816.0,27445.0,25898.0,1584.0,4704.0,-67020.40741,41501.86151,-150748.5,0.0,0.0005,0.0004,0.0492,0.1462,0.0,0.0,0.0,1080,25.5
11,MAXPRESSURE,75013078.5,37394.0,27717.5,25778.0,1639.0,4641.0,-69491.17824,38795.17426,-145298.0,0.0,0.0005,0.0004,0.0511,0.1448,0.0,0.0,0.0,1080,25.5
