5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -7.5}, {'J01': 1}, {'J01': 3}, 
20.0, {'J01': -40.5}, {'J01': 2}, {'J01': 4}, 
25.0, {'J01': -83.5}, {'J01': 3}, {'J01': 6}, 
30.0, {'J01': -111.5}, {'J01': 2}, {'J01': 5}, 
35.0, {'J01': -136.5}, {'J01': 2}, {'J01': 7}, 
40.0, {'J01': -188.5}, {'J01': 3}, {'J01': 7}, 
45.0, {'J01': -266.5}, {'J01': 3}, {'J01': 10}, 
50.0, {'J01': -377.5}, {'J01': 4}, {'J01': 15}, 
55.0, {'J01': -531.0}, {'J01': 4}, {'J01': 17}, 
60.0, {'J01': -701.0}, {'J01': 4}, {'J01': 17}, 
65.0, {'J01': -698.5}, {'J01': 3}, {'J01': 16}, 
70.0, {'J01': -778.5}, {'J01': 3}, {'J01': 17}, 
75.0, {'J01': -917.5}, {'J01': 3}, {'J01': 18}, 
80.0, {'J01': -1102.5}, {'J01': 4}, {'J01': 19}, 
85.0, {'J01': -1297.5}, {'J01': 4}, {'J01': 21}, 
90.0, {'J01': -1507.5}, {'J01': 4}, {'J01': 21}, 
95.0, {'J01': -1723.0}, {'J01': 4}, {'J01': 23}, 
100.0, {'J01': -1958.5}, {'J01': 4}, {'J01': 25}, 
105.0, {'J01': -2197.5}, {'J01': 5}, {'J01': 27}, 
110.0, {'J01': -2422.0}, {'J01': 4}, {'J01': 25}, 
115.0, {'J01': -2629.0}, {'J01': 4}, {'J01': 25}, 
120.0, {'J01': -2851.0}, {'J01': 4}, {'J01': 25}, 
125.0, {'J01': -2854.5}, {'J01': 3}, {'J01': 24}, 
130.0, {'J01': -2982.0}, {'J01': 4}, {'J01': 28}, 
135.0, {'J01': -3227.0}, {'J01': 5}, {'J01': 31}, 
140.0, {'J01': -3471.0}, {'J01': 5}, {'J01': 29}, 
145.0, {'J01': -3710.0}, {'J01': 5}, {'J01': 29}, 
150.0, {'J01': -3937.5}, {'J01': 5}, {'J01': 28}, 
155.0, {'J01': -3511.5}, {'J01': 5}, {'J01': 26}, 
160.0, {'J01': -3339.0}, {'J01': 5}, {'J01': 31}, 
165.0, {'J01': -3677.0}, {'J01': 6}, {'J01': 42}, 
170.0, {'J01': -4106.5}, {'J01': 7}, {'J01': 45}, 
175.0, {'J01': -4244.5}, {'J01': 5}, {'J01': 36}, 
180.0, {'J01': -4383.0}, {'J01': 5}, {'J01': 29}, 
185.0, {'J01': -3762.0}, {'J01': 5}, {'J01': 23}, 
190.0, {'J01': -3893.0}, {'J01': 6}, {'J01': 28}, 
195.0, {'J01': -4120.5}, {'J01': 7}, {'J01': 34}, 
200.0, {'J01': -4399.5}, {'J01': 7}, {'J01': 37}, 
205.0, {'J01': -4537.5}, {'J01': 7}, {'J01': 32}, 
210.0, {'J01': -4651.5}, {'J01': 7}, {'J01': 26}, 
215.0, {'J01': -3684.0}, {'J01': 7}, {'J01': 22}, 
220.0, {'J01': -3734.0}, {'J01': 7}, {'J01': 26}, 
225.0, {'J01': -4017.0}, {'J01': 7}, {'J01': 35}, 
230.0, {'J01': -4322.5}, {'J01': 7}, {'J01': 35}, 
235.0, {'J01': -4525.5}, {'J01': 7}, {'J01': 32}, 
240.0, {'J01': -4617.0}, {'J01': 7}, {'J01': 26}, 
245.0, {'J01': -3868.5}, {'J01': 7}, {'J01': 23}, 
250.0, {'J01': -4107.0}, {'J01': 7}, {'J01': 28}, 
255.0, {'J01': -4402.5}, {'J01': 7}, {'J01': 36}, 
260.0, {'J01': -4569.0}, {'J01': 7}, {'J01': 33}, 
265.0, {'J01': -4907.0}, {'J01': 7}, {'J01': 36}, 
