episode,agent,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,ped_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,bike_queue_frac,ped_queue_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,MAXWAVE,19759220.0,4898296.5,878604.5,36489.0,11646.0,15781.0,-22831.0338,16282.74244,-84232.0,0.0,0.1918,0.0344,0.1822,0.2469,0.0,0.0,0.0,1080,25.0
2,MAXWAVE,65301026.5,215787984.5,10978060.5,125408.0,90709.0,120420.0,-260267.60278,208570.83726,-668207.0,0.0,0.7388,0.0376,0.2695,0.3578,0.0,0.0,0.0,1080,59.9
3,MAXWAVE,18480750.5,4280633.5,648963.5,36837.0,11692.0,14768.0,-21075.35556,13481.00684,-68039.5,0.0,0.1829,0.0277,0.1847,0.2333,0.0,0.0,0.0,1080,25.4
4,MAXWAVE,27805437.5,8039690.0,820686.0,39629.0,14626.0,16736.0,-33189.93287,27346.04606,-128194.0,0.0,0.2193,0.0224,0.206,0.2357,0.0,0.0,0.0,1080,25.6
5,MAXWAVE,24588819.5,6617005.0,587246.5,38331.0,12925.0,13957.0,-28894.28194,17763.44649,-70195.0,0.0,0.2081,0.0185,0.1982,0.214,0.0,0.0,0.0,1080,26.1
6,MAXWAVE,71472326.5,239864437.5,11061081.0,130226.0,95407.0,120802.0,-288274.78148,211795.40842,-669170.5,0.0,0.744,0.0343,0.2754,0.3487,0.0,0.0,0.0,1080,58.6
7,MAXWAVE,61621323.5,276213394.0,12973495.5,134854.0,101982.0,139376.0,-312809.92361,211446.30522,-683574.0,0.0,0.7874,0.037,0.2711,0.3705,0.0,0.0,0.0,1080,62.3
8,MAXWAVE,23101964.0,41692171.5,3166175.0,64948.0,36754.0,38720.0,-59994.56991,68121.17702,-245284.0,0.0,0.6135,0.0466,0.2617,0.2757,0.0,0.0,0.0,1080,31.2
9,MAXWAVE,22541880.5,52735929.0,3507743.0,71075.0,42714.0,39816.0,-69701.67546,76658.39434,-269188.0,0.0,0.6694,0.0445,0.2781,0.2592,0.0,0.0,0.0,1080,33.6
10,MAXWAVE,18213631.0,4160363.5,759509.5,35684.0,11282.0,16302.0,-20716.66157,14624.81112,-82895.0,0.0,0.1798,0.0328,0.1783,0.2577,0.0,0.0,0.0,1080,25.1
11,MAXWAVE,33540752.5,8952172.5,1106813.0,41504.0,15249.0,18627.0,-39345.30093,35175.85068,-157409.0,0.0,0.2053,0.0254,0.2023,0.2471,0.0,0.0,0.0,1080,26.7
12,MAXWAVE,22781195.0,294249.5,221827.0,27203.0,3926.0,10778.0,-21366.15231,9648.54851,-42849.0,0.0,0.0126,0.0095,0.0937,0.2572,0.0,0.0,0.0,1080,23.2
13,MAXWAVE,27116062.0,6635587.5,1061788.5,39102.0,13533.0,18268.0,-31251.52731,25900.04763,-122075.0,0.0,0.1906,0.0305,0.1909,0.2576,0.0,0.0,0.0,1080,25.9
14,MAXWAVE,66083873.5,250441621.0,10700137.0,130193.0,96217.0,110030.0,-293079.16157,213604.49048,-667184.5,0.0,0.7653,0.0327,0.286,0.327,0.0,0.0,0.0,1080,57.9
15,MAXWAVE,26314009.0,4705959.0,740330.5,37188.0,12214.0,16254.0,-28722.19259,21215.90859,-107332.5,0.0,0.1482,0.0233,0.186,0.2476,0.0,0.0,0.0,1080,25.0
16,MAXWAVE,69519490.0,252852265.0,11694001.5,131977.0,97708.0,129151.0,-298492.36574,206988.28247,-665913.0,0.0,0.7569,0.035,0.2723,0.3599,0.0,0.0,0.0,1080,65.6
17,MAXWAVE,53260852.0,262128763.0,11754364.0,131366.0,100006.0,126525.0,-292027.4213,203384.9037,-647342.0,0.0,0.8013,0.0359,0.2794,0.3535,0.0,0.0,0.0,1080,69.0
18,MAXWAVE,24138524.0,73990238.5,3574503.5,80956.0,52178.0,40826.0,-90859.96528,96142.76022,-319981.5,0.0,0.7275,0.0351,0.2999,0.2347,0.0,0.0,0.0,1080,35.8
19,MAXWAVE,20134560.0,56071240.0,3213553.0,73100.0,44976.0,36967.0,-70560.92593,78175.47763,-269489.5,0.0,0.706,0.0405,0.2901,0.2384,0.0,0.0,0.0,1080,33.9
20,MAXWAVE,58858352.0,238966728.5,11844146.5,128254.0,94926.0,128808.0,-275763.96343,203376.93643,-667657.5,0.0,0.7717,0.0382,0.2697,0.3659,0.0,0.0,0.0,1080,58.1
21,MAXWAVE,15151186.5,4704588.5,703055.5,37118.0,12066.0,15746.0,-18384.97685,12769.05046,-66448.5,0.0,0.2288,0.0342,0.1858,0.2425,0.0,0.0,0.0,1080,24.7
22,MAXWAVE,21587389.5,5393364.0,940260.0,37643.0,12832.0,16745.0,-24982.17917,20768.09007,-106846.0,0.0,0.1932,0.0337,0.1909,0.2491,0.0,0.0,0.0,1080,25.6
23,MAXWAVE,25653760.5,185946.0,137089.5,25443.0,3146.0,8735.0,-23925.65417,10197.51266,-47414.0,0.0,0.0072,0.0053,0.0843,0.234,0.0,0.0,0.0,1080,23.1
24,MAXWAVE,54483798.5,239710924.5,9520006.5,130109.0,96862.0,99037.0,-272402.5213,208511.62472,-671523.0,0.0,0.7893,0.0313,0.2971,0.3038,0.0,0.0,0.0,1080,56.9
25,MAXWAVE,20364820.5,6603942.5,1048561.5,39569.0,13635.0,18341.0,-24971.07685,24437.98554,-114810.0,0.0,0.2357,0.0374,0.1906,0.2564,0.0,0.0,0.0,1080,26.6
26,MAXWAVE,70391703.0,234808354.5,10688007.5,128279.0,93630.0,113936.0,-282592.64583,209142.35924,-656904.0,0.0,0.7433,0.0338,0.2788,0.3393,0.0,0.0,0.0,1080,60.6
27,MAXWAVE,20989421.0,374411.0,174113.5,26717.0,3873.0,9317.0,-19781.32593,9394.78798,-39257.5,0.0,0.0174,0.0081,0.0971,0.2335,0.0,0.0,0.0,1080,22.8
28,MAXWAVE,17236222.0,8574651.5,1022978.0,41861.0,16168.0,17760.0,-23898.95694,21687.60936,-110311.0,0.0,0.3195,0.0381,0.2133,0.2343,0.0,0.0,0.0,1080,26.8
29,MAXWAVE,15662371.5,5481801.0,683403.5,37342.0,12857.0,14992.0,-19577.9375,16088.95403,-81695.0,0.0,0.2511,0.0313,0.1972,0.23,0.0,0.0,0.0,1080,26.2
30,MAXWAVE,64638440.5,254734745.0,11990414.0,133408.0,99516.0,128689.0,-295715.9125,208800.5228,-671509.0,0.0,0.7687,0.0362,0.2752,0.3559,0.0,0.0,0.0,1080,62.0
31,MAXWAVE,70175997.0,235996203.0,10671688.5,129128.0,94444.0,113072.0,-283492.77778,210095.7138,-660420.5,0.0,0.7448,0.0337,0.2805,0.3359,0.0,0.0,0.0,1080,58.9
32,MAXWAVE,27978941.0,75656871.0,4696061.0,81022.0,50938.0,52521.0,-95959.08519,100216.52104,-327710.5,0.0,0.6984,0.0433,0.2761,0.2847,0.0,0.0,0.0,1080,36.0
