episode,agent,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,ped_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,bike_queue_frac,ped_queue_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,MPLight,3207353.5,6601532.5,47072.5,48658.0,22698.0,4712.0,-45.0537,20.26639,-89.0,0.0,0.6698,0.0048,0.2984,0.0619,0.0,0.0,0.0,1080,47.9
2,MPLight,2613599.0,2981016.0,33252.0,40925.0,15205.0,4348.0,-37.89352,15.07195,-79.0,0.0,0.5297,0.0059,0.2514,0.0719,0.0,0.0,0.0,1080,45.9
3,MPLight,2417784.0,2637853.0,65941.5,40437.0,14970.0,5284.0,-37.44167,15.55594,-77.0,0.0,0.515,0.0129,0.2467,0.0871,0.0,0.0,0.0,1080,48.0
4,MPLight,2392099.5,1216674.5,39363.0,35455.0,10238.0,4592.0,-32.8287,12.75529,-70.0,0.0,0.3335,0.0108,0.2036,0.0913,0.0,0.0,0.0,1080,50.2
5,MPLight,2453855.0,952459.0,49720.5,34372.0,9261.0,4988.0,-31.82593,12.00391,-65.0,0.0,0.2756,0.0144,0.1905,0.1026,0.0,0.0,0.0,1080,50.3
6,MPLight,2295469.0,486788.5,43314.0,31992.0,6638.0,4738.0,-29.62222,10.27762,-61.0,0.0,0.1723,0.0153,0.1531,0.1093,0.0,0.0,0.0,1080,47.5
7,MPLight,2507302.5,1764183.5,50054.0,36915.0,11673.0,4989.0,-34.18056,13.77053,-67.0,0.0,0.4082,0.0116,0.2179,0.0931,0.0,0.0,0.0,1080,47.4
8,MPLight,2250579.0,596609.5,57288.5,32250.0,6686.0,5246.0,-29.86111,10.34619,-59.0,0.0,0.2054,0.0197,0.1513,0.1187,0.0,0.0,0.0,1080,50.3
9,MPLight,2275851.0,402448.5,47144.5,31575.0,5998.0,5020.0,-29.23611,9.34012,-54.0,0.0,0.1477,0.0173,0.1408,0.1179,0.0,0.0,0.0,1080,46.9
10,MPLight,2319923.0,691155.5,45292.5,32919.0,7748.0,4916.0,-30.48056,10.31457,-60.0,0.0,0.2261,0.0148,0.17,0.1078,0.0,0.0,0.0,1080,46.8
