5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -2}, {'J01': 1}, {'J01': 2}, 
20.0, {'J01': -2}, {'J01': 1}, {'J01': 2}, 
25.0, {'J01': -4}, {'J01': 1}, {'J01': 4}, 
30.0, {'J01': -5}, {'J01': 3}, {'J01': 5}, 
35.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
40.0, {'J01': -8}, {'J01': 4}, {'J01': 8}, 
45.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
50.0, {'J01': -9}, {'J01': 4}, {'J01': 9}, 
55.0, {'J01': -12}, {'J01': 4}, {'J01': 12}, 
60.0, {'J01': -15}, {'J01': 3}, {'J01': 15}, 
65.0, {'J01': -14}, {'J01': 3}, {'J01': 14}, 
70.0, {'J01': -16}, {'J01': 4}, {'J01': 16}, 
75.0, {'J01': -20}, {'J01': 4}, {'J01': 20}, 
80.0, {'J01': -15}, {'J01': 4}, {'J01': 15}, 
85.0, {'J01': -15}, {'J01': 4}, {'J01': 15}, 
90.0, {'J01': -15}, {'J01': 3}, {'J01': 15}, 
95.0, {'J01': -16}, {'J01': 3}, {'J01': 16}, 
100.0, {'J01': -19}, {'J01': 4}, {'J01': 19}, 
105.0, {'J01': -15}, {'J01': 4}, {'J01': 15}, 
110.0, {'J01': -15}, {'J01': 4}, {'J01': 15}, 
115.0, {'J01': -16}, {'J01': 3}, {'J01': 16}, 
120.0, {'J01': -19}, {'J01': 3}, {'J01': 19}, 
125.0, {'J01': -21}, {'J01': 3}, {'J01': 21}, 
130.0, {'J01': -24}, {'J01': 4}, {'J01': 24}, 
135.0, {'J01': -28}, {'J01': 6}, {'J01': 28}, 
140.0, {'J01': -24}, {'J01': 5}, {'J01': 24}, 
145.0, {'J01': -17}, {'J01': 4}, {'J01': 17}, 
150.0, {'J01': -15}, {'J01': 4}, {'J01': 15}, 
155.0, {'J01': -17}, {'J01': 4}, {'J01': 17}, 
160.0, {'J01': -17}, {'J01': 3}, {'J01': 17}, 
165.0, {'J01': -25}, {'J01': 5}, {'J01': 25}, 
170.0, {'J01': -28}, {'J01': 4}, {'J01': 28}, 
175.0, {'J01': -30}, {'J01': 7}, {'J01': 30}, 
180.0, {'J01': -34}, {'J01': 7}, {'J01': 34}, 
185.0, {'J01': -26}, {'J01': 6}, {'J01': 26}, 
190.0, {'J01': -18}, {'J01': 4}, {'J01': 18}, 
195.0, {'J01': -15}, {'J01': 4}, {'J01': 15}, 
200.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
205.0, {'J01': -11}, {'J01': 3}, {'J01': 11}, 
210.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
215.0, {'J01': -18}, {'J01': 4}, {'J01': 18}, 
220.0, {'J01': -25}, {'J01': 6}, {'J01': 25}, 
225.0, {'J01': -23}, {'J01': 6}, {'J01': 23}, 
230.0, {'J01': -19}, {'J01': 4}, {'J01': 19}, 
235.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
240.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
245.0, {'J01': -12}, {'J01': 4}, {'J01': 12}, 
250.0, {'J01': -12}, {'J01': 4}, {'J01': 12}, 
255.0, {'J01': -12}, {'J01': 4}, {'J01': 12}, 
260.0, {'J01': -9}, {'J01': 4}, {'J01': 9}, 
265.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
270.0, {'J01': -12}, {'J01': 4}, {'J01': 12}, 
275.0, {'J01': -15}, {'J01': 4}, {'J01': 15}, 
280.0, {'J01': -12}, {'J01': 4}, {'J01': 12}, 
285.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
290.0, {'J01': -12}, {'J01': 4}, {'J01': 12}, 
295.0, {'J01': -19}, {'J01': 4}, {'J01': 19}, 
300.0, {'J01': -17}, {'J01': 4}, {'J01': 17}, 
305.0, {'J01': -17}, {'J01': 3}, {'J01': 17}, 
310.0, {'J01': -19}, {'J01': 3}, {'J01': 19}, 
315.0, {'J01': -21}, {'J01': 4}, {'J01': 21}, 
320.0, {'J01': -28}, {'J01': 5}, {'J01': 28}, 
325.0, {'J01': -24}, {'J01': 5}, {'J01': 24}, 
330.0, {'J01': -24}, {'J01': 4}, {'J01': 24}, 
335.0, {'J01': -19}, {'J01': 4}, {'J01': 19}, 
340.0, {'J01': -17}, {'J01': 4}, {'J01': 17}, 
345.0, {'J01': -25}, {'J01': 4}, {'J01': 25}, 
350.0, {'J01': -22}, {'J01': 5}, {'J01': 22}, 
355.0, {'J01': -19}, {'J01': 4}, {'J01': 19}, 
360.0, {'J01': -16}, {'J01': 4}, {'J01': 16}, 
365.0, {'J01': -16}, {'J01': 4}, {'J01': 16}, 
370.0, {'J01': -22}, {'J01': 4}, {'J01': 22}, 
375.0, {'J01': -18}, {'J01': 4}, {'J01': 18}, 
380.0, {'J01': -14}, {'J01': 4}, {'J01': 14}, 
385.0, {'J01': -13}, {'J01': 3}, {'J01': 13}, 
390.0, {'J01': -17}, {'J01': 3}, {'J01': 17}, 
395.0, {'J01': -22}, {'J01': 4}, {'J01': 22}, 
400.0, {'J01': -25}, {'J01': 5}, {'J01': 25}, 
405.0, {'J01': -31}, {'J01': 7}, {'J01': 31}, 
410.0, {'J01': -35}, {'J01': 8}, {'J01': 35}, 
415.0, {'J01': -40}, {'J01': 7}, {'J01': 40}, 
420.0, {'J01': -41}, {'J01': 7}, {'J01': 41}, 
425.0, {'J01': -43}, {'J01': 7}, {'J01': 43}, 
430.0, {'J01': -42}, {'J01': 7}, {'J01': 42}, 
435.0, {'J01': -40}, {'J01': 7}, {'J01': 40}, 
440.0, {'J01': -39}, {'J01': 7}, {'J01': 39}, 
445.0, {'J01': -39}, {'J01': 7}, {'J01': 39}, 
450.0, {'J01': -42}, {'J01': 7}, {'J01': 42}, 
455.0, {'J01': -30}, {'J01': 5}, {'J01': 30}, 
460.0, {'J01': -30}, {'J01': 6}, {'J01': 30}, 
465.0, {'J01': -24}, {'J01': 5}, {'J01': 24}, 
470.0, {'J01': -18}, {'J01': 5}, {'J01': 18}, 
475.0, {'J01': -19}, {'J01': 5}, {'J01': 19}, 
480.0, {'J01': -18}, {'J01': 5}, {'J01': 18}, 
485.0, {'J01': -22}, {'J01': 6}, {'J01': 22}, 
490.0, {'J01': -20}, {'J01': 5}, {'J01': 20}, 
495.0, {'J01': -15}, {'J01': 5}, {'J01': 15}, 
500.0, {'J01': -17}, {'J01': 5}, {'J01': 17}, 
505.0, {'J01': -25}, {'J01': 5}, {'J01': 25}, 
510.0, {'J01': -31}, {'J01': 6}, {'J01': 31}, 
515.0, {'J01': -38}, {'J01': 8}, {'J01': 38}, 
520.0, {'J01': -34}, {'J01': 7}, {'J01': 34}, 
525.0, {'J01': -30}, {'J01': 5}, {'J01': 30}, 
530.0, {'J01': -29}, {'J01': 6}, {'J01': 29}, 
535.0, {'J01': -26}, {'J01': 6}, {'J01': 26}, 
540.0, {'J01': -29}, {'J01': 6}, {'J01': 29}, 
545.0, {'J01': -32}, {'J01': 8}, {'J01': 32}, 
550.0, {'J01': -33}, {'J01': 8}, {'J01': 33}, 
555.0, {'J01': -31}, {'J01': 8}, {'J01': 31}, 
560.0, {'J01': -33}, {'J01': 8}, {'J01': 33}, 
565.0, {'J01': -34}, {'J01': 8}, {'J01': 34}, 
570.0, {'J01': -34}, {'J01': 8}, {'J01': 34}, 
575.0, {'J01': -28}, {'J01': 7}, {'J01': 28}, 
580.0, {'J01': -22}, {'J01': 6}, {'J01': 22}, 
585.0, {'J01': -25}, {'J01': 6}, {'J01': 25}, 
590.0, {'J01': -19}, {'J01': 6}, {'J01': 19}, 
595.0, {'J01': -19}, {'J01': 6}, {'J01': 19}, 
600.0, {'J01': -27}, {'J01': 6}, {'J01': 27}, 
605.0, {'J01': -24}, {'J01': 6}, {'J01': 24}, 
610.0, {'J01': -23}, {'J01': 7}, {'J01': 23}, 
615.0, {'J01': -18}, {'J01': 7}, {'J01': 18}, 
620.0, {'J01': -23}, {'J01': 7}, {'J01': 23}, 
625.0, {'J01': -18}, {'J01': 7}, {'J01': 18}, 
630.0, {'J01': -23}, {'J01': 8}, {'J01': 23}, 
635.0, {'J01': -33}, {'J01': 8}, {'J01': 33}, 
640.0, {'J01': -29}, {'J01': 8}, {'J01': 29}, 
645.0, {'J01': -27}, {'J01': 9}, {'J01': 27}, 
650.0, {'J01': -23}, {'J01': 9}, {'J01': 23}, 
655.0, {'J01': -25}, {'J01': 9}, {'J01': 25}, 
660.0, {'J01': -20}, {'J01': 9}, {'J01': 20}, 
665.0, {'J01': -28}, {'J01': 10}, {'J01': 28}, 
670.0, {'J01': -34}, {'J01': 8}, {'J01': 34}, 
675.0, {'J01': -44}, {'J01': 8}, {'J01': 44}, 
680.0, {'J01': -46}, {'J01': 9}, {'J01': 46}, 
685.0, {'J01': -48}, {'J01': 9}, {'J01': 48}, 
690.0, {'J01': -41}, {'J01': 9}, {'J01': 41}, 
695.0, {'J01': -40}, {'J01': 9}, {'J01': 40}, 
700.0, {'J01': -32}, {'J01': 9}, {'J01': 32}, 
705.0, {'J01': -32}, {'J01': 9}, {'J01': 32}, 
710.0, {'J01': -26}, {'J01': 9}, {'J01': 26}, 
715.0, {'J01': -29}, {'J01': 9}, {'J01': 29}, 
720.0, {'J01': -36}, {'J01': 9}, {'J01': 36}, 
725.0, {'J01': -44}, {'J01': 9}, {'J01': 44}, 
730.0, {'J01': -43}, {'J01': 10}, {'J01': 43}, 
735.0, {'J01': -44}, {'J01': 10}, {'J01': 44}, 
740.0, {'J01': -38}, {'J01': 10}, {'J01': 38}, 
745.0, {'J01': -31}, {'J01': 11}, {'J01': 31}, 
750.0, {'J01': -31}, {'J01': 11}, {'J01': 31}, 
755.0, {'J01': -29}, {'J01': 12}, {'J01': 29}, 
760.0, {'J01': -31}, {'J01': 12}, {'J01': 31}, 
765.0, {'J01': -38}, {'J01': 12}, {'J01': 38}, 
770.0, {'J01': -36}, {'J01': 12}, {'J01': 36}, 
775.0, {'J01': -34}, {'J01': 12}, {'J01': 34}, 
780.0, {'J01': -34}, {'J01': 9}, {'J01': 34}, 
785.0, {'J01': -37}, {'J01': 8}, {'J01': 37}, 
790.0, {'J01': -41}, {'J01': 9}, {'J01': 41}, 
795.0, {'J01': -36}, {'J01': 9}, {'J01': 36}, 
