5.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -6.182}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
20.0, {'J01': -3.0}, {'J01': 1}, {'J01': 3}, 
25.0, {'J01': -4.0}, {'J01': 1}, {'J01': 4}, 
30.0, {'J01': -12.182}, {'J01': 2}, {'J01': 6}, 
35.0, {'J01': -15.449}, {'J01': 3}, {'J01': 8}, 
40.0, {'J01': -20.54}, {'J01': 3}, {'J01': 10}, 
45.0, {'J01': -31.722}, {'J01': 5}, {'J01': 15}, 
50.0, {'J01': -31.989}, {'J01': 4}, {'J01': 14}, 
55.0, {'J01': -25.989}, {'J01': 3}, {'J01': 8}, 
60.0, {'J01': -30.256}, {'J01': 4}, {'J01': 11}, 
65.0, {'J01': -19.448999999999998}, {'J01': 4}, {'J01': 12}, 
70.0, {'J01': -37.256}, {'J01': 4}, {'J01': 18}, 
75.0, {'J01': -27.273}, {'J01': 5}, {'J01': 18}, 
80.0, {'J01': -34.897999999999996}, {'J01': 5}, {'J01': 20}, 
85.0, {'J01': -45.171}, {'J01': 6}, {'J01': 21}, 
90.0, {'J01': -39.347}, {'J01': 4}, {'J01': 17}, 
95.0, {'J01': -32.347}, {'J01': 4}, {'J01': 10}, 
100.0, {'J01': -38.529}, {'J01': 4}, {'J01': 10}, 
105.0, {'J01': -38.529}, {'J01': 4}, {'J01': 10}, 
110.0, {'J01': -33.347}, {'J01': 4}, {'J01': 11}, 
115.0, {'J01': -54.512}, {'J01': 4}, {'J01': 16}, 
120.0, {'J01': -56.694}, {'J01': 4}, {'J01': 12}, 
125.0, {'J01': -67.791}, {'J01': 4}, {'J01': 12}, 
130.0, {'J01': -47.978}, {'J01': 4}, {'J01': 12}, 
135.0, {'J01': -75.058}, {'J01': 4}, {'J01': 18}, 
140.0, {'J01': -87.507}, {'J01': 4}, {'J01': 23}, 
145.0, {'J01': -83.774}, {'J01': 5}, {'J01': 18}, 
150.0, {'J01': -72.586}, {'J01': 5}, {'J01': 21}, 
155.0, {'J01': -73.325}, {'J01': 5}, {'J01': 15}, 
160.0, {'J01': -79.683}, {'J01': 5}, {'J01': 17}, 
165.0, {'J01': -96.575}, {'J01': 6}, {'J01': 27}, 
170.0, {'J01': -107.10900000000001}, {'J01': 6}, {'J01': 35}, 
175.0, {'J01': -112.376}, {'J01': 7}, {'J01': 39}, 
180.0, {'J01': -104.575}, {'J01': 7}, {'J01': 35}, 
185.0, {'J01': -46.40899999999999}, {'J01': 6}, {'J01': 27}, 
190.0, {'J01': -61.330000000000005}, {'J01': 6}, {'J01': 29}, 
195.0, {'J01': -58.148}, {'J01': 7}, {'J01': 32}, 
200.0, {'J01': -45.517}, {'J01': 8}, {'J01': 33}, 
205.0, {'J01': -52.790000000000006}, {'J01': 8}, {'J01': 31}, 
210.0, {'J01': -43.517}, {'J01': 8}, {'J01': 31}, 
215.0, {'J01': -52.699}, {'J01': 8}, {'J01': 34}, 
220.0, {'J01': -57.881}, {'J01': 8}, {'J01': 33}, 
225.0, {'J01': -54.96600000000001}, {'J01': 8}, {'J01': 35}, 
230.0, {'J01': -44.869}, {'J01': 8}, {'J01': 36}, 
235.0, {'J01': -55.233000000000004}, {'J01': 8}, {'J01': 34}, 
240.0, {'J01': -51.494}, {'J01': 8}, {'J01': 37}, 
245.0, {'J01': -52.761}, {'J01': 8}, {'J01': 37}, 
250.0, {'J01': -62.386}, {'J01': 8}, {'J01': 41}, 
255.0, {'J01': -56.028}, {'J01': 8}, {'J01': 39}, 
260.0, {'J01': -51.852000000000004}, {'J01': 7}, {'J01': 33}, 
265.0, {'J01': -49.40899999999999}, {'J01': 7}, {'J01': 30}, 
270.0, {'J01': -47.761}, {'J01': 7}, {'J01': 32}, 
275.0, {'J01': -52.028}, {'J01': 7}, {'J01': 35}, 
280.0, {'J01': -65.392}, {'J01': 8}, {'J01': 36}, 
285.0, {'J01': -70.568}, {'J01': 8}, {'J01': 43}, 
290.0, {'J01': -59.766999999999996}, {'J01': 7}, {'J01': 36}, 
295.0, {'J01': -39.608000000000004}, {'J01': 5}, {'J01': 24}, 
300.0, {'J01': -44.529}, {'J01': 4}, {'J01': 16}, 
305.0, {'J01': -49.268}, {'J01': 4}, {'J01': 14}, 
310.0, {'J01': -59.984}, {'J01': 4}, {'J01': 16}, 
315.0, {'J01': -49.45}, {'J01': 4}, {'J01': 8}, 
320.0, {'J01': -32.256}, {'J01': 4}, {'J01': 13}, 
325.0, {'J01': -56.33}, {'J01': 4}, {'J01': 24}, 
330.0, {'J01': -35.159}, {'J01': 6}, {'J01': 27}, 
335.0, {'J01': -44.074}, {'J01': 8}, {'J01': 31}, 
340.0, {'J01': -58.529}, {'J01': 8}, {'J01': 30}, 
345.0, {'J01': -73.518}, {'J01': 7}, {'J01': 27}, 
350.0, {'J01': -64.98400000000001}, {'J01': 5}, {'J01': 21}, 
355.0, {'J01': -55.183}, {'J01': 4}, {'J01': 15}, 
360.0, {'J01': -66.547}, {'J01': 4}, {'J01': 14}, 
365.0, {'J01': -75.905}, {'J01': 4}, {'J01': 19}, 
370.0, {'J01': -71.638}, {'J01': 4}, {'J01': 16}, 
375.0, {'J01': -70.638}, {'J01': 4}, {'J01': 15}, 
380.0, {'J01': -75.638}, {'J01': 4}, {'J01': 20}, 
385.0, {'J01': -44.546}, {'J01': 7}, {'J01': 26}, 
390.0, {'J01': -39.364000000000004}, {'J01': 8}, {'J01': 27}, 
395.0, {'J01': -57.262}, {'J01': 8}, {'J01': 30}, 
400.0, {'J01': -57.529}, {'J01': 8}, {'J01': 29}, 
405.0, {'J01': -52.438}, {'J01': 7}, {'J01': 27}, 
410.0, {'J01': -75.342}, {'J01': 7}, {'J01': 27}, 
415.0, {'J01': -58.063}, {'J01': 7}, {'J01': 27}, 
420.0, {'J01': -84.96700000000001}, {'J01': 8}, {'J01': 31}, 
425.0, {'J01': -79.87}, {'J01': 8}, {'J01': 37}, 
430.0, {'J01': -69.512}, {'J01': 8}, {'J01': 31}, 
435.0, {'J01': -83.31899999999999}, {'J01': 8}, {'J01': 33}, 
440.0, {'J01': -80.313}, {'J01': 8}, {'J01': 38}, 
445.0, {'J01': -65.949}, {'J01': 8}, {'J01': 36}, 
450.0, {'J01': -67.03999999999999}, {'J01': 8}, {'J01': 34}, 
455.0, {'J01': -82.023}, {'J01': 8}, {'J01': 39}, 
460.0, {'J01': -75.932}, {'J01': 9}, {'J01': 36}, 
465.0, {'J01': -75.375}, {'J01': 12}, {'J01': 36}, 
470.0, {'J01': -73.017}, {'J01': 12}, {'J01': 38}, 
475.0, {'J01': -82.19900000000001}, {'J01': 12}, {'J01': 41}, 
480.0, {'J01': -87.381}, {'J01': 12}, {'J01': 40}, 
485.0, {'J01': -79.55099999999999}, {'J01': 12}, {'J01': 42}, 
490.0, {'J01': -85.90899999999999}, {'J01': 13}, {'J01': 44}, 
495.0, {'J01': -87.352}, {'J01': 15}, {'J01': 46}, 
500.0, {'J01': -88.886}, {'J01': 16}, {'J01': 45}, 
505.0, {'J01': -73.607}, {'J01': 17}, {'J01': 47}, 
510.0, {'J01': -82.323}, {'J01': 18}, {'J01': 47}, 
515.0, {'J01': -87.59}, {'J01': 18}, {'J01': 51}, 
520.0, {'J01': -96.511}, {'J01': 17}, {'J01': 47}, 
525.0, {'J01': -96.244}, {'J01': 17}, {'J01': 48}, 
530.0, {'J01': -130.773}, {'J01': 17}, {'J01': 54}, 
535.0, {'J01': -134.392}, {'J01': 19}, {'J01': 60}, 
540.0, {'J01': -124.119}, {'J01': 19}, {'J01': 59}, 
545.0, {'J01': -114.02199999999999}, {'J01': 19}, {'J01': 60}, 
550.0, {'J01': -104.84}, {'J01': 19}, {'J01': 57}, 
555.0, {'J01': -126.477}, {'J01': 19}, {'J01': 57}, 
560.0, {'J01': -125.477}, {'J01': 19}, {'J01': 56}, 
565.0, {'J01': -138.017}, {'J01': 20}, {'J01': 58}, 
570.0, {'J01': -118.471}, {'J01': 20}, {'J01': 57}, 
575.0, {'J01': -109.02199999999999}, {'J01': 21}, {'J01': 55}, 
580.0, {'J01': -101.221}, {'J01': 21}, {'J01': 51}, 
585.0, {'J01': -109.966}, {'J01': 20}, {'J01': 45}, 
590.0, {'J01': -111.70500000000001}, {'J01': 18}, {'J01': 40}, 
595.0, {'J01': -106.91}, {'J01': 16}, {'J01': 31}, 
600.0, {'J01': -100.643}, {'J01': 15}, {'J01': 26}, 
605.0, {'J01': -97.10900000000001}, {'J01': 13}, {'J01': 25}, 
610.0, {'J01': -92.84200000000001}, {'J01': 11}, {'J01': 22}, 
615.0, {'J01': -93.84200000000001}, {'J01': 10}, {'J01': 23}, 
620.0, {'J01': -42.852000000000004}, {'J01': 8}, {'J01': 24}, 
625.0, {'J01': -72.489}, {'J01': 7}, {'J01': 32}, 
630.0, {'J01': -64.034}, {'J01': 9}, {'J01': 39}, 
635.0, {'J01': -108.10300000000001}, {'J01': 12}, {'J01': 44}, 
640.0, {'J01': -92.47200000000001}, {'J01': 13}, {'J01': 42}, 
645.0, {'J01': -99.745}, {'J01': 13}, {'J01': 40}, 
650.0, {'J01': -70.102}, {'J01': 13}, {'J01': 40}, 
655.0, {'J01': -86.733}, {'J01': 13}, {'J01': 43}, 
660.0, {'J01': -110.54599999999999}, {'J01': 14}, {'J01': 47}, 
665.0, {'J01': -100.53399999999999}, {'J01': 15}, {'J01': 53}, 
670.0, {'J01': -120.17099999999999}, {'J01': 15}, {'J01': 51}, 
675.0, {'J01': -89.09100000000001}, {'J01': 13}, {'J01': 41}, 
680.0, {'J01': -87.006}, {'J01': 10}, {'J01': 34}, 
685.0, {'J01': -76.20500000000001}, {'J01': 7}, {'J01': 27}, 
690.0, {'J01': -78.563}, {'J01': 8}, {'J01': 25}, 
695.0, {'J01': -75.67699999999999}, {'J01': 6}, {'J01': 21}, 
700.0, {'J01': -62.75}, {'J01': 7}, {'J01': 29}, 
705.0, {'J01': -66.011}, {'J01': 9}, {'J01': 39}, 
710.0, {'J01': -79.375}, {'J01': 9}, {'J01': 40}, 
715.0, {'J01': -54.943}, {'J01': 9}, {'J01': 33}, 
720.0, {'J01': -63.125}, {'J01': 10}, {'J01': 35}, 
725.0, {'J01': -74.307}, {'J01': 10}, {'J01': 40}, 
730.0, {'J01': -70.392}, {'J01': 11}, {'J01': 41}, 
735.0, {'J01': -77.84100000000001}, {'J01': 11}, {'J01': 41}, 
740.0, {'J01': -72.75}, {'J01': 11}, {'J01': 39}, 
745.0, {'J01': -86.29}, {'J01': 11}, {'J01': 42}, 
750.0, {'J01': -69.574}, {'J01': 9}, {'J01': 34}, 
755.0, {'J01': -56.772999999999996}, {'J01': 5}, {'J01': 25}, 
760.0, {'J01': -76.967}, {'J01': 4}, {'J01': 23}, 
765.0, {'J01': -52.239000000000004}, {'J01': 4}, {'J01': 23}, 
770.0, {'J01': -51.154}, {'J01': 4}, {'J01': 17}, 
775.0, {'J01': -53.512}, {'J01': 4}, {'J01': 15}, 
780.0, {'J01': -58.427}, {'J01': 4}, {'J01': 15}, 
785.0, {'J01': -58.694}, {'J01': 4}, {'J01': 14}, 
790.0, {'J01': -18.716}, {'J01': 3}, {'J01': 10}, 
795.0, {'J01': -26.983000000000004}, {'J01': 4}, {'J01': 17}, 
800.0, {'J01': -26.801000000000002}, {'J01': 7}, {'J01': 23}, 
805.0, {'J01': -33.892}, {'J01': 8}, {'J01': 27}, 
810.0, {'J01': -46.608000000000004}, {'J01': 8}, {'J01': 31}, 
815.0, {'J01': -50.608000000000004}, {'J01': 8}, {'J01': 35}, 
820.0, {'J01': -67.506}, {'J01': 8}, {'J01': 37}, 
825.0, {'J01': -64.506}, {'J01': 7}, {'J01': 34}, 
830.0, {'J01': -66.22200000000001}, {'J01': 5}, {'J01': 27}, 
835.0, {'J01': -79.85300000000001}, {'J01': 5}, {'J01': 27}, 
840.0, {'J01': -78.12}, {'J01': 5}, {'J01': 24}, 
845.0, {'J01': -51.949}, {'J01': 6}, {'J01': 22}, 
850.0, {'J01': -58.131}, {'J01': 6}, {'J01': 22}, 
855.0, {'J01': -57.477000000000004}, {'J01': 6}, {'J01': 33}, 
860.0, {'J01': -80.28399999999999}, {'J01': 8}, {'J01': 44}, 
865.0, {'J01': -86.733}, {'J01': 8}, {'J01': 43}, 
870.0, {'J01': -79.375}, {'J01': 7}, {'J01': 40}, 
875.0, {'J01': -83.642}, {'J01': 7}, {'J01': 43}, 
880.0, {'J01': -73.721}, {'J01': 8}, {'J01': 46}, 
885.0, {'J01': -72.545}, {'J01': 8}, {'J01': 43}, 
890.0, {'J01': -70.926}, {'J01': 8}, {'J01': 39}, 
895.0, {'J01': -78.46}, {'J01': 8}, {'J01': 44}, 
900.0, {'J01': -57.028}, {'J01': 8}, {'J01': 40}, 
905.0, {'J01': -63.829}, {'J01': 10}, {'J01': 43}, 
910.0, {'J01': -66.09599999999999}, {'J01': 10}, {'J01': 44}, 
915.0, {'J01': -73.63}, {'J01': 10}, {'J01': 49}, 
920.0, {'J01': -87.96499999999999}, {'J01': 11}, {'J01': 57}, 
925.0, {'J01': -80.34}, {'J01': 12}, {'J01': 55}, 
930.0, {'J01': -103.59599999999999}, {'J01': 12}, {'J01': 59}, 
935.0, {'J01': -111.693}, {'J01': 10}, {'J01': 56}, 
940.0, {'J01': -111.78399999999999}, {'J01': 10}, {'J01': 53}, 
945.0, {'J01': -104.159}, {'J01': 10}, {'J01': 51}, 
950.0, {'J01': -87.824}, {'J01': 7}, {'J01': 41}, 
955.0, {'J01': -80.381}, {'J01': 6}, {'J01': 33}, 
960.0, {'J01': -76.938}, {'J01': 4}, {'J01': 29}, 
965.0, {'J01': -75.586}, {'J01': 4}, {'J01': 24}, 
970.0, {'J01': -36.875}, {'J01': 4}, {'J01': 20}, 
975.0, {'J01': -55.324}, {'J01': 5}, {'J01': 31}, 
980.0, {'J01': -60.5}, {'J01': 7}, {'J01': 38}, 
985.0, {'J01': -60.585}, {'J01': 8}, {'J01': 43}, 
990.0, {'J01': -69.034}, {'J01': 8}, {'J01': 44}, 
995.0, {'J01': -62.676}, {'J01': 8}, {'J01': 42}, 
1000.0, {'J01': -59.585}, {'J01': 8}, {'J01': 42}, 
1005.0, {'J01': -52.403}, {'J01': 8}, {'J01': 41}, 
1010.0, {'J01': -61.028}, {'J01': 8}, {'J01': 44}, 
1015.0, {'J01': -72.011}, {'J01': 9}, {'J01': 45}, 
1020.0, {'J01': -61.738}, {'J01': 9}, {'J01': 44}, 
1025.0, {'J01': -66.829}, {'J01': 9}, {'J01': 46}, 
1030.0, {'J01': -68.09599999999999}, {'J01': 9}, {'J01': 46}, 
1035.0, {'J01': -70.187}, {'J01': 9}, {'J01': 45}, 
1040.0, {'J01': -70.454}, {'J01': 9}, {'J01': 44}, 
1045.0, {'J01': -59.562000000000005}, {'J01': 9}, {'J01': 40}, 
1050.0, {'J01': -81.023}, {'J01': 7}, {'J01': 38}, 
1055.0, {'J01': -67.955}, {'J01': 6}, {'J01': 30}, 
1060.0, {'J01': -66.688}, {'J01': 5}, {'J01': 30}, 
1065.0, {'J01': -51.972}, {'J01': 4}, {'J01': 24}, 
1070.0, {'J01': -63.51200000000001}, {'J01': 4}, {'J01': 25}, 
1075.0, {'J01': -37.897999999999996}, {'J01': 4}, {'J01': 23}, 
1080.0, {'J01': -58.705}, {'J01': 8}, {'J01': 32}, 
1085.0, {'J01': -55.614}, {'J01': 8}, {'J01': 32}, 
1090.0, {'J01': -62.887}, {'J01': 7}, {'J01': 30}, 
1095.0, {'J01': -45.897999999999996}, {'J01': 7}, {'J01': 31}, 
1100.0, {'J01': -39.892}, {'J01': 7}, {'J01': 33}, 
1105.0, {'J01': -52.608000000000004}, {'J01': 8}, {'J01': 37}, 
1110.0, {'J01': -57.790000000000006}, {'J01': 8}, {'J01': 36}, 
1115.0, {'J01': -49.96}, {'J01': 8}, {'J01': 38}, 
1120.0, {'J01': -32.801}, {'J01': 7}, {'J01': 29}, 
1125.0, {'J01': -40.722}, {'J01': 6}, {'J01': 24}, 
1130.0, {'J01': -44.813}, {'J01': 6}, {'J01': 25}, 
1135.0, {'J01': -44.813}, {'J01': 7}, {'J01': 25}, 
1140.0, {'J01': -53.171}, {'J01': 8}, {'J01': 29}, 
1145.0, {'J01': -58.438}, {'J01': 8}, {'J01': 33}, 
1150.0, {'J01': -66.79599999999999}, {'J01': 8}, {'J01': 37}, 
1155.0, {'J01': -45.25}, {'J01': 8}, {'J01': 34}, 
1160.0, {'J01': -46.25}, {'J01': 8}, {'J01': 35}, 
1165.0, {'J01': -49.608000000000004}, {'J01': 8}, {'J01': 34}, 
1170.0, {'J01': -58.881}, {'J01': 8}, {'J01': 34}, 
1175.0, {'J01': -62.972}, {'J01': 8}, {'J01': 35}, 
1180.0, {'J01': -46.165000000000006}, {'J01': 7}, {'J01': 30}, 
1185.0, {'J01': -37.631}, {'J01': 6}, {'J01': 24}, 
1190.0, {'J01': -81.81400000000001}, {'J01': 6}, {'J01': 28}, 
1195.0, {'J01': -64.71100000000001}, {'J01': 6}, {'J01': 30}, 
1200.0, {'J01': -58.711000000000006}, {'J01': 4}, {'J01': 24}, 
1205.0, {'J01': -38.546}, {'J01': 4}, {'J01': 20}, 
1210.0, {'J01': -36.54}, {'J01': 4}, {'J01': 26}, 
1215.0, {'J01': -39.54}, {'J01': 7}, {'J01': 29}, 
1220.0, {'J01': -39.449000000000005}, {'J01': 8}, {'J01': 32}, 
1225.0, {'J01': -35.358000000000004}, {'J01': 8}, {'J01': 31}, 
1230.0, {'J01': -34.625}, {'J01': 8}, {'J01': 29}, 
1235.0, {'J01': -41.517}, {'J01': 8}, {'J01': 29}, 
1240.0, {'J01': -38.159}, {'J01': 8}, {'J01': 30}, 
