episode,agent,decision,signal_id,reward
1,STOCHASTIC,50,J01,-2406.5
1,STOCHASTIC,100,J01,-12478.0
1,STOCHASTIC,150,J01,-19950.0
1,STOCHASTIC,200,J01,-8796.5
1,STOCHASTIC,250,J01,-12131.5
1,STOCHASTIC,300,J01,-4518.0
1,STOCHASTIC,350,J01,-10767.0
1,STOCHASTIC,400,J01,-1167.0
1,STOCHASTIC,450,J01,-9580.5
1,STOCHASTIC,500,J01,-6188.0
1,STOCHASTIC,550,J01,-3990.0
1,STOCHASTIC,600,J01,-1098.0
1,STOCHASTIC,650,J01,-3209.0
1,STOCHASTIC,700,J01,-2618.5
1,STOCHASTIC,750,J01,-8373.0
1,STOCHASTIC,800,J01,-4612.5
1,STOCHASTIC,850,J01,-1604.0
1,STOCHASTIC,900,J01,-182.0
1,STOCHASTIC,950,J01,-1935.5
1,STOCHASTIC,1000,J01,-2292.0
1,STOCHASTIC,1050,J01,-105.0
2,STOCHASTIC,50,J01,-6476.5
2,STOCHASTIC,100,J01,-5021.0
2,STOCHASTIC,150,J01,-18838.0
2,STOCHASTIC,200,J01,-20159.5
2,STOCHASTIC,250,J01,-14434.0
2,STOCHASTIC,300,J01,-15178.0
2,STOCHASTIC,350,J01,-34984.5
2,STOCHASTIC,400,J01,-8522.0
2,STOCHASTIC,450,J01,-10607.5
2,STOCHASTIC,500,J01,-20050.5
2,STOCHASTIC,550,J01,-18911.5
2,STOCHASTIC,600,J01,-17413.0
2,STOCHASTIC,650,J01,-15568.0
2,STOCHASTIC,700,J01,-19892.0
2,STOCHASTIC,750,J01,-14024.5
2,STOCHASTIC,800,J01,-8697.0
2,STOCHASTIC,850,J01,-1998.0
2,STOCHASTIC,900,J01,-1423.0
2,STOCHASTIC,950,J01,-3828.0
2,STOCHASTIC,1000,J01,-2296.0
2,STOCHASTIC,1050,J01,-917.0
3,STOCHASTIC,50,J01,-10081.5
3,STOCHASTIC,100,J01,-7470.0
3,STOCHASTIC,150,J01,-14304.5
3,STOCHASTIC,200,J01,-15166.0
3,STOCHASTIC,250,J01,-11171.0
3,STOCHASTIC,300,J01,-9400.0
3,STOCHASTIC,350,J01,-2939.0
3,STOCHASTIC,400,J01,-3981.0
3,STOCHASTIC,450,J01,-1576.0
3,STOCHASTIC,500,J01,-1631.5
3,STOCHASTIC,550,J01,-5139.0
3,STOCHASTIC,600,J01,-6893.5
3,STOCHASTIC,650,J01,-12797.5
3,STOCHASTIC,700,J01,-9740.5
3,STOCHASTIC,750,J01,-18075.5
3,STOCHASTIC,800,J01,-1285.0
3,STOCHASTIC,850,J01,-2476.5
3,STOCHASTIC,900,J01,-1840.5
3,STOCHASTIC,950,J01,-2005.5
3,STOCHASTIC,1000,J01,-2047.0
3,STOCHASTIC,1050,J01,-1489.0
4,STOCHASTIC,50,J01,-3764.0
4,STOCHASTIC,100,J01,-1528.5
4,STOCHASTIC,150,J01,-560.0
4,STOCHASTIC,200,J01,-8898.5
4,STOCHASTIC,250,J01,-13467.0
4,STOCHASTIC,300,J01,-5707.0
4,STOCHASTIC,350,J01,-2450.5
4,STOCHASTIC,400,J01,-4748.5
4,STOCHASTIC,450,J01,-2617.5
4,STOCHASTIC,500,J01,-1422.5
4,STOCHASTIC,550,J01,-5149.0
4,STOCHASTIC,600,J01,-1795.0
4,STOCHASTIC,650,J01,-5996.0
4,STOCHASTIC,700,J01,-5409.5
4,STOCHASTIC,750,J01,-2928.5
4,STOCHASTIC,800,J01,-1315.5
4,STOCHASTIC,850,J01,-1573.0
4,STOCHASTIC,900,J01,-596.5
4,STOCHASTIC,950,J01,-959.5
4,STOCHASTIC,1000,J01,-712.0
4,STOCHASTIC,1050,J01,-1384.5
