5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -9.5}, {'J01': 1}, {'J01': 5}, 
20.0, {'J01': -50.5}, {'J01': 2}, {'J01': 6}, 
25.0, {'J01': -121.5}, {'J01': 3}, {'J01': 11}, 
30.0, {'J01': -236.5}, {'J01': 4}, {'J01': 13}, 
35.0, {'J01': -344.0}, {'J01': 5}, {'J01': 15}, 
40.0, {'J01': -401.5}, {'J01': 6}, {'J01': 20}, 
45.0, {'J01': -598.0}, {'J01': 7}, {'J01': 23}, 
50.0, {'J01': -812.0}, {'J01': 8}, {'J01': 25}, 
55.0, {'J01': -1071.5}, {'J01': 8}, {'J01': 28}, 
60.0, {'J01': -1337.0}, {'J01': 8}, {'J01': 27}, 
65.0, {'J01': -1497.5}, {'J01': 8}, {'J01': 28}, 
70.0, {'J01': -1746.0}, {'J01': 8}, {'J01': 26}, 
75.0, {'J01': -2011.0}, {'J01': 8}, {'J01': 29}, 
80.0, {'J01': -2278.5}, {'J01': 8}, {'J01': 27}, 
85.0, {'J01': -2550.0}, {'J01': 8}, {'J01': 28}, 
90.0, {'J01': -2089.5}, {'J01': 7}, {'J01': 23}, 
95.0, {'J01': -2108.5}, {'J01': 7}, {'J01': 22}, 
100.0, {'J01': -2272.0}, {'J01': 7}, {'J01': 25}, 
105.0, {'J01': -2539.5}, {'J01': 7}, {'J01': 30}, 
110.0, {'J01': -2859.0}, {'J01': 8}, {'J01': 35}, 
115.0, {'J01': -2417.0}, {'J01': 7}, {'J01': 29}, 
120.0, {'J01': -2099.0}, {'J01': 6}, {'J01': 24}, 
125.0, {'J01': -1831.5}, {'J01': 5}, {'J01': 21}, 
130.0, {'J01': -855.0}, {'J01': 4}, {'J01': 14}, 
135.0, {'J01': -653.5}, {'J01': 4}, {'J01': 15}, 
140.0, {'J01': -772.0}, {'J01': 4}, {'J01': 22}, 
145.0, {'J01': -1027.0}, {'J01': 6}, {'J01': 36}, 
150.0, {'J01': -1390.0}, {'J01': 8}, {'J01': 40}, 
155.0, {'J01': -1377.0}, {'J01': 8}, {'J01': 36}, 
160.0, {'J01': -1580.5}, {'J01': 8}, {'J01': 34}, 
165.0, {'J01': -1815.5}, {'J01': 8}, {'J01': 39}, 
170.0, {'J01': -2213.5}, {'J01': 8}, {'J01': 42}, 
175.0, {'J01': -2275.5}, {'J01': 8}, {'J01': 39}, 
180.0, {'J01': -2643.0}, {'J01': 8}, {'J01': 41}, 
185.0, {'J01': -2340.5}, {'J01': 9}, {'J01': 39}, 
190.0, {'J01': -2168.0}, {'J01': 8}, {'J01': 34}, 
195.0, {'J01': -2480.5}, {'J01': 8}, {'J01': 37}, 
200.0, {'J01': -2756.0}, {'J01': 9}, {'J01': 37}, 
205.0, {'J01': -3140.5}, {'J01': 9}, {'J01': 41}, 
210.0, {'J01': -3562.0}, {'J01': 9}, {'J01': 45}, 
215.0, {'J01': -4015.0}, {'J01': 11}, {'J01': 47}, 
220.0, {'J01': -2723.5}, {'J01': 7}, {'J01': 34}, 
225.0, {'J01': -2768.5}, {'J01': 7}, {'J01': 32}, 
230.0, {'J01': -2896.5}, {'J01': 7}, {'J01': 31}, 
235.0, {'J01': -3114.5}, {'J01': 7}, {'J01': 33}, 
240.0, {'J01': -3393.5}, {'J01': 8}, {'J01': 36}, 
245.0, {'J01': -3684.5}, {'J01': 8}, {'J01': 37}, 
250.0, {'J01': -3814.5}, {'J01': 8}, {'J01': 38}, 
255.0, {'J01': -4048.5}, {'J01': 9}, {'J01': 39}, 
260.0, {'J01': -4449.5}, {'J01': 9}, {'J01': 43}, 
265.0, {'J01': -4584.0}, {'J01': 10}, {'J01': 42}, 
270.0, {'J01': -4805.5}, {'J01': 10}, {'J01': 39}, 
275.0, {'J01': -5207.0}, {'J01': 10}, {'J01': 43}, 
280.0, {'J01': -5378.5}, {'J01': 12}, {'J01': 47}, 
285.0, {'J01': -5729.0}, {'J01': 12}, {'J01': 44}, 
290.0, {'J01': -6105.5}, {'J01': 13}, {'J01': 42}, 
295.0, {'J01': -6537.0}, {'J01': 15}, {'J01': 48}, 
300.0, {'J01': -4389.5}, {'J01': 11}, {'J01': 40}, 
305.0, {'J01': -3459.0}, {'J01': 8}, {'J01': 36}, 
310.0, {'J01': -3774.5}, {'J01': 9}, {'J01': 39}, 
315.0, {'J01': -4091.5}, {'J01': 9}, {'J01': 42}, 
320.0, {'J01': -4531.0}, {'J01': 10}, {'J01': 47}, 
325.0, {'J01': -4837.5}, {'J01': 10}, {'J01': 45}, 
330.0, {'J01': -5152.5}, {'J01': 12}, {'J01': 46}, 
335.0, {'J01': -5476.0}, {'J01': 14}, {'J01': 47}, 
340.0, {'J01': -5950.0}, {'J01': 14}, {'J01': 49}, 
345.0, {'J01': -5514.0}, {'J01': 15}, {'J01': 47}, 
350.0, {'J01': -3639.0}, {'J01': 15}, {'J01': 36}, 
355.0, {'J01': -3424.0}, {'J01': 16}, {'J01': 36}, 
360.0, {'J01': -3671.0}, {'J01': 16}, {'J01': 38}, 
365.0, {'J01': -4063.5}, {'J01': 16}, {'J01': 44}, 
370.0, {'J01': -4244.0}, {'J01': 16}, {'J01': 44}, 
375.0, {'J01': -4389.0}, {'J01': 16}, {'J01': 41}, 
380.0, {'J01': -4710.5}, {'J01': 16}, {'J01': 40}, 
385.0, {'J01': -5030.0}, {'J01': 17}, {'J01': 40}, 
390.0, {'J01': -5435.5}, {'J01': 17}, {'J01': 43}, 
395.0, {'J01': -5879.5}, {'J01': 18}, {'J01': 48}, 
400.0, {'J01': -6366.5}, {'J01': 18}, {'J01': 50}, 
405.0, {'J01': -6870.5}, {'J01': 19}, {'J01': 51}, 
410.0, {'J01': -7384.0}, {'J01': 21}, {'J01': 53}, 
415.0, {'J01': -7923.0}, {'J01': 22}, {'J01': 55}, 
420.0, {'J01': -8473.0}, {'J01': 22}, {'J01': 55}, 
425.0, {'J01': -9028.0}, {'J01': 22}, {'J01': 57}, 
430.0, {'J01': -6492.5}, {'J01': 19}, {'J01': 45}, 
435.0, {'J01': -4840.0}, {'J01': 17}, {'J01': 34}, 
440.0, {'J01': -4362.0}, {'J01': 15}, {'J01': 33}, 
445.0, {'J01': -4254.5}, {'J01': 14}, {'J01': 35}, 
450.0, {'J01': -4384.5}, {'J01': 14}, {'J01': 40}, 
455.0, {'J01': -4488.0}, {'J01': 18}, {'J01': 43}, 
460.0, {'J01': -4790.0}, {'J01': 19}, {'J01': 44}, 
465.0, {'J01': -5243.0}, {'J01': 20}, {'J01': 48}, 
470.0, {'J01': -5728.0}, {'J01': 20}, {'J01': 49}, 
475.0, {'J01': -4477.5}, {'J01': 18}, {'J01': 41}, 
480.0, {'J01': -3806.0}, {'J01': 16}, {'J01': 34}, 
485.0, {'J01': -4162.0}, {'J01': 16}, {'J01': 40}, 
490.0, {'J01': -4565.0}, {'J01': 16}, {'J01': 44}, 
495.0, {'J01': -5034.5}, {'J01': 19}, {'J01': 52}, 
500.0, {'J01': -3679.0}, {'J01': 19}, {'J01': 43}, 
505.0, {'J01': -3661.5}, {'J01': 18}, {'J01': 40}, 
510.0, {'J01': -3989.0}, {'J01': 18}, {'J01': 45}, 
515.0, {'J01': -4441.5}, {'J01': 18}, {'J01': 47}, 
520.0, {'J01': -4760.5}, {'J01': 20}, {'J01': 50}, 
525.0, {'J01': -5098.5}, {'J01': 20}, {'J01': 50}, 
530.0, {'J01': -5360.0}, {'J01': 22}, {'J01': 53}, 
535.0, {'J01': -4912.0}, {'J01': 22}, {'J01': 47}, 
540.0, {'J01': -3303.5}, {'J01': 18}, {'J01': 37}, 
545.0, {'J01': -2014.0}, {'J01': 13}, {'J01': 27}, 
550.0, {'J01': -1754.5}, {'J01': 11}, {'J01': 26}, 
555.0, {'J01': -1622.0}, {'J01': 10}, {'J01': 31}, 
560.0, {'J01': -1931.5}, {'J01': 10}, {'J01': 37}, 
565.0, {'J01': -2320.0}, {'J01': 11}, {'J01': 45}, 
570.0, {'J01': -2776.0}, {'J01': 11}, {'J01': 47}, 
575.0, {'J01': -3163.5}, {'J01': 12}, {'J01': 48}, 
580.0, {'J01': -3467.0}, {'J01': 12}, {'J01': 48}, 
585.0, {'J01': -3085.5}, {'J01': 11}, {'J01': 42}, 
590.0, {'J01': -2366.5}, {'J01': 6}, {'J01': 34}, 
595.0, {'J01': -2307.0}, {'J01': 6}, {'J01': 36}, 
600.0, {'J01': -2179.0}, {'J01': 8}, {'J01': 37}, 
605.0, {'J01': -2466.0}, {'J01': 9}, {'J01': 43}, 
610.0, {'J01': -2667.0}, {'J01': 9}, {'J01': 42}, 
615.0, {'J01': -2481.0}, {'J01': 10}, {'J01': 37}, 
620.0, {'J01': -2361.5}, {'J01': 10}, {'J01': 35}, 
625.0, {'J01': -2595.5}, {'J01': 11}, {'J01': 41}, 
630.0, {'J01': -1938.5}, {'J01': 11}, {'J01': 36}, 
635.0, {'J01': -1387.0}, {'J01': 9}, {'J01': 26}, 
640.0, {'J01': -1268.0}, {'J01': 6}, {'J01': 20}, 
645.0, {'J01': -1471.0}, {'J01': 6}, {'J01': 21}, 
650.0, {'J01': -1063.5}, {'J01': 4}, {'J01': 21}, 
655.0, {'J01': -1138.0}, {'J01': 4}, {'J01': 27}, 
660.0, {'J01': -1368.5}, {'J01': 7}, {'J01': 38}, 
665.0, {'J01': -1691.0}, {'J01': 8}, {'J01': 42}, 
670.0, {'J01': -2123.0}, {'J01': 8}, {'J01': 47}, 
675.0, {'J01': -2429.5}, {'J01': 8}, {'J01': 49}, 
680.0, {'J01': -2123.0}, {'J01': 9}, {'J01': 45}, 
685.0, {'J01': -2193.5}, {'J01': 9}, {'J01': 41}, 
690.0, {'J01': -2542.0}, {'J01': 9}, {'J01': 42}, 
695.0, {'J01': -2776.5}, {'J01': 11}, {'J01': 45}, 
700.0, {'J01': -3235.0}, {'J01': 12}, {'J01': 48}, 
705.0, {'J01': -3719.0}, {'J01': 12}, {'J01': 49}, 
710.0, {'J01': -4172.0}, {'J01': 12}, {'J01': 47}, 
715.0, {'J01': -4500.0}, {'J01': 13}, {'J01': 45}, 
720.0, {'J01': -4847.5}, {'J01': 13}, {'J01': 44}, 
725.0, {'J01': -5294.0}, {'J01': 13}, {'J01': 47}, 
730.0, {'J01': -5656.5}, {'J01': 13}, {'J01': 44}, 
735.0, {'J01': -6024.5}, {'J01': 13}, {'J01': 44}, 
740.0, {'J01': -6425.5}, {'J01': 13}, {'J01': 43}, 
745.0, {'J01': -6827.5}, {'J01': 14}, {'J01': 47}, 
750.0, {'J01': -7310.5}, {'J01': 14}, {'J01': 51}, 
755.0, {'J01': -7764.0}, {'J01': 15}, {'J01': 52}, 
760.0, {'J01': -8242.5}, {'J01': 15}, {'J01': 52}, 
765.0, {'J01': -8785.0}, {'J01': 16}, {'J01': 58}, 
