w_bike,w_ped,car_wait,bike_wait,ped_wait
1.2,1.5,3381.6751,9153.0562,513.848
1.2,2.5,3011.398,760.5377,95.4583
1.2,3.5,4130.8841,842.5795,160.333
1.2,4.5,2341.9766,239.3725,116.9517
1.8,1.5,4474.5483,11105.1386,227.2807
1.8,2.5,6797.2325,808.8419,20.0755
1.8,3.5,3367.6234,1084.3204,135.6116
1.8,4.5,1813.7936,767.8528,106.8527
2.4,1.5,3088.0865,164.142,42.4299
2.4,2.5,4360.7303,2753.4441,231.0407
2.4,3.5,3347.5632,1249.9793,60.5119
2.4,4.5,2614.5744,498.731,129.5081
3.0,1.5,2642.6863,4530.1945,189.0522
3.0,2.5,4939.1986,360.1178,115.3424
3.0,3.5,3217.2281,572.9649,129.1726
3.0,4.5,2993.4612,236.2827,40.375
