episode,agent,decision,signal_id,reward
1,MPLight_MM,50,J01,-77.431
1,MPLight_MM,100,J01,-108.618
1,MPLight_MM,150,J01,-134.64
1,MPLight_MM,200,J01,-108.465
1,MPLight_MM,250,J01,-95.658
1,MPLight_MM,300,J01,-168.368
1,MPLight_MM,350,J01,-92.159
1,MPLight_MM,400,J01,-124.363
1,MPLight_MM,450,J01,-115.738
1,MPLight_MM,500,J01,-105.817
1,MPLight_MM,550,J01,-158.977
1,MPLight_MM,600,J01,-150.857
1,MPLight_MM,650,J01,-118.328
1,MPLight_MM,700,J01,-121.891
1,MPLight_MM,750,J01,-87.544
1,MPLight_MM,800,J01,-28.0
1,MPLight_MM,850,J01,-20.534
1,MPLight_MM,900,J01,-28.0
1,MPLight_MM,950,J01,-11.0
1,MPLight_MM,1000,J01,-24.0
1,MPLight_MM,1050,J01,-10.0
2,MPLight_MM,50,J01,-70.812
2,MPLight_MM,100,J01,-94.08
2,MPLight_MM,150,J01,-87.499
2,MPLight_MM,200,J01,-139.816
2,MPLight_MM,250,J01,-117.862
2,MPLight_MM,300,J01,-143.089
2,MPLight_MM,350,J01,-143.203
2,MPLight_MM,400,J01,-158.579
2,MPLight_MM,450,J01,-131.789
2,MPLight_MM,500,J01,-138.464
2,MPLight_MM,550,J01,-191.63
2,MPLight_MM,600,J01,-125.601
2,MPLight_MM,650,J01,-112.68
2,MPLight_MM,700,J01,-150.209
2,MPLight_MM,750,J01,-81.942
2,MPLight_MM,800,J01,-31.335
2,MPLight_MM,850,J01,-25.0
2,MPLight_MM,900,J01,-19.0
2,MPLight_MM,950,J01,-15.0
2,MPLight_MM,1000,J01,-12.0
2,MPLight_MM,1050,J01,-19.0
3,MPLight_MM,50,J01,-65.301
3,MPLight_MM,100,J01,-103.931
3,MPLight_MM,150,J01,-44.562
3,MPLight_MM,200,J01,-73.897
3,MPLight_MM,250,J01,-41.517
3,MPLight_MM,300,J01,-53.5
3,MPLight_MM,350,J01,-58.119
3,MPLight_MM,400,J01,-73.102
3,MPLight_MM,450,J01,-91.677
3,MPLight_MM,500,J01,-67.988
3,MPLight_MM,550,J01,-125.444
3,MPLight_MM,600,J01,-100.306
3,MPLight_MM,650,J01,-67.278
3,MPLight_MM,700,J01,-78.818
3,MPLight_MM,750,J01,-16.182
3,MPLight_MM,800,J01,-22.0
3,MPLight_MM,850,J01,-24.0
3,MPLight_MM,900,J01,-7.0
3,MPLight_MM,950,J01,-25.0
3,MPLight_MM,1000,J01,-24.0
3,MPLight_MM,1050,J01,-20.0
4,MPLight_MM,50,J01,-68.897
4,MPLight_MM,100,J01,-128.92
4,MPLight_MM,150,J01,-151.828
4,MPLight_MM,200,J01,-138.64
4,MPLight_MM,250,J01,-106.55
4,MPLight_MM,300,J01,-91.198
4,MPLight_MM,350,J01,-159.749
4,MPLight_MM,400,J01,-149.561
4,MPLight_MM,450,J01,-116.471
4,MPLight_MM,500,J01,-124.448
