episode,agent,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,ped_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,bike_queue_frac,ped_queue_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,MPLight_MM,2885733.5,2224263.0,41133.5,39866.0,13535.0,4582.0,-67.10457,37.93935,-174.055,-0.0,0.4318,0.008,0.2334,0.079,0.0,0.0,0.0,1080,49.9
2,MPLight_MM,3159419.0,12798212.0,29688.5,56025.0,30255.0,4012.0,-100.22487,53.3494,-184.891,-0.0,0.8005,0.0019,0.3351,0.0444,0.0,0.0,0.0,1080,54.6
3,MPLight_MM,3175760.5,10284597.0,25016.5,54645.0,28192.0,3819.0,-95.95734,53.59099,-193.454,-0.0,0.7626,0.0019,0.3253,0.0441,0.0,0.0,0.0,1080,54.6
4,MPLight_MM,2937340.5,11957300.0,29895.5,55375.0,30114.0,4031.0,-99.38891,53.99435,-193.868,-0.0,0.8012,0.002,0.3364,0.045,0.0,0.0,0.0,1080,52.8
5,MPLight_MM,2623353.5,1361433.5,33502.5,35702.0,9732.0,4453.0,-58.35823,33.05852,-165.25,-0.0,0.3388,0.0083,0.1951,0.0893,0.0,0.0,0.0,1080,49.9
6,MPLight_MM,2259661.5,1558912.5,29460.5,36903.0,11332.0,4342.0,-61.26716,33.1026,-129.773,-0.0,0.4051,0.0077,0.2155,0.0826,0.0,0.0,0.0,1080,49.9
7,MPLight_MM,2269000.0,802690.0,48921.0,33331.0,7868.0,4930.0,-55.38995,29.49668,-131.158,-0.0,0.2572,0.0157,0.1706,0.1069,0.0,0.0,0.0,1080,49.2
8,MPLight_MM,2268828.0,780121.5,41129.5,33940.0,8136.0,4635.0,-55.28657,28.59315,-124.177,-0.0,0.2525,0.0133,0.1742,0.0992,0.0,0.0,0.0,1080,48.1
9,MPLight_MM,2285508.5,573519.5,38816.0,32445.0,7052.0,4516.0,-52.46748,27.4444,-134.75,-0.0,0.1979,0.0134,0.1602,0.1026,0.0,0.0,0.0,1080,49.2
10,MPLight_MM,1969876.5,456378.5,32434.0,31272.0,6376.0,4452.0,-50.47956,27.52669,-135.597,-0.0,0.1856,0.0132,0.1514,0.1057,0.0,0.0,0.0,1080,47.3
11,MPLight_MM,1866847.0,375928.5,61093.5,29904.0,5528.0,5122.0,-49.81222,27.03243,-123.91,-0.0,0.1632,0.0265,0.1363,0.1263,0.0,0.0,0.0,1080,47.7
12,MPLight_MM,2040551.5,716292.5,51253.5,31727.0,7159.0,5029.0,-53.322,31.8224,-150.619,-0.0,0.2551,0.0183,0.163,0.1145,0.0,0.0,0.0,1080,47.8
13,MPLight_MM,2029340.0,532771.0,60602.5,30510.0,6510.0,5337.0,-51.78867,30.22258,-136.313,-0.0,0.2031,0.0231,0.1537,0.126,0.0,0.0,0.0,1080,46.8
14,MPLight_MM,1945159.5,569295.5,47387.5,31285.0,6413.0,4962.0,-51.76855,28.69356,-127.529,-0.0,0.2222,0.0185,0.1503,0.1163,0.0,0.0,0.0,1080,46.2
15,MPLight_MM,1718560.0,301102.0,52284.0,28583.0,4511.0,5114.0,-47.64498,27.11929,-116.79,-0.0,0.1453,0.0252,0.1181,0.1338,0.0,0.0,0.0,1080,45.2
16,MPLight_MM,2137004.0,489040.0,60506.0,31111.0,5815.0,5167.0,-51.31516,29.32814,-131.125,-0.0,0.182,0.0225,0.1381,0.1228,0.0,0.0,0.0,1080,46.6
17,MPLight_MM,2129715.5,230832.5,91075.0,28802.0,4277.0,5353.0,-47.71634,25.72971,-116.376,-0.0,0.0942,0.0371,0.1113,0.1393,0.0,0.0,0.0,1080,46.2
18,MPLight_MM,2170097.5,377064.0,36015.5,30950.0,5611.0,4391.0,-49.1752,26.96288,-128.711,-0.0,0.146,0.0139,0.137,0.1072,0.0,0.0,0.0,1080,48.2
19,MPLight_MM,2017875.0,472263.5,36863.5,31352.0,6456.0,4331.0,-50.19529,27.79162,-130.978,-0.0,0.1869,0.0146,0.1532,0.1028,0.0,0.0,0.0,1080,47.5
20,MPLight_MM,2193172.0,625181.5,27352.5,32807.0,7220.0,4136.0,-51.98659,29.20784,-158.915,-0.0,0.2197,0.0096,0.1635,0.0937,0.0,0.0,0.0,1080,49.9
21,MPLight_MM,1965946.5,230541.5,41766.0,29167.0,4166.0,4638.0,-46.22117,26.48685,-122.5,-0.0,0.103,0.0187,0.1097,0.1221,0.0,0.0,0.0,1080,47.8
22,MPLight_MM,2104583.5,242883.0,36857.5,29061.0,4352.0,4551.0,-46.44426,25.95069,-115.552,-0.0,0.1019,0.0155,0.1146,0.1199,0.0,0.0,0.0,1080,48.3
23,MPLight_MM,2067798.5,228684.5,68275.0,29726.0,4257.0,5526.0,-48.96057,28.31313,-125.444,-0.0,0.0967,0.0289,0.1077,0.1399,0.0,0.0,0.0,1080,46.5
24,MPLight_MM,1868170.0,181600.5,49143.0,28204.0,3738.0,5045.0,-46.08956,25.89422,-118.109,-0.0,0.0865,0.0234,0.1011,0.1364,0.0,0.0,0.0,1080,46.8
25,MPLight_MM,1975667.0,300113.5,38968.0,29338.0,5075.0,4622.0,-47.74928,28.55811,-139.955,-0.0,0.1297,0.0168,0.13,0.1184,0.0,0.0,0.0,1080,47.7
26,MPLight_MM,1887769.5,257581.0,33128.5,28670.0,4207.0,4489.0,-45.5515,25.89855,-122.819,-0.0,0.1182,0.0152,0.1126,0.1201,0.0,0.0,0.0,1080,46.1
27,MPLight_MM,1954456.0,163730.5,32727.0,28921.0,3669.0,4529.0,-45.30445,25.68405,-125.057,-0.0,0.0761,0.0152,0.0988,0.122,0.0,0.0,0.0,1080,47.3
28,MPLight_MM,1944831.5,183973.0,36580.5,28852.0,3945.0,4480.0,-45.45273,26.28105,-120.842,-0.0,0.085,0.0169,0.1058,0.1202,0.0,0.0,0.0,1080,46.1
29,MPLight_MM,2168576.0,213259.5,40848.5,28947.0,4191.0,4682.0,-46.45035,26.46042,-126.415,-0.0,0.088,0.0169,0.1108,0.1238,0.0,0.0,0.0,1080,46.6
30,MPLight_MM,2145239.0,160942.0,35624.0,28708.0,3658.0,4397.0,-44.60491,25.6803,-116.256,-0.0,0.0687,0.0152,0.0995,0.1196,0.0,0.0,0.0,1080,47.2
31,MPLight_MM,2189473.5,216108.5,36505.0,29160.0,3994.0,4570.0,-46.03008,27.1132,-137.512,-0.0,0.0885,0.0149,0.1059,0.1211,0.0,0.0,0.0,1080,47.2
