5.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -7.182}, {'J01': 1}, {'J01': 1}, 
15.0, {'J01': -2.0}, {'J01': 1}, {'J01': 2}, 
20.0, {'J01': -8.091000000000001}, {'J01': 2}, {'J01': 5}, 
25.0, {'J01': -14.091000000000001}, {'J01': 4}, {'J01': 11}, 
30.0, {'J01': -22.273}, {'J01': 4}, {'J01': 13}, 
35.0, {'J01': -27.722}, {'J01': 4}, {'J01': 11}, 
40.0, {'J01': -15.182}, {'J01': 3}, {'J01': 9}, 
45.0, {'J01': -19.091}, {'J01': 4}, {'J01': 16}, 
50.0, {'J01': -34.716}, {'J01': 7}, {'J01': 26}, 
55.0, {'J01': -43.25}, {'J01': 8}, {'J01': 32}, 
60.0, {'J01': -45.25}, {'J01': 8}, {'J01': 34}, 
65.0, {'J01': -48.517}, {'J01': 8}, {'J01': 36}, 
70.0, {'J01': -40.983000000000004}, {'J01': 7}, {'J01': 31}, 
75.0, {'J01': -50.614}, {'J01': 6}, {'J01': 27}, 
80.0, {'J01': -43.989000000000004}, {'J01': 6}, {'J01': 26}, 
85.0, {'J01': -42.074}, {'J01': 7}, {'J01': 29}, 
90.0, {'J01': -58.881}, {'J01': 8}, {'J01': 34}, 
95.0, {'J01': -51.614}, {'J01': 7}, {'J01': 28}, 
100.0, {'J01': -60.887}, {'J01': 7}, {'J01': 28}, 
105.0, {'J01': -44.074}, {'J01': 7}, {'J01': 31}, 
110.0, {'J01': -62.887}, {'J01': 7}, {'J01': 30}, 
115.0, {'J01': -53.790000000000006}, {'J01': 8}, {'J01': 32}, 
120.0, {'J01': -40.722}, {'J01': 8}, {'J01': 24}, 
125.0, {'J01': -51.614}, {'J01': 8}, {'J01': 28}, 
130.0, {'J01': -73.245}, {'J01': 8}, {'J01': 36}, 
135.0, {'J01': -73.512}, {'J01': 8}, {'J01': 35}, 
140.0, {'J01': -45.340999999999994}, {'J01': 7}, {'J01': 31}, 
145.0, {'J01': -65.154}, {'J01': 7}, {'J01': 31}, 
150.0, {'J01': -74.574}, {'J01': 7}, {'J01': 39}, 
155.0, {'J01': -82.932}, {'J01': 8}, {'J01': 43}, 
160.0, {'J01': -75.04599999999999}, {'J01': 7}, {'J01': 34}, 
165.0, {'J01': -52.881}, {'J01': 6}, {'J01': 28}, 
170.0, {'J01': -62.330000000000005}, {'J01': 6}, {'J01': 30}, 
175.0, {'J01': -72.688}, {'J01': 7}, {'J01': 36}, 
180.0, {'J01': -48.135999999999996}, {'J01': 8}, {'J01': 38}, 
185.0, {'J01': -68.125}, {'J01': 8}, {'J01': 40}, 
190.0, {'J01': -75.307}, {'J01': 8}, {'J01': 41}, 
195.0, {'J01': -84.58000000000001}, {'J01': 8}, {'J01': 41}, 
200.0, {'J01': -79.489}, {'J01': 8}, {'J01': 39}, 
205.0, {'J01': -71.779}, {'J01': 7}, {'J01': 32}, 
210.0, {'J01': -65.59700000000001}, {'J01': 7}, {'J01': 32}, 
215.0, {'J01': -69.779}, {'J01': 7}, {'J01': 30}, 
220.0, {'J01': -79.404}, {'J01': 7}, {'J01': 34}, 
225.0, {'J01': -77.313}, {'J01': 8}, {'J01': 35}, 
230.0, {'J01': -81.404}, {'J01': 8}, {'J01': 36}, 
235.0, {'J01': -76.961}, {'J01': 7}, {'J01': 31}, 
240.0, {'J01': -62.069}, {'J01': 6}, {'J01': 23}, 
245.0, {'J01': -24.625}, {'J01': 5}, {'J01': 19}, 
250.0, {'J01': -44.522999999999996}, {'J01': 5}, {'J01': 24}, 
255.0, {'J01': -59.239000000000004}, {'J01': 7}, {'J01': 30}, 
260.0, {'J01': -62.239000000000004}, {'J01': 8}, {'J01': 33}, 
265.0, {'J01': -66.506}, {'J01': 8}, {'J01': 36}, 
270.0, {'J01': -71.03999999999999}, {'J01': 8}, {'J01': 38}, 
275.0, {'J01': -60.154}, {'J01': 6}, {'J01': 26}, 
280.0, {'J01': -36.722}, {'J01': 5}, {'J01': 20}, 
285.0, {'J01': -26.091}, {'J01': 5}, {'J01': 23}, 
290.0, {'J01': -48.08}, {'J01': 6}, {'J01': 27}, 
295.0, {'J01': -57.438}, {'J01': 8}, {'J01': 32}, 
300.0, {'J01': -57.438}, {'J01': 8}, {'J01': 32}, 
305.0, {'J01': -79.694}, {'J01': 8}, {'J01': 35}, 
310.0, {'J01': -78.04599999999999}, {'J01': 8}, {'J01': 37}, 
315.0, {'J01': -69.98400000000001}, {'J01': 6}, {'J01': 26}, 
320.0, {'J01': -61.893}, {'J01': 5}, {'J01': 21}, 
325.0, {'J01': -23.358}, {'J01': 4}, {'J01': 19}, 
330.0, {'J01': -43.614}, {'J01': 3}, {'J01': 20}, 
335.0, {'J01': -67.512}, {'J01': 6}, {'J01': 29}, 
340.0, {'J01': -73.42699999999999}, {'J01': 7}, {'J01': 30}, 
345.0, {'J01': -61.154}, {'J01': 6}, {'J01': 27}, 
350.0, {'J01': -53.620000000000005}, {'J01': 5}, {'J01': 22}, 
355.0, {'J01': -50.444}, {'J01': 4}, {'J01': 17}, 
360.0, {'J01': -30.722}, {'J01': 3}, {'J01': 14}, 
365.0, {'J01': -45.995000000000005}, {'J01': 4}, {'J01': 20}, 
370.0, {'J01': -55.262}, {'J01': 7}, {'J01': 28}, 
375.0, {'J01': -56.995000000000005}, {'J01': 8}, {'J01': 31}, 
380.0, {'J01': -51.903999999999996}, {'J01': 8}, {'J01': 29}, 
385.0, {'J01': -48.72200000000001}, {'J01': 8}, {'J01': 32}, 
390.0, {'J01': -49.989000000000004}, {'J01': 8}, {'J01': 32}, 
395.0, {'J01': -62.529}, {'J01': 8}, {'J01': 34}, 
400.0, {'J01': -70.063}, {'J01': 8}, {'J01': 39}, 
405.0, {'J01': -56.171}, {'J01': 7}, {'J01': 32}, 
410.0, {'J01': -59.705}, {'J01': 7}, {'J01': 33}, 
415.0, {'J01': -62.239000000000004}, {'J01': 7}, {'J01': 33}, 
420.0, {'J01': -61.063}, {'J01': 7}, {'J01': 30}, 
425.0, {'J01': -59.057}, {'J01': 8}, {'J01': 36}, 
