episode,agent,decision,car_wait,bike_wait,ped_wait,car_queue,bike_queue,ped_queue,reward_mean,reward_min,reward_max,epsilon,mean_q
1,MPLight_MM,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,,
1,MPLight_MM,2,2.5,0.0,0.0,1.0,0.0,2.0,-7.182,-7.182,-7.182,,
1,MPLight_MM,3,5.5,0.0,0.0,3.0,0.0,0.0,-3.0,-3.0,-3.0,,
1,MPLight_MM,4,24.0,0.0,1.5,6.0,0.0,1.0,-9.091,-9.091,-9.091,,
1,MPLight_MM,5,53.5,0.0,6.5,6.0,0.0,1.0,-9.091,-9.091,-9.091,,
1,MPLight_MM,6,53.5,0.0,14.0,4.0,0.0,3.0,-13.273,-13.273,-13.273,,
1,MPLight_MM,7,97.0,4.0,24.0,6.0,1.0,3.0,-16.54,-16.54,-16.54,,
1,MPLight_MM,8,152.5,14.0,21.5,8.0,1.0,2.0,-18.54,-18.54,-18.54,,
1,MPLight_MM,9,228.0,24.0,27.0,11.0,1.0,3.0,-24.631,-24.631,-24.631,,
1,MPLight_MM,10,311.5,36.5,34.5,18.0,3.0,3.0,-31.074,-31.074,-31.074,,
1,MPLight_MM,11,441.0,59.0,46.5,21.0,3.0,4.0,-37.165,-37.165,-37.165,,
1,MPLight_MM,12,611.5,92.0,66.5,29.0,4.0,4.0,-46.432,-46.432,-46.432,,
1,MPLight_MM,13,848.5,119.5,86.5,32.0,4.0,4.0,-49.432,-49.432,-49.432,,
1,MPLight_MM,14,894.5,42.0,2.0,27.0,1.0,1.0,-31.358,-31.358,-31.358,,
1,MPLight_MM,15,931.0,57.0,7.0,27.0,3.0,2.0,-43.165,-43.165,-43.165,,
1,MPLight_MM,16,1171.0,87.0,12.0,27.0,3.0,2.0,-43.165,-43.165,-43.165,,
1,MPLight_MM,17,1416.5,117.0,17.0,29.0,3.0,3.0,-45.165,-45.165,-45.165,,
1,MPLight_MM,18,1682.5,147.0,27.0,31.0,3.0,5.0,-56.438,-56.438,-56.438,,
1,MPLight_MM,19,1942.0,181.0,28.5,31.0,4.0,3.0,-48.432,-48.432,-48.432,,
1,MPLight_MM,20,2193.5,221.5,0.0,34.0,5.0,5.0,-58.881,-58.881,-58.881,,
1,MPLight_MM,21,2380.5,278.5,17.0,38.0,8.0,10.0,-79.046,-79.046,-79.046,,
1,MPLight_MM,22,2620.0,364.5,28.5,39.0,10.0,5.0,-67.125,-67.125,-67.125,,
1,MPLight_MM,23,2492.5,354.5,26.0,36.0,10.0,4.0,-61.034,-61.034,-61.034,,
1,MPLight_MM,24,2627.0,457.5,44.5,35.0,11.0,9.0,-82.938,-82.938,-82.938,,
1,MPLight_MM,25,2823.5,526.5,0.0,37.0,11.0,0.0,-57.119,-57.119,-57.119,,
1,MPLight_MM,26,3024.5,638.5,4.0,38.0,12.0,4.0,-68.659,-68.659,-68.659,,
1,MPLight_MM,27,3289.5,764.0,24.5,41.0,14.0,13.0,-98.921,-98.921,-98.921,,
1,MPLight_MM,28,3563.0,912.5,56.0,45.0,17.0,8.0,-94.358,-94.358,-94.358,,
1,MPLight_MM,29,3727.0,1082.5,0.0,43.0,17.0,1.0,-73.812,-73.812,-73.812,,
1,MPLight_MM,30,3954.0,1269.0,2.5,48.0,22.0,7.0,-103.693,-103.693,-103.693,,
1,MPLight_MM,31,4100.5,1328.0,0.0,43.0,19.0,5.0,-101.074,-101.074,-101.074,,
1,MPLight_MM,32,4243.5,1521.0,2.5,47.0,21.0,6.0,-98.335,-98.335,-98.335,,
1,MPLight_MM,33,4509.5,1734.5,0.0,50.0,22.0,2.0,-87.147,-87.147,-87.147,,
1,MPLight_MM,34,3855.5,1784.5,8.0,49.0,22.0,7.0,-101.602,-101.602,-101.602,,
1,MPLight_MM,35,3200.0,1621.0,32.0,41.0,21.0,9.0,-95.426,-95.426,-95.426,,
1,MPLight_MM,36,3401.0,1465.0,63.5,40.0,18.0,11.0,-96.807,-96.807,-96.807,,
1,MPLight_MM,37,3631.0,1352.0,98.5,41.0,16.0,13.0,-101.455,-101.455,-101.455,,
1,MPLight_MM,38,3891.0,1512.0,138.5,45.0,16.0,15.0,-111.637,-111.637,-111.637,,
1,MPLight_MM,39,2766.5,901.0,173.5,34.0,11.0,14.0,-94.302,-94.302,-94.302,,
1,MPLight_MM,40,2915.5,791.0,216.0,31.0,10.0,13.0,-83.853,-83.853,-83.853,,
1,MPLight_MM,41,2140.0,511.0,261.0,23.0,7.0,13.0,-72.052,-72.052,-72.052,,
1,MPLight_MM,42,1957.5,462.0,306.0,24.0,8.0,18.0,-89.774,-89.774,-89.774,,
1,MPLight_MM,43,1870.0,431.0,0.0,26.0,8.0,2.0,-54.682,-54.682,-54.682,,
1,MPLight_MM,44,2068.0,515.0,2.5,34.0,9.0,6.0,-67.04,-67.04,-67.04,,
1,MPLight_MM,45,2204.5,605.0,0.0,35.0,9.0,2.0,-55.676,-55.676,-55.676,,
1,MPLight_MM,46,2342.5,696.0,0.5,37.0,10.0,2.0,-62.034,-62.034,-62.034,,
1,MPLight_MM,47,2548.5,743.0,0.5,34.0,9.0,2.0,-51.585,-51.585,-51.585,,
1,MPLight_MM,48,2802.0,833.5,0.0,36.0,10.0,2.0,-54.852,-54.852,-54.852,,
1,MPLight_MM,49,2894.0,940.0,0.5,39.0,13.0,0.0,-55.471,-55.471,-55.471,,
1,MPLight_MM,50,2972.5,1070.0,2.5,40.0,13.0,4.0,-68.835,-68.835,-68.835,,
1,MPLight_MM,51,3252.0,1200.0,18.0,44.0,13.0,6.0,-79.017,-79.017,-79.017,,
1,MPLight_MM,52,3562.0,1339.0,41.0,46.0,15.0,6.0,-83.551,-83.551,-83.551,,
1,MPLight_MM,53,3809.5,1475.0,54.5,44.0,15.0,4.0,-78.46,-78.46,-78.46,,
1,MPLight_MM,54,3974.5,1629.0,74.5,42.0,16.0,4.0,-80.818,-80.818,-80.818,,
1,MPLight_MM,55,4222.5,1792.0,96.5,44.0,17.0,8.0,-90.267,-90.267,-90.267,,
1,MPLight_MM,56,4481.5,1962.0,114.5,43.0,17.0,5.0,-86.176,-86.176,-86.176,,
1,MPLight_MM,57,4745.0,2133.5,135.0,46.0,18.0,5.0,-84.261,-84.261,-84.261,,
1,MPLight_MM,58,5001.5,2318.0,154.5,46.0,20.0,4.0,-83.704,-83.704,-83.704,,
1,MPLight_MM,59,5265.0,2518.5,175.0,49.0,21.0,8.0,-100.335,-100.335,-100.335,,
1,MPLight_MM,60,5414.5,2734.5,204.0,55.0,24.0,9.0,-119.409,-119.409,-119.409,,
1,MPLight_MM,61,5551.5,2976.5,239.0,54.0,25.0,8.0,-113.494,-113.494,-113.494,,
1,MPLight_MM,62,5846.0,3229.0,279.0,56.0,26.0,10.0,-119.852,-119.852,-119.852,,
1,MPLight_MM,63,3813.5,2347.0,68.5,47.0,24.0,8.0,-102.136,-102.136,-102.136,,
1,MPLight_MM,64,3496.5,2273.5,108.0,44.0,23.0,12.0,-110.233,-110.233,-110.233,,
1,MPLight_MM,65,3542.0,2179.0,136.5,42.0,22.0,9.0,-97.693,-97.693,-97.693,,
1,MPLight_MM,66,3751.0,2367.5,160.0,44.0,21.0,8.0,-95.335,-95.335,-95.335,,
1,MPLight_MM,67,4000.5,2590.5,197.5,55.0,26.0,12.0,-125.034,-125.034,-125.034,,
1,MPLight_MM,68,2562.0,1901.5,242.5,45.0,23.0,13.0,-117.415,-117.415,-117.415,,
1,MPLight_MM,69,2758.0,1777.0,281.0,42.0,21.0,10.0,-102.608,-102.608,-102.608,,
1,MPLight_MM,70,2975.0,1988.5,328.5,46.0,22.0,13.0,-114.057,-114.057,-114.057,,
1,MPLight_MM,71,2978.0,1923.5,6.0,43.0,18.0,3.0,-78.17,-78.17,-78.17,,
1,MPLight_MM,72,2990.5,2058.0,0.0,45.0,19.0,4.0,-93.801,-93.801,-93.801,,
1,MPLight_MM,73,3241.0,2249.0,2.5,46.0,20.0,6.0,-92.977,-92.977,-92.977,,
1,MPLight_MM,74,3218.5,2449.0,12.0,44.0,20.0,9.0,-106.432,-106.432,-106.432,,
1,MPLight_MM,75,3437.5,2649.0,4.0,44.0,20.0,7.0,-90.977,-90.977,-90.977,,
1,MPLight_MM,76,3671.0,2849.0,0.5,44.0,20.0,3.0,-84.795,-84.795,-84.795,,
1,MPLight_MM,77,3900.0,3052.5,10.0,46.0,21.0,10.0,-103.517,-103.517,-103.517,,
1,MPLight_MM,78,4037.0,3002.0,17.0,48.0,20.0,7.0,-94.977,-94.977,-94.977,,
1,MPLight_MM,79,4184.0,3206.5,47.0,50.0,23.0,7.0,-100.778,-100.778,-100.778,,
1,MPLight_MM,80,4392.0,3401.5,0.0,48.0,22.0,1.0,-85.147,-85.147,-85.147,,
1,MPLight_MM,81,4586.0,3625.0,6.5,48.0,23.0,7.0,-98.778,-98.778,-98.778,,
1,MPLight_MM,82,4781.5,3855.0,7.0,46.0,23.0,4.0,-93.687,-93.687,-93.687,,
1,MPLight_MM,83,4671.0,3989.5,3.0,46.0,24.0,7.0,-101.136,-101.136,-101.136,,
1,MPLight_MM,84,4901.5,4232.5,19.5,51.0,25.0,5.0,-98.13,-98.13,-98.13,,
1,MPLight_MM,85,5142.0,4486.0,9.5,53.0,26.0,5.0,-104.488,-104.488,-104.488,,
1,MPLight_MM,86,5389.5,4746.0,0.0,53.0,26.0,2.0,-92.124,-92.124,-92.124,,
1,MPLight_MM,87,5669.5,5014.0,9.0,60.0,30.0,6.0,-122.738,-122.738,-122.738,,
1,MPLight_MM,88,5969.5,5314.0,18.5,60.0,30.0,9.0,-125.829,-125.829,-125.829,,
1,MPLight_MM,89,6269.5,5616.0,35.0,61.0,31.0,8.0,-128.096,-128.096,-128.096,,
1,MPLight_MM,90,6456.0,5873.5,0.0,59.0,31.0,0.0,-104.459,-104.459,-104.459,,
1,MPLight_MM,91,6620.0,6186.0,1.0,59.0,32.0,5.0,-118.09,-118.09,-118.09,,
1,MPLight_MM,92,6895.5,6511.0,22.5,63.0,34.0,10.0,-136.988,-136.988,-136.988,,
1,MPLight_MM,93,7190.5,6851.0,59.0,64.0,34.0,12.0,-144.17,-144.17,-144.17,,
1,MPLight_MM,94,5621.5,6070.0,69.5,55.0,31.0,14.0,-137.551,-137.551,-137.551,,
1,MPLight_MM,95,4837.5,5129.0,109.5,50.0,28.0,16.0,-134.932,-134.932,-134.932,,
1,MPLight_MM,96,5061.5,5412.0,95.0,54.0,30.0,5.0,-107.465,-107.465,-107.465,,
1,MPLight_MM,97,5306.0,5716.5,123.5,58.0,31.0,9.0,-125.096,-125.096,-125.096,,
1,MPLight_MM,98,5370.0,5954.0,12.0,57.0,30.0,3.0,-107.374,-107.374,-107.374,,
1,MPLight_MM,99,5417.0,6260.5,1.0,60.0,34.0,7.0,-124.715,-124.715,-124.715,,
1,MPLight_MM,100,5682.5,6609.0,21.0,65.0,37.0,8.0,-136.607,-136.607,-136.607,,
1,MPLight_MM,101,4360.5,6230.5,49.5,58.0,34.0,7.0,-122.715,-122.715,-122.715,,
1,MPLight_MM,102,1708.5,4682.0,79.5,43.0,29.0,8.0,-110.653,-110.653,-110.653,,
1,MPLight_MM,103,580.0,2659.0,109.5,32.0,21.0,7.0,-83.335,-83.335,-83.335,,
1,MPLight_MM,104,539.0,2876.0,143.5,33.0,23.0,13.0,-102.324,-102.324,-102.324,,
1,MPLight_MM,105,461.0,3058.0,7.5,37.0,21.0,4.0,-82.153,-82.153,-82.153,,
1,MPLight_MM,106,500.5,3268.0,17.5,42.0,21.0,15.0,-114.972,-114.972,-114.972,,
1,MPLight_MM,107,520.5,3485.5,30.0,48.0,24.0,11.0,-115.5,-115.5,-115.5,,
1,MPLight_MM,108,769.0,3728.5,56.0,52.0,25.0,11.0,-123.858,-123.858,-123.858,,
1,MPLight_MM,109,1045.5,3982.5,86.0,55.0,26.0,12.0,-131.216,-131.216,-131.216,,
1,MPLight_MM,110,1301.5,4242.5,42.5,54.0,26.0,9.0,-117.852,-117.852,-117.852,,
1,MPLight_MM,111,1404.0,4430.0,13.0,50.0,25.0,3.0,-106.403,-106.403,-106.403,,
1,MPLight_MM,112,1373.5,4553.5,27.5,47.0,24.0,6.0,-95.954,-95.954,-95.954,,
1,MPLight_MM,113,1538.5,4794.0,45.5,50.0,25.0,14.0,-124.949,-124.949,-124.949,,
1,MPLight_MM,114,1734.0,5021.5,67.5,52.0,24.0,6.0,-100.954,-100.954,-100.954,,
1,MPLight_MM,115,1989.5,5270.5,99.0,55.0,28.0,8.0,-115.204,-115.204,-115.204,,
1,MPLight_MM,116,1644.0,3938.5,104.0,45.0,22.0,9.0,-100.693,-100.693,-100.693,,
1,MPLight_MM,117,1673.0,4146.5,128.5,44.0,24.0,9.0,-111.5,-111.5,-111.5,,
1,MPLight_MM,118,1802.0,4364.5,0.0,49.0,25.0,1.0,-93.039,-93.039,-93.039,,
1,MPLight_MM,119,1978.0,4614.5,0.0,49.0,25.0,2.0,-96.13,-96.13,-96.13,,
1,MPLight_MM,120,2231.0,4867.5,0.0,54.0,27.0,1.0,-97.482,-97.482,-97.482,,
1,MPLight_MM,121,2360.5,5104.0,2.0,55.0,29.0,7.0,-116.471,-116.471,-116.471,,
1,MPLight_MM,122,2488.5,5394.0,31.0,55.0,29.0,12.0,-128.835,-128.835,-128.835,,
1,MPLight_MM,123,2732.5,5684.0,0.5,57.0,29.0,1.0,-96.834,-96.834,-96.834,,
1,MPLight_MM,124,2868.5,5917.5,0.0,59.0,32.0,1.0,-105.726,-105.726,-105.726,,
1,MPLight_MM,125,2988.0,6239.5,4.5,63.0,33.0,4.0,-117.175,-117.175,-117.175,,
1,MPLight_MM,126,3230.5,6543.0,7.5,63.0,34.0,4.0,-121.533,-121.533,-121.533,,
