5.0, {'J10': np.float32(-0.0), 'J11': np.float32(-0.0), 'J12': np.float32(-0.0), 'J13': np.float32(-0.0), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.0)}, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, 
10.0, {'J10': np.float32(-0.0), 'J11': np.float32(-0.0), 'J12': np.float32(-0.0), 'J13': np.float32(-0.0), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.005550416)}, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 1}, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 1}, 
15.0, {'J10': np.float32(-0.0), 'J11': np.float32(-0.0), 'J12': np.float32(-0.0), 'J13': np.float32(-0.0009250694), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(0.005550416)}, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, 
20.0, {'J10': np.float32(-0.0), 'J11': np.float32(-0.0), 'J12': np.float32(-0.0), 'J13': np.float32(-0.03052729), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.008325624)}, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 1}, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 2}, 
25.0, {'J10': np.float32(-0.006475486), 'J11': np.float32(-0.0), 'J12': np.float32(-0.002775208), 'J13': np.float32(-0.06105458), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.024976874)}, {'J10': 1, 'J11': 0, 'J12': 1, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, {'J10': 1, 'J11': 0, 'J12': 1, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, 
30.0, {'J10': np.float32(-0.018501388), 'J11': np.float32(-0.0), 'J12': np.float32(0.002775208), 'J13': np.float32(-0.08880666), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.06475486)}, {'J10': 1, 'J11': 0, 'J12': 0, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, {'J10': 1, 'J11': 0, 'J12': 0, 'J13': 7, 'cluster3106249630_3106249631_J60_J61_#5more': 5}, 
35.0, {'J10': np.float32(0.024051804), 'J11': np.float32(-0.0), 'J12': np.float32(-0.01480111), 'J13': np.float32(-0.13320999), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.10915819)}, {'J10': 1, 'J11': 0, 'J12': 1, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, {'J10': 1, 'J11': 0, 'J12': 2, 'J13': 8, 'cluster3106249630_3106249631_J60_J61_#5more': 9}, 
40.0, {'J10': np.float32(-0.022201665), 'J11': np.float32(-0.002775208), 'J12': np.float32(-0.037927844), 'J13': np.float32(-0.06382979), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.12673451)}, {'J10': 1, 'J11': 0, 'J12': 2, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 5}, {'J10': 2, 'J11': 0, 'J12': 3, 'J13': 8, 'cluster3106249630_3106249631_J60_J61_#5more': 12}, 
45.0, {'J10': np.float32(-0.04347826), 'J11': np.float32(-0.009250694), 'J12': np.float32(-0.020351527), 'J13': np.float32(0.1692877), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.2386679)}, {'J10': 2, 'J11': 0, 'J12': 2, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 5}, {'J10': 3, 'J11': 0, 'J12': 4, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 15}, 
50.0, {'J10': np.float32(-0.002775208), 'J11': np.float32(0.007400555), 'J12': np.float32(-0.083256245), 'J13': np.float32(0.08603145), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.33672526)}, {'J10': 2, 'J11': 1, 'J12': 3, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 6}, {'J10': 2, 'J11': 2, 'J12': 6, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 20}, 
55.0, {'J10': np.float32(0.052728955), 'J11': np.float32(0.0018501388), 'J12': np.float32(-0.09805735), 'J13': np.float32(0.052728955), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.39870492)}, {'J10': 0, 'J11': 1, 'J12': 5, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 7}, {'J10': 0, 'J11': 1, 'J12': 8, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 24}, 
60.0, {'J10': np.float32(-0.027752081), 'J11': np.float32(-0.03422757), 'J12': np.float32(-0.16558743), 'J13': np.float32(0.06475486), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.45513412)}, {'J10': 1, 'J11': 1, 'J12': 6, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 11}, {'J10': 1, 'J11': 1, 'J12': 11, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 30}, 
65.0, {'J10': np.float32(0.04440333), 'J11': np.float32(-0.066604994), 'J12': np.float32(-0.21831638), 'J13': np.float32(-0.037927844), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.60499537)}, {'J10': 0, 'J11': 1, 'J12': 6, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 12}, {'J10': 0, 'J11': 1, 'J12': 13, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 35}, 
70.0, {'J10': np.float32(-0.011100832), 'J11': np.float32(-0.015726179), 'J12': np.float32(-0.25716928), 'J13': np.float32(0.04347826), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.36447734)}, {'J10': 2, 'J11': 1, 'J12': 7, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 13}, {'J10': 2, 'J11': 1, 'J12': 15, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 35}, 
75.0, {'J10': np.float32(0.011100832), 'J11': np.float32(-0.06105458), 'J12': np.float32(-0.16558743), 'J13': np.float32(-0.007400555), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.386679)}, {'J10': 0, 'J11': 2, 'J12': 8, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 13}, {'J10': 0, 'J11': 2, 'J12': 16, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 36}, 
80.0, {'J10': np.float32(-0.0037002775), 'J11': np.float32(-0.07400555), 'J12': np.float32(-0.1720629), 'J13': np.float32(-0.023126734), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.68085104)}, {'J10': 1, 'J11': 2, 'J12': 9, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 13}, {'J10': 1, 'J11': 2, 'J12': 17, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 40}, 
85.0, {'J10': np.float32(-0.0), 'J11': np.float32(0.25439408), 'J12': np.float32(-0.2691952), 'J13': np.float32(-0.04440333), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.79740983)}, {'J10': 1, 'J11': 0, 'J12': 9, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 16}, {'J10': 1, 'J11': 0, 'J12': 16, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 46}, 
90.0, {'J10': np.float32(-0.0018501388), 'J11': np.float32(-0.015726179), 'J12': np.float32(-0.27937096), 'J13': np.float32(0.03237743), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.26179463)}, {'J10': 2, 'J11': 2, 'J12': 9, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 16}, {'J10': 2, 'J11': 2, 'J12': 16, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 43}, 
95.0, {'J10': np.float32(0.005550416), 'J11': np.float32(0.006475486), 'J12': np.float32(-0.27104533), 'J13': np.float32(-0.031452358), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.18778908)}, {'J10': 0, 'J11': 0, 'J12': 9, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 16}, {'J10': 0, 'J11': 0, 'J12': 15, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 40}, 
100.0, {'J10': np.float32(-0.0037002775), 'J11': np.float32(-0.009250694), 'J12': np.float32(-0.2867715), 'J13': np.float32(-0.07493062), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.30989826)}, {'J10': 1, 'J11': 0, 'J12': 10, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 16}, {'J10': 1, 'J11': 0, 'J12': 17, 'J13': 5, 'cluster3106249630_3106249631_J60_J61_#5more': 39}, 
105.0, {'J10': np.float32(-0.018501388), 'J11': np.float32(0.018501388), 'J12': np.float32(-0.31822386), 'J13': np.float32(-0.10638298), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.426457)}, {'J10': 1, 'J11': 0, 'J12': 10, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 19}, {'J10': 1, 'J11': 0, 'J12': 19, 'J13': 7, 'cluster3106249630_3106249631_J60_J61_#5more': 40}, 
110.0, {'J10': np.float32(0.020351527), 'J11': np.float32(-0.002775208), 'J12': np.float32(-0.359852), 'J13': np.float32(-0.123959295), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.6549491)}, {'J10': 1, 'J11': 1, 'J12': 10, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 20}, {'J10': 1, 'J11': 1, 'J12': 21, 'J13': 7, 'cluster3106249630_3106249631_J60_J61_#5more': 42}, 
115.0, {'J10': np.float32(-0.027752081), 'J11': np.float32(-0.04625347), 'J12': np.float32(-0.33765033), 'J13': np.float32(-0.14986125), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.74838114)}, {'J10': 2, 'J11': 2, 'J12': 10, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 20}, {'J10': 4, 'J11': 5, 'J12': 21, 'J13': 9, 'cluster3106249630_3106249631_J60_J61_#5more': 44}, 
120.0, {'J10': np.float32(-0.02960222), 'J11': np.float32(0.022201665), 'J12': np.float32(0.07308048), 'J13': np.float32(-0.18593894), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.56984276)}, {'J10': 3, 'J11': 1, 'J12': 9, 'J13': 5, 'cluster3106249630_3106249631_J60_J61_#5more': 23}, {'J10': 3, 'J11': 2, 'J12': 23, 'J13': 11, 'cluster3106249630_3106249631_J60_J61_#5more': 49}, 
125.0, {'J10': np.float32(0.05920444), 'J11': np.float32(-0.0138760405), 'J12': np.float32(-0.42923218), 'J13': np.float32(-0.21646623), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.6225717)}, {'J10': 0, 'J11': 2, 'J12': 9, 'J13': 6, 'cluster3106249630_3106249631_J60_J61_#5more': 23}, {'J10': 0, 'J11': 3, 'J12': 24, 'J13': 12, 'cluster3106249630_3106249631_J60_J61_#5more': 48}, 
130.0, {'J10': np.float32(-0.005550416), 'J11': np.float32(-0.078630894), 'J12': np.float32(-0.41905642), 'J13': np.float32(-0.2386679), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.49953747)}, {'J10': 1, 'J11': 2, 'J12': 11, 'J13': 7, 'cluster3106249630_3106249631_J60_J61_#5more': 23}, {'J10': 2, 'J11': 4, 'J12': 27, 'J13': 13, 'cluster3106249630_3106249631_J60_J61_#5more': 44}, 
135.0, {'J10': np.float32(0.002775208), 'J11': np.float32(-0.10175763), 'J12': np.float32(-0.53006476), 'J13': np.float32(-0.2562442), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.6040703)}, {'J10': 1, 'J11': 2, 'J12': 13, 'J13': 7, 'cluster3106249630_3106249631_J60_J61_#5more': 24}, {'J10': 1, 'J11': 4, 'J12': 30, 'J13': 14, 'cluster3106249630_3106249631_J60_J61_#5more': 43}, 
140.0, {'J10': np.float32(-0.018501388), 'J11': np.float32(0.14246069), 'J12': np.float32(-0.30712304), 'J13': np.float32(0.653099), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.8288622)}, {'J10': 1, 'J11': 0, 'J12': 13, 'J13': 5, 'cluster3106249630_3106249631_J60_J61_#5more': 24}, {'J10': 1, 'J11': 0, 'J12': 34, 'J13': 10, 'cluster3106249630_3106249631_J60_J61_#5more': 44}, 
