episode,agent,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,ped_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,bike_queue_frac,ped_queue_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,MAXPRESSURE,136769110.0,659489450.0,18533618.5,262288.0,217540.0,0.0,-147455.28889,90827.97894,-745980.0,0.0,0.8094,0.0227,0.4534,0.0,0.0,0.0,0.0,1080,99.4
2,MAXPRESSURE,150160718.0,629672124.5,18318630.0,246882.0,200341.0,0.0,-144413.48935,90200.40465,-734767.0,0.0,0.7889,0.023,0.448,0.0,0.0,0.0,0.0,1080,97.7
3,MAXPRESSURE,153990438.0,651847493.5,19446907.5,260243.0,213070.0,0.0,-149229.24657,92896.40049,-707801.0,0.0,0.7898,0.0236,0.4502,0.0,0.0,0.0,0.0,1080,106.4
4,MAXPRESSURE,135940946.5,688569615.0,17367692.5,268090.0,222786.0,0.0,-152687.14102,95069.3606,-777510.0,0.0,0.8179,0.0206,0.4539,0.0,0.0,0.0,0.0,1080,102.4
5,MAXPRESSURE,173541121.5,735612153.5,19218150.5,298205.0,245373.0,0.0,-168361.71759,109742.76914,-752461.0,0.0,0.7924,0.0207,0.4514,0.0,0.0,0.0,0.0,1080,123.2
6,MAXPRESSURE,141522867.5,655326252.5,18677322.5,257869.0,211858.0,0.0,-147564.65185,91932.10939,-755817.0,0.0,0.8036,0.0229,0.451,0.0,0.0,0.0,0.0,1080,98.5
7,MAXPRESSURE,138887402.5,647713613.0,18837680.5,257466.0,212220.0,0.0,-145666.85472,91941.94198,-762196.0,0.0,0.8042,0.0234,0.4518,0.0,0.0,0.0,0.0,1080,101.4
8,MAXPRESSURE,156164889.0,628298303.5,20058924.5,252341.0,205958.0,0.0,-145270.96157,91888.41259,-706487.0,0.0,0.781,0.0249,0.4494,0.0,0.0,0.0,0.0,1080,103.3
9,MAXPRESSURE,144435375.0,701785948.5,18352043.0,279826.0,233465.0,0.0,-156707.6525,99518.93355,-811002.5,0.0,0.8117,0.0212,0.4548,0.0,0.0,0.0,0.0,1080,105.9
10,MAXPRESSURE,146974988.0,635586841.0,17019836.0,253946.0,208571.0,0.0,-144918.85722,88603.60887,-707082.0,0.0,0.7949,0.0213,0.4509,0.0,0.0,0.0,0.0,1080,96.8
11,MAXPRESSURE,146644655.0,594550163.5,20554510.5,239225.0,193576.0,0.0,-137258.29972,81877.31559,-662408.5,0.0,0.7805,0.027,0.4473,0.0,0.0,0.0,0.0,1080,96.2
12,MAXPRESSURE,173542119.0,612017960.0,24008603.0,246658.0,198171.0,0.0,-145474.0887,92399.29947,-703772.0,0.0,0.756,0.0297,0.4455,0.0,0.0,0.0,0.0,1080,106.2
13,MAXPRESSURE,142786051.0,632778778.5,18158711.5,249845.0,205438.0,0.0,-143623.11657,91553.1666,-712689.0,0.0,0.7972,0.0229,0.4512,0.0,0.0,0.0,0.0,1080,100.7
14,MAXPRESSURE,154779536.5,707924642.5,19107271.0,280522.0,230430.0,0.0,-159760.03315,97513.81176,-778455.5,0.0,0.8028,0.0217,0.451,0.0,0.0,0.0,0.0,1080,112.6
15,MAXPRESSURE,165351054.5,581912059.0,20869192.5,229309.0,182753.0,0.0,-138382.05806,85789.79578,-705469.5,0.0,0.7576,0.0272,0.4435,0.0,0.0,0.0,0.0,1080,92.6
16,MAXPRESSURE,144893460.0,638093234.5,17527979.5,249714.0,204109.0,0.0,-144997.53602,90623.56254,-735892.5,0.0,0.7971,0.0219,0.4498,0.0,0.0,0.0,0.0,1080,97.2
17,MAXPRESSURE,147998530.0,627227483.5,18802062.5,248311.0,202065.0,0.0,-143560.37287,89942.41947,-714544.0,0.0,0.7899,0.0237,0.4487,0.0,0.0,0.0,0.0,1080,98.2
18,MAXPRESSURE,198509860.0,738919485.5,20252620.0,285027.0,230370.0,0.0,-173598.02694,113020.39175,-736877.0,0.0,0.7716,0.0211,0.447,0.0,0.0,0.0,0.0,1080,131.4
19,MAXPRESSURE,137805397.5,636749006.0,17666250.5,252444.0,207299.0,0.0,-143436.00065,91881.52893,-730899.5,0.0,0.8038,0.0223,0.4509,0.0,0.0,0.0,0.0,1080,98.7
20,MAXPRESSURE,145592893.0,624937367.0,18583055.0,246683.0,201631.0,0.0,-142690.78889,89084.9641,-717746.5,0.0,0.7919,0.0235,0.4498,0.0,0.0,0.0,0.0,1080,99.2
