episode,agent,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,ped_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,bike_queue_frac,ped_queue_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,MAXWAVE,77663148.5,620628444.0,18238514.5,243058.0,210587.0,0.0,-129313.25787,75973.13892,-538482.0,0.0,0.8662,0.0255,0.4642,0.0,0.0,0.0,0.0,1080,101.6
2,MAXWAVE,126969515.0,623070617.5,24947412.0,227992.0,193001.0,0.0,-138896.32083,81490.11981,-542968.0,0.0,0.804,0.0322,0.4584,0.0,0.0,0.0,0.0,1080,109.2
3,MAXWAVE,98439254.0,675357536.0,18767109.0,262080.0,224656.0,0.0,-143295.70185,90221.09138,-558712.0,0.0,0.8521,0.0237,0.4616,0.0,0.0,0.0,0.0,1080,111.7
4,MAXWAVE,92130876.5,592969253.5,17940701.0,226745.0,193843.0,0.0,-126870.39444,74534.99508,-527616.0,0.0,0.8434,0.0255,0.4609,0.0,0.0,0.0,0.0,1080,97.4
5,MAXWAVE,148737570.0,701921317.5,19160419.0,264101.0,221301.0,0.0,-157529.42361,99994.22581,-536198.5,0.0,0.807,0.022,0.4559,0.0,0.0,0.0,0.0,1080,133.0
6,MAXWAVE,134511134.5,710441242.5,19778047.0,282529.0,239631.0,0.0,-156472.66241,100066.14557,-552041.0,0.0,0.8216,0.0229,0.4589,0.0,0.0,0.0,0.0,1080,136.3
7,MAXWAVE,109274098.5,572133234.5,23872476.5,211161.0,177424.0,0.0,-126186.54315,74059.75116,-546823.0,0.0,0.8112,0.0338,0.4566,0.0,0.0,0.0,0.0,1080,93.9
8,MAXWAVE,88901568.0,603201964.5,18389447.0,226142.0,193821.0,0.0,-128167.32083,76117.47265,-526393.0,0.0,0.849,0.0259,0.4615,0.0,0.0,0.0,0.0,1080,97.6
9,MAXWAVE,117968070.5,662362034.0,19389903.0,254722.0,217179.0,0.0,-144505.57491,92705.95457,-537640.0,0.0,0.8282,0.0242,0.4602,0.0,0.0,0.0,0.0,1080,120.9
10,MAXWAVE,124753096.0,707113088.5,20586229.5,265856.0,224958.0,0.0,-154049.29343,99332.18876,-589527.0,0.0,0.8295,0.0241,0.4583,0.0,0.0,0.0,0.0,1080,126.6
11,MAXWAVE,153831886.5,689423284.0,20098300.5,262723.0,219058.0,0.0,-156158.36491,98891.63652,-528845.5,0.0,0.7985,0.0233,0.4547,0.0,0.0,0.0,0.0,1080,133.9
12,MAXWAVE,161110111.0,705865780.5,20120612.0,264902.0,220069.0,0.0,-160551.09102,101344.00447,-528543.0,0.0,0.7957,0.0227,0.4538,0.0,0.0,0.0,0.0,1080,131.7
13,MAXWAVE,136394983.5,719240125.5,20449138.5,275473.0,232413.0,0.0,-158450.94611,101329.06221,-577326.0,0.0,0.821,0.0233,0.4576,0.0,0.0,0.0,0.0,1080,132.1
14,MAXWAVE,81729608.5,591385128.5,18299718.5,229204.0,196754.0,0.0,-124650.87722,72699.71213,-518289.5,0.0,0.8553,0.0265,0.4619,0.0,0.0,0.0,0.0,1080,98.3
15,MAXWAVE,141103648.5,710074552.5,20100338.5,264908.0,222387.0,0.0,-157625.59278,99166.98748,-567216.0,0.0,0.815,0.0231,0.4564,0.0,0.0,0.0,0.0,1080,137.6
16,MAXWAVE,80032556.5,632094898.0,18425255.0,237210.0,205157.0,0.0,-131875.45454,79721.78789,-592084.0,0.0,0.8652,0.0252,0.4638,0.0,0.0,0.0,0.0,1080,98.4
17,MAXWAVE,106534343.0,708112746.5,19937469.0,271960.0,233484.0,0.0,-150860.57213,94079.26005,-547805.5,0.0,0.8485,0.0239,0.4619,0.0,0.0,0.0,0.0,1080,126.4
18,MAXWAVE,128358732.5,706550326.5,20069718.5,270977.0,230727.0,0.0,-154612.7887,99232.49111,-574590.5,0.0,0.8264,0.0235,0.4599,0.0,0.0,0.0,0.0,1080,128.9
19,MAXWAVE,119974072.5,700079000.0,19590132.0,267966.0,228794.0,0.0,-151861.68009,98280.46201,-572578.5,0.0,0.8338,0.0233,0.4606,0.0,0.0,0.0,0.0,1080,123.0
20,MAXWAVE,81122110.0,603879573.5,18483732.5,238162.0,205282.0,0.0,-126852.16361,74953.64502,-540731.5,0.0,0.8584,0.0263,0.4629,0.0,0.0,0.0,0.0,1080,100.9
21,MAXWAVE,125524057.5,734331517.5,19861118.5,276020.0,234323.0,0.0,-159232.51389,101526.94509,-567064.0,0.0,0.8347,0.0226,0.4591,0.0,0.0,0.0,0.0,1080,130.7
22,MAXWAVE,143236920.5,690294415.0,18254183.5,274717.0,230424.0,0.0,-154357.65472,100042.00034,-543379.0,0.0,0.8104,0.0214,0.4562,0.0,0.0,0.0,0.0,1080,134.2
23,MAXWAVE,124792470.5,732046470.0,19036757.0,276142.0,236117.0,0.0,-158673.87787,99239.59841,-577289.0,0.0,0.8358,0.0217,0.4609,0.0,0.0,0.0,0.0,1080,128.8
24,MAXWAVE,95628158.5,672757376.0,18943599.0,260938.0,225563.0,0.0,-142293.6175,89803.32934,-557486.5,0.0,0.8545,0.0241,0.4636,0.0,0.0,0.0,0.0,1080,108.5
25,MAXWAVE,146881754.0,709425273.5,20774398.5,264601.0,221366.0,0.0,-158575.37546,99391.52775,-533825.0,0.0,0.8088,0.0237,0.4555,0.0,0.0,0.0,0.0,1080,130.5
26,MAXWAVE,78687063.5,614855495.5,18605794.0,240473.0,207411.0,0.0,-128433.80722,76750.99291,-571953.0,0.0,0.8634,0.0261,0.4631,0.0,0.0,0.0,0.0,1080,105.6
