episode,agent,decision,signal_id,reward
1,MAXWAVE,50,J10,-21.5
1,MAXWAVE,50,J11,-5382.5
1,MAXWAVE,50,J12,-7607.5
1,MAXWAVE,50,J13,-6393.0
1,MAXWAVE,50,cluster3106249630_3106249631_J60_J61_#5more,-18180.0
1,MAXWAVE,100,J10,-4.5
1,MAXWAVE,100,J11,-23376.0
1,MAXWAVE,100,J12,-8140.0
1,MAXWAVE,100,J13,-13820.5
1,MAXWAVE,100,cluster3106249630_3106249631_J60_J61_#5more,-45034.0
1,MAXWAVE,150,J10,-32.5
1,MAXWAVE,150,J11,-47286.0
1,MAXWAVE,150,J12,-15533.0
1,MAXWAVE,150,J13,-17225.5
1,MAXWAVE,150,cluster3106249630_3106249631_J60_J61_#5more,-71136.0
1,MAXWAVE,200,J10,-240.5
1,MAXWAVE,200,J11,-71297.0
1,MAXWAVE,200,J12,-24918.0
1,MAXWAVE,200,J13,-18337.0
1,MAXWAVE,200,cluster3106249630_3106249631_J60_J61_#5more,-103811.5
1,MAXWAVE,250,J10,-6628.0
1,MAXWAVE,250,J11,-95286.0
1,MAXWAVE,250,J12,-17599.5
1,MAXWAVE,250,J13,-20087.0
1,MAXWAVE,250,cluster3106249630_3106249631_J60_J61_#5more,-137062.5
1,MAXWAVE,300,J10,-13284.5
1,MAXWAVE,300,J11,-119286.0
1,MAXWAVE,300,J12,-22172.0
1,MAXWAVE,300,J13,-27394.0
1,MAXWAVE,300,cluster3106249630_3106249631_J60_J61_#5more,-174252.5
1,MAXWAVE,350,J10,-22244.0
1,MAXWAVE,350,J11,-143286.0
1,MAXWAVE,350,J12,-17067.5
1,MAXWAVE,350,J13,-32776.5
1,MAXWAVE,350,cluster3106249630_3106249631_J60_J61_#5more,-204743.0
1,MAXWAVE,400,J10,-31244.0
1,MAXWAVE,400,J11,-167286.0
1,MAXWAVE,400,J12,-14717.0
1,MAXWAVE,400,J13,-35365.5
1,MAXWAVE,400,cluster3106249630_3106249631_J60_J61_#5more,-225187.5
1,MAXWAVE,450,J10,-40246.0
1,MAXWAVE,450,J11,-191302.5
1,MAXWAVE,450,J12,-20793.5
1,MAXWAVE,450,J13,-35227.0
1,MAXWAVE,450,cluster3106249630_3106249631_J60_J61_#5more,-255738.0
1,MAXWAVE,500,J10,-49344.5
1,MAXWAVE,500,J11,-215313.0
1,MAXWAVE,500,J12,-36691.0
1,MAXWAVE,500,J13,-42744.5
1,MAXWAVE,500,cluster3106249630_3106249631_J60_J61_#5more,-293795.0
1,MAXWAVE,550,J10,-58397.5
1,MAXWAVE,550,J11,-239361.5
1,MAXWAVE,550,J12,-50413.0
1,MAXWAVE,550,J13,-44321.5
1,MAXWAVE,550,cluster3106249630_3106249631_J60_J61_#5more,-325823.5
1,MAXWAVE,600,J10,-67244.0
1,MAXWAVE,600,J11,-263409.0
1,MAXWAVE,600,J12,-21156.5
1,MAXWAVE,600,J13,-44681.5
1,MAXWAVE,600,cluster3106249630_3106249631_J60_J61_#5more,-361265.5
1,MAXWAVE,650,J10,-76276.0
1,MAXWAVE,650,J11,-287286.0
1,MAXWAVE,650,J12,-7976.5
1,MAXWAVE,650,J13,-51778.0
1,MAXWAVE,650,cluster3106249630_3106249631_J60_J61_#5more,-384484.0
1,MAXWAVE,700,J10,-85355.0
1,MAXWAVE,700,J11,-311297.0
1,MAXWAVE,700,J12,-10961.0
1,MAXWAVE,700,J13,-53617.0
1,MAXWAVE,700,cluster3106249630_3106249631_J60_J61_#5more,-421520.0
1,MAXWAVE,750,J10,-94244.0
1,MAXWAVE,750,J11,-335286.0
1,MAXWAVE,750,J12,-15216.5
1,MAXWAVE,750,J13,-56913.0
1,MAXWAVE,750,cluster3106249630_3106249631_J60_J61_#5more,-402987.5
