5.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
10.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
15.0, {'J8': np.float32(-0.002232143)}, {'J8': 1}, {'J8': 1}, 
20.0, {'J8': np.float32(-0.046875)}, {'J8': 1}, {'J8': 1}, 
25.0, {'J8': np.float32(-0.100446425)}, {'J8': 1}, {'J8': 2}, 
30.0, {'J8': np.float32(-0.20758928)}, {'J8': 2}, {'J8': 3}, 
35.0, {'J8': np.float32(-0.34151787)}, {'J8': 2}, {'J8': 3}, 
40.0, {'J8': np.float32(-0.49107143)}, {'J8': 4}, {'J8': 5}, 
45.0, {'J8': np.float32(-0.38169643)}, {'J8': 2}, {'J8': 4}, 
50.0, {'J8': np.float32(-0.36607143)}, {'J8': 1}, {'J8': 2}, 
55.0, {'J8': np.float32(-0.45535713)}, {'J8': 1}, {'J8': 2}, 
60.0, {'J8': np.float32(-0.4330357)}, {'J8': 3}, {'J8': 3}, 
65.0, {'J8': np.float32(-0.59598213)}, {'J8': 4}, {'J8': 5}, 
70.0, {'J8': np.float32(-0.765625)}, {'J8': 4}, {'J8': 4}, 
75.0, {'J8': np.float32(-0.94866073)}, {'J8': 4}, {'J8': 5}, 
80.0, {'J8': np.float32(-1.171875)}, {'J8': 4}, {'J8': 5}, 
85.0, {'J8': np.float32(-1.3013393)}, {'J8': 4}, {'J8': 4}, 
90.0, {'J8': np.float32(-1.4799107)}, {'J8': 4}, {'J8': 4}, 
95.0, {'J8': np.float32(-1.6852678)}, {'J8': 4}, {'J8': 6}, 
100.0, {'J8': np.float32(-1.953125)}, {'J8': 4}, {'J8': 6}, 
105.0, {'J8': np.float32(-2.033482)}, {'J8': 5}, {'J8': 5}, 
110.0, {'J8': np.float32(-2.2879465)}, {'J8': 5}, {'J8': 8}, 
115.0, {'J8': np.float32(-2.6941965)}, {'J8': 5}, {'J8': 11}, 
120.0, {'J8': np.float32(-3.0870535)}, {'J8': 5}, {'J8': 10}, 
125.0, {'J8': np.float32(-3.3325894)}, {'J8': 5}, {'J8': 9}, 
130.0, {'J8': np.float32(-3.734375)}, {'J8': 5}, {'J8': 9}, 
135.0, {'J8': np.float32(-4.0)}, {'J8': 5}, {'J8': 11}, 
140.0, {'J8': np.float32(-4.0)}, {'J8': 5}, {'J8': 12}, 
145.0, {'J8': np.float32(-4.0)}, {'J8': 5}, {'J8': 12}, 
150.0, {'J8': np.float32(-4.0)}, {'J8': 5}, {'J8': 10}, 
155.0, {'J8': np.float32(-4.0)}, {'J8': 6}, {'J8': 11}, 
