5.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
10.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
15.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
20.0, {'J8': np.float32(-5.0)}, {'J8': 1}, {'J8': 1}, 
25.0, {'J8': np.float32(-16.0)}, {'J8': 1}, {'J8': 3}, 
30.0, {'J8': np.float32(-33.5)}, {'J8': 2}, {'J8': 4}, 
35.0, {'J8': np.float32(-40.0)}, {'J8': 2}, {'J8': 4}, 
40.0, {'J8': np.float32(-48.5)}, {'J8': 3}, {'J8': 7}, 
45.0, {'J8': np.float32(-79.5)}, {'J8': 4}, {'J8': 9}, 
50.0, {'J8': np.float32(-92.5)}, {'J8': 5}, {'J8': 10}, 
55.0, {'J8': np.float32(-44.0)}, {'J8': 6}, {'J8': 10}, 
60.0, {'J8': np.float32(-47.5)}, {'J8': 7}, {'J8': 12}, 
65.0, {'J8': np.float32(-128.0)}, {'J8': 8}, {'J8': 15}, 
70.0, {'J8': np.float32(-87.0)}, {'J8': 8}, {'J8': 14}, 
75.0, {'J8': np.float32(-53.0)}, {'J8': 8}, {'J8': 12}, 
80.0, {'J8': np.float32(-6.0)}, {'J8': 7}, {'J8': 12}, 
85.0, {'J8': np.float32(-30.0)}, {'J8': 6}, {'J8': 13}, 
90.0, {'J8': np.float32(-134.0)}, {'J8': 6}, {'J8': 14}, 
95.0, {'J8': np.float32(-140.0)}, {'J8': 6}, {'J8': 14}, 
100.0, {'J8': np.float32(-23.0)}, {'J8': 6}, {'J8': 14}, 
105.0, {'J8': np.float32(-19.5)}, {'J8': 5}, {'J8': 14}, 
110.0, {'J8': np.float32(-140.0)}, {'J8': 5}, {'J8': 14}, 
115.0, {'J8': np.float32(-142.0)}, {'J8': 6}, {'J8': 15}, 
120.0, {'J8': np.float32(123.0)}, {'J8': 5}, {'J8': 14}, 
125.0, {'J8': np.float32(116.5)}, {'J8': 5}, {'J8': 12}, 
130.0, {'J8': np.float32(45.5)}, {'J8': 5}, {'J8': 10}, 
135.0, {'J8': np.float32(197.5)}, {'J8': 5}, {'J8': 8}, 
140.0, {'J8': np.float32(-84.0)}, {'J8': 5}, {'J8': 10}, 
145.0, {'J8': np.float32(-112.5)}, {'J8': 6}, {'J8': 14}, 
150.0, {'J8': np.float32(-75.5)}, {'J8': 6}, {'J8': 15}, 
155.0, {'J8': np.float32(-2.0)}, {'J8': 5}, {'J8': 12}, 
160.0, {'J8': np.float32(-83.5)}, {'J8': 5}, {'J8': 11}, 
165.0, {'J8': np.float32(-67.0)}, {'J8': 5}, {'J8': 10}, 
170.0, {'J8': np.float32(-57.5)}, {'J8': 5}, {'J8': 10}, 
175.0, {'J8': np.float32(-103.5)}, {'J8': 5}, {'J8': 11}, 
180.0, {'J8': np.float32(-118.0)}, {'J8': 5}, {'J8': 13}, 
185.0, {'J8': np.float32(-22.0)}, {'J8': 5}, {'J8': 13}, 
190.0, {'J8': np.float32(2.5)}, {'J8': 5}, {'J8': 12}, 
195.0, {'J8': np.float32(-122.5)}, {'J8': 5}, {'J8': 14}, 
200.0, {'J8': np.float32(-29.5)}, {'J8': 5}, {'J8': 13}, 
205.0, {'J8': np.float32(-18.0)}, {'J8': 6}, {'J8': 13}, 
210.0, {'J8': np.float32(-135.0)}, {'J8': 7}, {'J8': 15}, 
215.0, {'J8': np.float32(-109.5)}, {'J8': 8}, {'J8': 15}, 
220.0, {'J8': np.float32(-14.5)}, {'J8': 7}, {'J8': 13}, 
225.0, {'J8': np.float32(-44.0)}, {'J8': 6}, {'J8': 15}, 
230.0, {'J8': np.float32(-109.0)}, {'J8': 6}, {'J8': 14}, 
235.0, {'J8': np.float32(90.5)}, {'J8': 5}, {'J8': 11}, 
240.0, {'J8': np.float32(-111.5)}, {'J8': 5}, {'J8': 12}, 
245.0, {'J8': np.float32(-77.5)}, {'J8': 5}, {'J8': 11}, 
250.0, {'J8': np.float32(59.5)}, {'J8': 5}, {'J8': 10}, 
255.0, {'J8': np.float32(-4.5)}, {'J8': 5}, {'J8': 12}, 
260.0, {'J8': np.float32(75.5)}, {'J8': 5}, {'J8': 10}, 
265.0, {'J8': np.float32(-68.0)}, {'J8': 5}, {'J8': 9}, 
270.0, {'J8': np.float32(-29.5)}, {'J8': 5}, {'J8': 9}, 
275.0, {'J8': np.float32(33.5)}, {'J8': 5}, {'J8': 8}, 
280.0, {'J8': np.float32(-60.5)}, {'J8': 5}, {'J8': 8}, 
285.0, {'J8': np.float32(-46.0)}, {'J8': 5}, {'J8': 6}, 
290.0, {'J8': np.float32(-68.0)}, {'J8': 5}, {'J8': 10}, 
