5.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
10.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
15.0, {'J8': np.float32(-0.002232143)}, {'J8': 1}, {'J8': 1}, 
20.0, {'J8': np.float32(-0.04464286)}, {'J8': 1}, {'J8': 1}, 
25.0, {'J8': np.float32(-0.04464286)}, {'J8': 1}, {'J8': 1}, 
30.0, {'J8': np.float32(-0.06696428)}, {'J8': 2}, {'J8': 3}, 
35.0, {'J8': np.float32(-0.084821425)}, {'J8': 1}, {'J8': 2}, 
40.0, {'J8': np.float32(-0.09375)}, {'J8': 2}, {'J8': 3}, 
45.0, {'J8': np.float32(-0.13839285)}, {'J8': 3}, {'J8': 4}, 
50.0, {'J8': np.float32(-0.19642857)}, {'J8': 4}, {'J8': 5}, 
55.0, {'J8': np.float32(-0.22321428)}, {'J8': 4}, {'J8': 5}, 
60.0, {'J8': np.float32(0.02455357)}, {'J8': 3}, {'J8': 7}, 
65.0, {'J8': np.float32(-0.051339287)}, {'J8': 4}, {'J8': 6}, 
70.0, {'J8': np.float32(-0.27455357)}, {'J8': 4}, {'J8': 7}, 
75.0, {'J8': np.float32(-0.33482143)}, {'J8': 4}, {'J8': 8}, 
80.0, {'J8': np.float32(-0.35714287)}, {'J8': 4}, {'J8': 8}, 
85.0, {'J8': np.float32(-0.35714287)}, {'J8': 4}, {'J8': 8}, 
90.0, {'J8': np.float32(-0.35714287)}, {'J8': 4}, {'J8': 8}, 
95.0, {'J8': np.float32(-0.35714287)}, {'J8': 4}, {'J8': 8}, 
100.0, {'J8': np.float32(-0.35714287)}, {'J8': 4}, {'J8': 8}, 
105.0, {'J8': np.float32(-0.375)}, {'J8': 5}, {'J8': 9}, 
110.0, {'J8': np.float32(0.16294643)}, {'J8': 5}, {'J8': 9}, 
115.0, {'J8': np.float32(0.2611607)}, {'J8': 5}, {'J8': 7}, 
120.0, {'J8': np.float32(0.12723215)}, {'J8': 5}, {'J8': 7}, 
125.0, {'J8': np.float32(0.20535715)}, {'J8': 5}, {'J8': 6}, 
130.0, {'J8': np.float32(-0.30357143)}, {'J8': 5}, {'J8': 10}, 
135.0, {'J8': np.float32(-0.3950893)}, {'J8': 5}, {'J8': 9}, 
140.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
145.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
150.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
