5.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
10.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
15.0, {'J8': np.float32(-0.009090909)}, {'J8': 1}, {'J8': 1}, 
20.0, {'J8': np.float32(-0.18181819)}, {'J8': 1}, {'J8': 1}, 
25.0, {'J8': np.float32(-0.2)}, {'J8': 1}, {'J8': 2}, 
30.0, {'J8': np.float32(-0.4181818)}, {'J8': 2}, {'J8': 3}, 
35.0, {'J8': np.float32(-0.54545456)}, {'J8': 2}, {'J8': 3}, 
40.0, {'J8': np.float32(-0.6181818)}, {'J8': 4}, {'J8': 5}, 
45.0, {'J8': np.float32(-0.90909094)}, {'J8': 4}, {'J8': 5}, 
50.0, {'J8': np.float32(-0.90909094)}, {'J8': 4}, {'J8': 5}, 
55.0, {'J8': np.float32(-0.90909094)}, {'J8': 4}, {'J8': 5}, 
60.0, {'J8': np.float32(-1.0272727)}, {'J8': 4}, {'J8': 7}, 
65.0, {'J8': np.float32(-1.3454546)}, {'J8': 4}, {'J8': 8}, 
70.0, {'J8': np.float32(-1.4545455)}, {'J8': 4}, {'J8': 8}, 
75.0, {'J8': np.float32(-1.4545455)}, {'J8': 4}, {'J8': 8}, 
80.0, {'J8': np.float32(-1.4545455)}, {'J8': 4}, {'J8': 8}, 
85.0, {'J8': np.float32(-1.4545455)}, {'J8': 4}, {'J8': 8}, 
90.0, {'J8': np.float32(-1.4545455)}, {'J8': 4}, {'J8': 8}, 
95.0, {'J8': np.float32(-1.4545455)}, {'J8': 4}, {'J8': 8}, 
100.0, {'J8': np.float32(-1.4545455)}, {'J8': 4}, {'J8': 8}, 
105.0, {'J8': np.float32(-1.5272727)}, {'J8': 5}, {'J8': 9}, 
110.0, {'J8': np.float32(-1.6363636)}, {'J8': 5}, {'J8': 9}, 
115.0, {'J8': np.float32(-1.6363636)}, {'J8': 5}, {'J8': 9}, 
120.0, {'J8': np.float32(-1.709091)}, {'J8': 5}, {'J8': 10}, 
125.0, {'J8': np.float32(-1.8909091)}, {'J8': 5}, {'J8': 11}, 
130.0, {'J8': np.float32(-2.0363636)}, {'J8': 5}, {'J8': 12}, 
135.0, {'J8': np.float32(-2.2545455)}, {'J8': 5}, {'J8': 13}, 
140.0, {'J8': np.float32(-2.4545455)}, {'J8': 5}, {'J8': 14}, 
145.0, {'J8': np.float32(-2.6272728)}, {'J8': 6}, {'J8': 15}, 
150.0, {'J8': np.float32(-2.8)}, {'J8': 7}, {'J8': 16}, 
155.0, {'J8': np.float32(-1.5818182)}, {'J8': 7}, {'J8': 16}, 
160.0, {'J8': np.float32(0.54545456)}, {'J8': 5}, {'J8': 13}, 
165.0, {'J8': np.float32(-0.55454546)}, {'J8': 5}, {'J8': 11}, 
170.0, {'J8': np.float32(-1.2)}, {'J8': 5}, {'J8': 10}, 
175.0, {'J8': np.float32(-1.8181819)}, {'J8': 5}, {'J8': 10}, 
180.0, {'J8': np.float32(-0.8909091)}, {'J8': 5}, {'J8': 9}, 
185.0, {'J8': np.float32(-1.6727272)}, {'J8': 5}, {'J8': 10}, 
190.0, {'J8': np.float32(-1.9272727)}, {'J8': 5}, {'J8': 12}, 
195.0, {'J8': np.float32(-1.7818182)}, {'J8': 5}, {'J8': 11}, 
200.0, {'J8': np.float32(-1.1636363)}, {'J8': 5}, {'J8': 9}, 
205.0, {'J8': np.float32(-1.6909091)}, {'J8': 5}, {'J8': 10}, 
210.0, {'J8': np.float32(-1.9454546)}, {'J8': 5}, {'J8': 12}, 
215.0, {'J8': np.float32(-1.5)}, {'J8': 5}, {'J8': 10}, 
220.0, {'J8': np.float32(-1.4090909)}, {'J8': 5}, {'J8': 9}, 
225.0, {'J8': np.float32(-1.6909091)}, {'J8': 5}, {'J8': 10}, 
230.0, {'J8': np.float32(-1.9272727)}, {'J8': 5}, {'J8': 12}, 
235.0, {'J8': np.float32(-1.5090909)}, {'J8': 5}, {'J8': 10}, 
240.0, {'J8': np.float32(-1.4181818)}, {'J8': 5}, {'J8': 9}, 
245.0, {'J8': np.float32(-1.6363636)}, {'J8': 5}, {'J8': 9}, 
250.0, {'J8': np.float32(-1.6363636)}, {'J8': 5}, {'J8': 9}, 
255.0, {'J8': np.float32(-1.6363636)}, {'J8': 5}, {'J8': 9}, 
260.0, {'J8': np.float32(-1.6363636)}, {'J8': 5}, {'J8': 9}, 
265.0, {'J8': np.float32(-1.6363636)}, {'J8': 5}, {'J8': 9}, 
270.0, {'J8': np.float32(-1.6363636)}, {'J8': 5}, {'J8': 9}, 
275.0, {'J8': np.float32(-1.6363636)}, {'J8': 5}, {'J8': 9}, 
280.0, {'J8': np.float32(-1.6363636)}, {'J8': 5}, {'J8': 9}, 
285.0, {'J8': np.float32(-1.7)}, {'J8': 5}, {'J8': 10}, 
290.0, {'J8': np.float32(-1.5727273)}, {'J8': 5}, {'J8': 9}, 
295.0, {'J8': np.float32(-1.6363636)}, {'J8': 5}, {'J8': 9}, 
300.0, {'J8': np.float32(-1.6363636)}, {'J8': 5}, {'J8': 9}, 
305.0, {'J8': np.float32(-1.6363636)}, {'J8': 5}, {'J8': 9}, 
310.0, {'J8': np.float32(-1.6363636)}, {'J8': 5}, {'J8': 9}, 
315.0, {'J8': np.float32(-1.6363636)}, {'J8': 5}, {'J8': 9}, 
320.0, {'J8': np.float32(-1.6363636)}, {'J8': 5}, {'J8': 9}, 
325.0, {'J8': np.float32(-1.6363636)}, {'J8': 5}, {'J8': 9}, 
330.0, {'J8': np.float32(-1.6363636)}, {'J8': 5}, {'J8': 9}, 
335.0, {'J8': np.float32(-1.6363636)}, {'J8': 5}, {'J8': 9}, 
340.0, {'J8': np.float32(-1.6636363)}, {'J8': 5}, {'J8': 10}, 
345.0, {'J8': np.float32(-1.8181819)}, {'J8': 5}, {'J8': 10}, 
350.0, {'J8': np.float32(-1.4272727)}, {'J8': 5}, {'J8': 9}, 
355.0, {'J8': np.float32(-1.6636363)}, {'J8': 5}, {'J8': 10}, 
360.0, {'J8': np.float32(-1.6090909)}, {'J8': 5}, {'J8': 9}, 
365.0, {'J8': np.float32(-1.6363636)}, {'J8': 5}, {'J8': 9}, 
370.0, {'J8': np.float32(-1.6363636)}, {'J8': 5}, {'J8': 9}, 
375.0, {'J8': np.float32(-1.6363636)}, {'J8': 5}, {'J8': 9}, 
380.0, {'J8': np.float32(-1.6363636)}, {'J8': 5}, {'J8': 9}, 
385.0, {'J8': np.float32(-1.6363636)}, {'J8': 5}, {'J8': 9}, 
390.0, {'J8': np.float32(-1.6363636)}, {'J8': 5}, {'J8': 9}, 
395.0, {'J8': np.float32(-1.6363636)}, {'J8': 5}, {'J8': 9}, 
