5.0, {'J01': np.float32(-0.0)}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': np.float32(-0.0037002775)}, {'J01': 1}, {'J01': 1}, 
15.0, {'J01': np.float32(-0.01480111)}, {'J01': 1}, {'J01': 4}, 
20.0, {'J01': np.float32(-0.08233117)}, {'J01': 2}, {'J01': 6}, 
25.0, {'J01': np.float32(-0.12580943)}, {'J01': 3}, {'J01': 8}, 
30.0, {'J01': np.float32(-0.17483811)}, {'J01': 4}, {'J01': 11}, 
35.0, {'J01': np.float32(-0.43852684)}, {'J01': 5}, {'J01': 16}, 
40.0, {'J01': np.float32(-0.9899762)}, {'J01': 5}, {'J01': 12}, 
45.0, {'J01': np.float32(1.1758914)}, {'J01': 4}, {'J01': 14}, 
50.0, {'J01': np.float32(-0.22747697)}, {'J01': 4}, {'J01': 19}, 
55.0, {'J01': np.float32(-1.2403893)}, {'J01': 7}, {'J01': 29}, 
60.0, {'J01': np.float32(0.37742332)}, {'J01': 8}, {'J01': 29}, 
65.0, {'J01': np.float32(-0.34756696)}, {'J01': 8}, {'J01': 31}, 
70.0, {'J01': np.float32(-0.80772424)}, {'J01': 8}, {'J01': 32}, 
75.0, {'J01': np.float32(0.1601186)}, {'J01': 8}, {'J01': 32}, 
80.0, {'J01': np.float32(-0.20735097)}, {'J01': 8}, {'J01': 33}, 
85.0, {'J01': np.float32(-0.006886679)}, {'J01': 7}, {'J01': 29}, 
90.0, {'J01': np.float32(-0.47501758)}, {'J01': 5}, {'J01': 23}, 
95.0, {'J01': np.float32(-1.0133053)}, {'J01': 4}, {'J01': 20}, 
100.0, {'J01': np.float32(2.0719445)}, {'J01': 3}, {'J01': 14}, 
105.0, {'J01': np.float32(1.0558788)}, {'J01': 3}, {'J01': 18}, 
110.0, {'J01': np.float32(-3.0)}, {'J01': 6}, {'J01': 30}, 
115.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 35}, 
120.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 35}, 
125.0, {'J01': np.float32(3.0)}, {'J01': 8}, {'J01': 34}, 
130.0, {'J01': np.float32(-0.4595282)}, {'J01': 8}, {'J01': 33}, 
135.0, {'J01': np.float32(-2.3919113)}, {'J01': 8}, {'J01': 35}, 
140.0, {'J01': np.float32(3.0)}, {'J01': 7}, {'J01': 28}, 
145.0, {'J01': np.float32(-1.2501258)}, {'J01': 7}, {'J01': 32}, 
150.0, {'J01': np.float32(-2.7864046)}, {'J01': 7}, {'J01': 35}, 
155.0, {'J01': np.float32(2.4161448)}, {'J01': 8}, {'J01': 38}, 
160.0, {'J01': np.float32(-1.3176272)}, {'J01': 8}, {'J01': 38}, 
165.0, {'J01': np.float32(-1.5361521)}, {'J01': 8}, {'J01': 44}, 
170.0, {'J01': np.float32(1.1739565)}, {'J01': 8}, {'J01': 47}, 
175.0, {'J01': np.float32(-0.88156307)}, {'J01': 8}, {'J01': 39}, 
180.0, {'J01': np.float32(0.7348122)}, {'J01': 8}, {'J01': 38}, 
185.0, {'J01': np.float32(-1.0678024)}, {'J01': 7}, {'J01': 31}, 
190.0, {'J01': np.float32(2.810185)}, {'J01': 7}, {'J01': 30}, 
195.0, {'J01': np.float32(-0.25378576)}, {'J01': 7}, {'J01': 35}, 
200.0, {'J01': np.float32(-0.14103922)}, {'J01': 8}, {'J01': 36}, 
205.0, {'J01': np.float32(-0.5281193)}, {'J01': 8}, {'J01': 36}, 
210.0, {'J01': np.float32(-2.5035636)}, {'J01': 8}, {'J01': 36}, 
215.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 34}, 
220.0, {'J01': np.float32(3.0)}, {'J01': 8}, {'J01': 33}, 
225.0, {'J01': np.float32(-0.8255728)}, {'J01': 8}, {'J01': 34}, 
230.0, {'J01': np.float32(-2.103025)}, {'J01': 8}, {'J01': 38}, 
235.0, {'J01': np.float32(-1.3210423)}, {'J01': 7}, {'J01': 33}, 
240.0, {'J01': np.float32(3.0)}, {'J01': 6}, {'J01': 26}, 
245.0, {'J01': np.float32(-0.2511244)}, {'J01': 6}, {'J01': 27}, 
250.0, {'J01': np.float32(-0.607121)}, {'J01': 7}, {'J01': 34}, 
255.0, {'J01': np.float32(-1.0227067)}, {'J01': 8}, {'J01': 36}, 
260.0, {'J01': np.float32(1.4477013)}, {'J01': 7}, {'J01': 35}, 
265.0, {'J01': np.float32(-0.700037)}, {'J01': 6}, {'J01': 25}, 
270.0, {'J01': np.float32(3.0)}, {'J01': 5}, {'J01': 22}, 
275.0, {'J01': np.float32(-0.31150675)}, {'J01': 5}, {'J01': 27}, 
280.0, {'J01': np.float32(-0.74776375)}, {'J01': 7}, {'J01': 30}, 
285.0, {'J01': np.float32(-1.1664563)}, {'J01': 7}, {'J01': 27}, 
290.0, {'J01': np.float32(3.0)}, {'J01': 6}, {'J01': 21}, 
295.0, {'J01': np.float32(-1.4546431)}, {'J01': 6}, {'J01': 28}, 
300.0, {'J01': np.float32(-0.59523)}, {'J01': 7}, {'J01': 30}, 
305.0, {'J01': np.float32(0.88844216)}, {'J01': 8}, {'J01': 32}, 
310.0, {'J01': np.float32(-2.3505046)}, {'J01': 7}, {'J01': 28}, 
315.0, {'J01': np.float32(3.0)}, {'J01': 6}, {'J01': 25}, 
320.0, {'J01': np.float32(-0.3519668)}, {'J01': 6}, {'J01': 30}, 
325.0, {'J01': np.float32(-1.8659295)}, {'J01': 6}, {'J01': 28}, 
330.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 28}, 
335.0, {'J01': np.float32(3.0)}, {'J01': 8}, {'J01': 31}, 
340.0, {'J01': np.float32(-0.9923834)}, {'J01': 8}, {'J01': 37}, 
345.0, {'J01': np.float32(-2.6950972)}, {'J01': 8}, {'J01': 35}, 
350.0, {'J01': np.float32(3.0)}, {'J01': 8}, {'J01': 33}, 
355.0, {'J01': np.float32(-1.7541119)}, {'J01': 8}, {'J01': 35}, 
360.0, {'J01': np.float32(-2.0169432)}, {'J01': 8}, {'J01': 39}, 
