episode,decision,signal_id,reward
1,50,J01,-0.83737
1,100,J01,3.0
1,150,J01,-1.5987
1,200,J01,-1.37518
1,250,J01,-0.75713
1,300,J01,3.0
1,350,J01,-3.0
1,400,J01,-3.0
1,450,J01,-3.0
1,500,J01,-0.32761
1,550,J01,-3.0
1,600,J01,-3.0
1,650,J01,-3.0
1,700,J01,-0.04009
1,750,J01,-2.1652
1,800,J01,0.25326
1,850,J01,0.32932
1,900,J01,0.00463
1,950,J01,-0.34228
1,1000,J01,0.74653
1,1050,J01,-0.27105
2,50,J01,-3.0
2,100,J01,-0.42274
2,150,J01,2.20125
2,200,J01,-0.9816
2,250,J01,-3.0
2,300,J01,2.4649
2,350,J01,3.0
2,400,J01,-3.0
2,450,J01,-3.0
2,500,J01,-1.78343
2,550,J01,-3.0
2,600,J01,-1.15105
2,650,J01,-1.01376
2,700,J01,-3.0
2,750,J01,3.0
2,800,J01,-0.26549
2,850,J01,-0.40426
2,900,J01,-0.28307
2,950,J01,-0.43108
2,1000,J01,0.06475
2,1050,J01,-0.40703
3,50,J01,-3.0
3,100,J01,-3.0
3,150,J01,3.0
3,200,J01,-0.36996
3,250,J01,-0.64032
3,300,J01,-3.0
3,350,J01,-1.73679
3,400,J01,3.0
3,450,J01,-3.0
3,500,J01,-1.78817
3,550,J01,-1.0894
3,600,J01,-2.07401
3,650,J01,1.30278
3,700,J01,3.0
3,750,J01,0.23652
3,800,J01,0.26272
3,850,J01,0.05643
3,900,J01,1.00185
3,950,J01,0.41721
3,1000,J01,-0.2692
3,1050,J01,0.40241
4,50,J01,-3.0
4,100,J01,-3.0
4,150,J01,-0.57886
4,200,J01,-3.0
4,250,J01,-0.54126
4,300,J01,-3.0
4,350,J01,-1.29722
4,400,J01,0.48848
4,450,J01,-2.39725
4,500,J01,3.0
4,550,J01,2.73218
4,600,J01,-1.75753
4,650,J01,3.0
4,700,J01,-0.02953
4,750,J01,1.12566
4,800,J01,0.76966
4,850,J01,-0.36355
4,900,J01,0.17669
4,950,J01,-0.35153
4,1000,J01,-0.35893
4,1050,J01,0.3913
5,50,J01,0.13179
5,100,J01,-2.82852
5,150,J01,3.0
5,200,J01,-0.7596
5,250,J01,-0.0233
5,300,J01,-3.0
5,350,J01,-1.6661
5,400,J01,3.0
5,450,J01,3.0
5,500,J01,-0.35459
5,550,J01,3.0
5,600,J01,-2.08518
5,650,J01,-0.86537
5,700,J01,-1.40409
5,750,J01,0.69953
5,800,J01,0.61702
5,850,J01,-0.57354
5,900,J01,-0.40981
5,950,J01,0.0444
5,1000,J01,0.037
5,1050,J01,0.17854
6,50,J01,0.49897
6,100,J01,-3.0
6,150,J01,-3.0
6,200,J01,-3.0
6,250,J01,3.0
6,300,J01,-3.0
6,350,J01,-0.6257
6,400,J01,-3.0
6,450,J01,-0.56106
6,500,J01,-2.00382
6,550,J01,-3.0
6,600,J01,-0.533
6,650,J01,-3.0
6,700,J01,-3.0
6,750,J01,0.80204
6,800,J01,-0.12118
6,850,J01,0.3913
6,900,J01,-0.51804
6,950,J01,-0.43094
6,1000,J01,0.13506
6,1050,J01,-0.23774
7,50,J01,0.93997
7,100,J01,-2.75934
7,150,J01,0.45254
7,200,J01,1.58084
7,250,J01,3.0
7,300,J01,0.96825
7,350,J01,-3.0
7,400,J01,-2.08894
7,450,J01,0.58629
7,500,J01,-3.0
7,550,J01,3.0
7,600,J01,-3.0
7,650,J01,-3.0
7,700,J01,-1.15433
7,750,J01,-0.75127
7,800,J01,-0.26457
7,850,J01,-0.08141
7,900,J01,-0.34135
7,950,J01,0.01665
7,1000,J01,0.52544
7,1050,J01,-0.26827
8,50,J01,-0.28563
8,100,J01,0.23145
8,150,J01,-3.0
8,200,J01,-1.71282
8,250,J01,-2.95706
8,300,J01,2.41163
8,350,J01,-2.67806
8,400,J01,-3.0
8,450,J01,2.83861
8,500,J01,-0.66635
8,550,J01,-1.37869
8,600,J01,-1.51167
8,650,J01,3.0
8,700,J01,-3.0
8,750,J01,-0.1428
8,800,J01,-0.30435
8,850,J01,-0.09528
8,900,J01,-0.23406
8,950,J01,-0.38483
8,1000,J01,0.19704
8,1050,J01,-0.45976
9,50,J01,-1.19844
9,100,J01,-3.0
9,150,J01,-3.0
9,200,J01,1.64829
9,250,J01,-3.0
9,300,J01,0.41603
9,350,J01,3.0
9,400,J01,0.13544
9,450,J01,-1.99053
9,500,J01,3.0
9,550,J01,-3.0
9,600,J01,-3.0
9,650,J01,0.35225
9,700,J01,-0.94648
9,750,J01,0.31068
9,800,J01,-0.0407
9,850,J01,0.26457
9,900,J01,-0.15171
9,950,J01,0.20999
9,1000,J01,-0.37558
9,1050,J01,-0.37188
10,50,J01,-2.22837
10,100,J01,-3.0
10,150,J01,3.0
10,200,J01,-0.26346
10,250,J01,-1.5947
10,300,J01,-1.7142
10,350,J01,-3.0
10,400,J01,1.34515
10,450,J01,3.0
10,500,J01,3.0
10,550,J01,-3.0
10,600,J01,3.0
10,650,J01,3.0
10,700,J01,-1.72359
10,750,J01,3.0
10,800,J01,-0.45143
10,850,J01,0.16836
10,900,J01,0.6087
10,950,J01,0.13506
10,1000,J01,0.16096
10,1050,J01,-0.22017
11,50,J01,-2.12612
11,100,J01,3.0
11,150,J01,3.0
11,200,J01,-3.0
11,250,J01,-1.36273
11,300,J01,1.11001
11,350,J01,-0.17405
11,400,J01,-3.0
11,450,J01,-3.0
11,500,J01,-3.0
11,550,J01,-3.0
11,600,J01,-2.09053
11,650,J01,-3.0
11,700,J01,-2.36946
11,750,J01,0.32654
11,800,J01,0.02313
11,850,J01,-0.31267
11,900,J01,0.24422
11,950,J01,0.58187
11,1000,J01,0.08141
11,1050,J01,-0.46994
12,50,J01,-0.74341
12,100,J01,1.76539
12,150,J01,0.79839
12,200,J01,-0.51649
12,250,J01,0.46758
12,300,J01,-0.64189
12,350,J01,-3.0
12,400,J01,-2.10684
12,450,J01,-3.0
12,500,J01,3.0
12,550,J01,-3.0
12,600,J01,3.0
12,650,J01,-3.0
12,700,J01,-3.0
12,750,J01,1.00136
12,800,J01,-0.46253
12,850,J01,0.94635
12,900,J01,-0.47734
12,950,J01,-0.36355
12,1000,J01,-0.36355
12,1050,J01,-0.25439
13,50,J01,-0.61759
13,100,J01,1.51718
13,150,J01,-0.0421
13,200,J01,-2.16356
13,250,J01,-1.8744
13,300,J01,0.03876
13,350,J01,-0.27313
13,400,J01,3.0
13,450,J01,-2.00247
13,500,J01,0.54354
13,550,J01,-3.0
13,600,J01,-0.38977
13,650,J01,-1.77189
13,700,J01,3.0
13,750,J01,-0.52675
13,800,J01,-0.21369
13,850,J01,-0.53654
13,900,J01,-0.44126
13,950,J01,0.08141
13,1000,J01,-0.3321
13,1050,J01,0.13969
14,50,J01,-0.25191
14,100,J01,-2.05775
14,150,J01,-2.32266
14,200,J01,-2.8222
14,250,J01,-3.0
14,300,J01,-2.4791
14,350,J01,-0.72688
14,400,J01,3.0
14,450,J01,3.0
14,500,J01,-1.04085
14,550,J01,2.71638
14,600,J01,-0.50614
14,650,J01,-3.0
14,700,J01,3.0
14,750,J01,0.0666
14,800,J01,-0.45883
14,850,J01,0.01665
14,900,J01,-0.43941
14,950,J01,0.78816
14,1000,J01,0.6901
14,1050,J01,-0.08973
15,50,J01,-0.26187
15,100,J01,-0.57653
15,150,J01,-2.53234
15,200,J01,0.71947
15,250,J01,-1.88674
15,300,J01,3.0
15,350,J01,-0.84079
15,400,J01,-3.0
15,450,J01,-3.0
15,500,J01,-2.66028
15,550,J01,-3.0
15,600,J01,-0.47859
15,650,J01,-2.16249
15,700,J01,-2.67542
15,750,J01,1.08662
15,800,J01,0.21554
15,850,J01,-0.05458
15,900,J01,-0.38483
15,950,J01,-0.39963
15,1000,J01,0.2766
15,1050,J01,-0.16744
16,50,J01,-0.60607
16,100,J01,-3.0
16,150,J01,-0.74135
16,200,J01,3.0
16,250,J01,1.38261
16,300,J01,-3.0
16,350,J01,1.27449
16,400,J01,1.1244
16,450,J01,0.5121
16,500,J01,-1.23494
16,550,J01,-3.0
16,600,J01,-1.39163
16,650,J01,3.0
16,700,J01,-0.95206
16,750,J01,0.31001
16,800,J01,0.23682
16,850,J01,-0.19889
16,900,J01,-0.07308
16,950,J01,0.2951
16,1000,J01,-0.02035
16,1050,J01,0.59112
17,50,J01,1.18713
17,100,J01,-2.84439
17,150,J01,-0.11734
17,200,J01,3.0
17,250,J01,-0.81932
17,300,J01,-1.26417
17,350,J01,2.07049
17,400,J01,-3.0
17,450,J01,-0.9106
17,500,J01,-2.99532
17,550,J01,-3.0
17,600,J01,1.17307
17,650,J01,0.71576
17,700,J01,-3.0
17,750,J01,-0.67433
17,800,J01,0.02498
17,850,J01,0.34598
17,900,J01,2.27197
17,950,J01,-0.07401
17,1000,J01,-0.41166
17,1050,J01,0.11933
18,50,J01,-1.07509
18,100,J01,-3.0
18,150,J01,-2.81799
18,200,J01,-1.37672
18,250,J01,-1.01043
18,300,J01,3.0
18,350,J01,1.35015
18,400,J01,-2.78534
18,450,J01,-3.0
18,500,J01,3.0
18,550,J01,-3.0
18,600,J01,-3.0
18,650,J01,-1.83219
18,700,J01,-1.30017
18,750,J01,1.13496
18,800,J01,-0.03053
18,850,J01,0.10546
18,900,J01,0.18224
18,950,J01,0.57262
18,1000,J01,0.43756
18,1050,J01,0.17114
19,50,J01,-3.0
19,100,J01,3.0
19,150,J01,-0.00903
19,200,J01,0.45161
19,250,J01,3.0
19,300,J01,-3.0
19,350,J01,-1.88896
