episode,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,3268964.5,5372098.0,44120.5,47741.0,21555.0,-0.76941,1.99505,-3.0,3.0,0.6185,0.0051,nan,-0.85437,nan,1080,42.8
2,3121889.0,6976595.5,33301.5,50162.0,23796.0,-0.6369,2.0246,-3.0,3.0,0.6886,0.0033,0.9644,0.83758,0.59755,1080,45.7
3,2741597.0,2855164.5,31777.5,41094.0,15143.0,-0.6932,1.90628,-3.0,3.0,0.5073,0.0056,0.9407,0.17958,0.651347,1080,44.0
4,2632204.0,4968576.5,30141.5,45671.0,19948.0,-0.61914,1.93116,-3.0,3.0,0.6511,0.0039,0.9169,0.26239,0.604445,1080,44.6
5,2751549.0,2822022.0,27459.0,41760.0,15910.0,-0.57218,1.92315,-3.0,3.0,0.5038,0.0049,0.8932,1.39555,0.5978,1080,44.9
6,2482980.5,3411004.0,26106.0,41925.0,16531.0,-0.55446,1.93882,-3.0,3.0,0.5762,0.0044,0.8694,1.4985,0.587703,1080,44.0
7,2584552.5,7213506.0,22241.5,49794.0,24053.0,-0.58001,1.96073,-3.0,3.0,0.7346,0.0023,0.8457,1.30753,0.568843,1080,46.1
8,2284816.0,982965.5,20881.0,34747.0,9199.0,-0.49197,1.84517,-3.0,3.0,0.2989,0.0063,0.8219,1.05658,0.529866,1080,41.4
9,2829494.0,7170793.5,24277.5,49403.0,23404.0,-0.54876,1.97717,-3.0,3.0,0.7153,0.0024,0.7982,1.0918,0.55457,1080,45.7
10,2490761.5,4036757.0,24278.5,42911.0,16898.0,-0.55414,1.88051,-3.0,3.0,0.6161,0.0037,0.7744,0.80795,0.515674,1080,41.8
11,2479751.0,2201414.0,16130.5,38932.0,12833.0,-0.45476,1.81294,-3.0,3.0,0.4687,0.0034,0.7507,0.40229,0.516453,1080,40.5
