5.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
10.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
15.0, {'J8': np.float32(-0.002232143)}, {'J8': 1}, {'J8': 1}, 
20.0, {'J8': np.float32(-0.046875)}, {'J8': 1}, {'J8': 1}, 
25.0, {'J8': np.float32(-0.09151786)}, {'J8': 1}, {'J8': 1}, 
30.0, {'J8': np.float32(-0.140625)}, {'J8': 1}, {'J8': 2}, 
35.0, {'J8': np.float32(-0.234375)}, {'J8': 2}, {'J8': 4}, 
40.0, {'J8': np.float32(-0.42857143)}, {'J8': 3}, {'J8': 6}, 
45.0, {'J8': np.float32(-0.72321427)}, {'J8': 4}, {'J8': 8}, 
50.0, {'J8': np.float32(-0.9464286)}, {'J8': 5}, {'J8': 8}, 
55.0, {'J8': np.float32(-1.1629465)}, {'J8': 6}, {'J8': 8}, 
60.0, {'J8': np.float32(-1.3102678)}, {'J8': 6}, {'J8': 12}, 
65.0, {'J8': np.float32(-1.6160715)}, {'J8': 5}, {'J8': 13}, 
70.0, {'J8': np.float32(-2.1964285)}, {'J8': 5}, {'J8': 13}, 
75.0, {'J8': np.float32(-2.7857144)}, {'J8': 6}, {'J8': 14}, 
80.0, {'J8': np.float32(-2.752232)}, {'J8': 5}, {'J8': 13}, 
85.0, {'J8': np.float32(-2.953125)}, {'J8': 5}, {'J8': 12}, 
90.0, {'J8': np.float32(-2.6830356)}, {'J8': 5}, {'J8': 9}, 
95.0, {'J8': np.float32(-2.6986606)}, {'J8': 5}, {'J8': 10}, 
100.0, {'J8': np.float32(-2.7566965)}, {'J8': 4}, {'J8': 11}, 
105.0, {'J8': np.float32(-3.174107)}, {'J8': 5}, {'J8': 11}, 
110.0, {'J8': np.float32(-3.5870535)}, {'J8': 6}, {'J8': 12}, 
115.0, {'J8': np.float32(-3.997768)}, {'J8': 7}, {'J8': 12}, 
120.0, {'J8': np.float32(-4.0)}, {'J8': 8}, {'J8': 14}, 
125.0, {'J8': np.float32(-4.0)}, {'J8': 8}, {'J8': 16}, 
130.0, {'J8': np.float32(-4.0)}, {'J8': 8}, {'J8': 17}, 
135.0, {'J8': np.float32(-4.0)}, {'J8': 8}, {'J8': 17}, 
140.0, {'J8': np.float32(-4.0)}, {'J8': 8}, {'J8': 17}, 
145.0, {'J8': np.float32(-4.0)}, {'J8': 8}, {'J8': 17}, 
150.0, {'J8': np.float32(-4.0)}, {'J8': 8}, {'J8': 17}, 
155.0, {'J8': np.float32(-4.0)}, {'J8': 8}, {'J8': 16}, 
