5.0, {'J8': 0}, {'J8': 0}, {'J8': 0}, 
10.0, {'J8': 0}, {'J8': 0}, {'J8': 0}, 
15.0, {'J8': 0}, {'J8': 0}, {'J8': 0}, 
20.0, {'J8': -5.0}, {'J8': 1}, {'J8': 1}, 
25.0, {'J8': -20.0}, {'J8': 1}, {'J8': 2}, 
30.0, {'J8': -41.0}, {'J8': 2}, {'J8': 3}, 
35.0, {'J8': -72.0}, {'J8': 3}, {'J8': 4}, 
40.0, {'J8': -116.0}, {'J8': 4}, {'J8': 5}, 
45.0, {'J8': -166.0}, {'J8': 4}, {'J8': 5}, 
50.0, {'J8': -216.0}, {'J8': 4}, {'J8': 5}, 
55.0, {'J8': -266.0}, {'J8': 4}, {'J8': 5}, 
60.0, {'J8': -322.5}, {'J8': 4}, {'J8': 7}, 
65.0, {'J8': -397.0}, {'J8': 4}, {'J8': 8}, 
70.0, {'J8': -477.0}, {'J8': 4}, {'J8': 8}, 
75.0, {'J8': -557.0}, {'J8': 4}, {'J8': 8}, 
80.0, {'J8': -637.0}, {'J8': 4}, {'J8': 8}, 
85.0, {'J8': -717.0}, {'J8': 4}, {'J8': 8}, 
90.0, {'J8': -797.0}, {'J8': 4}, {'J8': 8}, 
95.0, {'J8': -877.0}, {'J8': 4}, {'J8': 8}, 
100.0, {'J8': -957.0}, {'J8': 4}, {'J8': 8}, 
105.0, {'J8': -1041.5}, {'J8': 5}, {'J8': 9}, 
110.0, {'J8': -1131.5}, {'J8': 5}, {'J8': 9}, 
115.0, {'J8': -1221.5}, {'J8': 5}, {'J8': 9}, 
120.0, {'J8': -1311.5}, {'J8': 5}, {'J8': 9}, 
125.0, {'J8': -1401.5}, {'J8': 5}, {'J8': 9}, 
130.0, {'J8': -1491.5}, {'J8': 5}, {'J8': 9}, 
135.0, {'J8': -1581.5}, {'J8': 5}, {'J8': 9}, 
140.0, {'J8': -1671.5}, {'J8': 5}, {'J8': 9}, 
145.0, {'J8': -1761.5}, {'J8': 5}, {'J8': 9}, 
150.0, {'J8': -1851.5}, {'J8': 5}, {'J8': 9}, 
155.0, {'J8': -1941.5}, {'J8': 5}, {'J8': 9}, 
160.0, {'J8': -2031.5}, {'J8': 5}, {'J8': 9}, 
165.0, {'J8': -2121.5}, {'J8': 5}, {'J8': 9}, 
170.0, {'J8': -2211.5}, {'J8': 5}, {'J8': 9}, 
175.0, {'J8': -2301.5}, {'J8': 5}, {'J8': 9}, 
180.0, {'J8': -2391.5}, {'J8': 5}, {'J8': 9}, 
185.0, {'J8': -2481.5}, {'J8': 5}, {'J8': 9}, 
190.0, {'J8': -2571.5}, {'J8': 5}, {'J8': 9}, 
195.0, {'J8': -2661.5}, {'J8': 5}, {'J8': 9}, 
200.0, {'J8': -2751.5}, {'J8': 5}, {'J8': 9}, 
205.0, {'J8': -2841.5}, {'J8': 5}, {'J8': 9}, 
210.0, {'J8': -2931.5}, {'J8': 5}, {'J8': 9}, 
215.0, {'J8': -3021.5}, {'J8': 5}, {'J8': 9}, 
220.0, {'J8': -3111.5}, {'J8': 5}, {'J8': 9}, 
225.0, {'J8': -3201.5}, {'J8': 5}, {'J8': 9}, 
230.0, {'J8': -3291.5}, {'J8': 5}, {'J8': 9}, 
235.0, {'J8': -3381.5}, {'J8': 5}, {'J8': 9}, 
240.0, {'J8': -3471.5}, {'J8': 5}, {'J8': 9}, 
245.0, {'J8': -3561.5}, {'J8': 5}, {'J8': 9}, 
250.0, {'J8': -3651.5}, {'J8': 5}, {'J8': 9}, 
255.0, {'J8': -3741.5}, {'J8': 5}, {'J8': 9}, 
260.0, {'J8': -3831.5}, {'J8': 5}, {'J8': 9}, 
265.0, {'J8': -3921.5}, {'J8': 5}, {'J8': 9}, 
270.0, {'J8': -4011.5}, {'J8': 5}, {'J8': 9}, 
275.0, {'J8': -4101.5}, {'J8': 5}, {'J8': 9}, 
280.0, {'J8': -4191.5}, {'J8': 5}, {'J8': 9}, 
285.0, {'J8': -4281.5}, {'J8': 5}, {'J8': 9}, 
290.0, {'J8': -4371.5}, {'J8': 5}, {'J8': 9}, 
295.0, {'J8': -4461.5}, {'J8': 5}, {'J8': 9}, 
300.0, {'J8': -4551.5}, {'J8': 5}, {'J8': 9}, 
305.0, {'J8': -4641.5}, {'J8': 5}, {'J8': 9}, 
310.0, {'J8': -4731.5}, {'J8': 5}, {'J8': 9}, 
315.0, {'J8': -4821.5}, {'J8': 5}, {'J8': 9}, 
320.0, {'J8': -4911.5}, {'J8': 5}, {'J8': 9}, 
325.0, {'J8': -5001.5}, {'J8': 5}, {'J8': 9}, 
330.0, {'J8': -5091.5}, {'J8': 5}, {'J8': 9}, 
335.0, {'J8': -5181.5}, {'J8': 5}, {'J8': 9}, 
340.0, {'J8': -5271.5}, {'J8': 5}, {'J8': 9}, 
345.0, {'J8': -5361.5}, {'J8': 5}, {'J8': 9}, 
350.0, {'J8': -5451.5}, {'J8': 5}, {'J8': 9}, 
355.0, {'J8': -5541.5}, {'J8': 5}, {'J8': 9}, 
360.0, {'J8': -5631.5}, {'J8': 5}, {'J8': 9}, 
365.0, {'J8': -5721.5}, {'J8': 5}, {'J8': 9}, 
370.0, {'J8': -5811.5}, {'J8': 5}, {'J8': 9}, 
375.0, {'J8': -5901.5}, {'J8': 5}, {'J8': 9}, 
380.0, {'J8': -5991.5}, {'J8': 5}, {'J8': 9}, 
385.0, {'J8': -6081.5}, {'J8': 5}, {'J8': 9}, 
390.0, {'J8': -6171.5}, {'J8': 5}, {'J8': 9}, 
395.0, {'J8': -6261.5}, {'J8': 5}, {'J8': 9}, 
400.0, {'J8': -6351.5}, {'J8': 5}, {'J8': 9}, 
405.0, {'J8': -6441.5}, {'J8': 5}, {'J8': 9}, 
410.0, {'J8': -6531.5}, {'J8': 5}, {'J8': 9}, 
415.0, {'J8': -6621.5}, {'J8': 5}, {'J8': 9}, 
420.0, {'J8': -6711.5}, {'J8': 5}, {'J8': 9}, 
425.0, {'J8': -6801.5}, {'J8': 5}, {'J8': 9}, 
430.0, {'J8': -6891.5}, {'J8': 5}, {'J8': 9}, 
435.0, {'J8': -6981.5}, {'J8': 5}, {'J8': 9}, 
440.0, {'J8': -7071.5}, {'J8': 5}, {'J8': 9}, 
445.0, {'J8': -7161.5}, {'J8': 5}, {'J8': 9}, 
450.0, {'J8': -7251.5}, {'J8': 5}, {'J8': 9}, 
455.0, {'J8': -7341.5}, {'J8': 5}, {'J8': 9}, 
460.0, {'J8': -7431.5}, {'J8': 5}, {'J8': 9}, 
465.0, {'J8': -7521.5}, {'J8': 5}, {'J8': 9}, 
470.0, {'J8': -7611.5}, {'J8': 5}, {'J8': 9}, 
475.0, {'J8': -7701.5}, {'J8': 5}, {'J8': 9}, 
480.0, {'J8': -7791.5}, {'J8': 5}, {'J8': 9}, 
485.0, {'J8': -7881.5}, {'J8': 5}, {'J8': 9}, 
490.0, {'J8': -7971.5}, {'J8': 5}, {'J8': 9}, 
495.0, {'J8': -8061.5}, {'J8': 5}, {'J8': 9}, 
500.0, {'J8': -8151.5}, {'J8': 5}, {'J8': 9}, 
505.0, {'J8': -8241.5}, {'J8': 5}, {'J8': 9}, 
510.0, {'J8': -8331.5}, {'J8': 5}, {'J8': 9}, 
515.0, {'J8': -8421.5}, {'J8': 5}, {'J8': 9}, 
520.0, {'J8': -8511.5}, {'J8': 5}, {'J8': 9}, 
525.0, {'J8': -8601.5}, {'J8': 5}, {'J8': 9}, 
530.0, {'J8': -8691.5}, {'J8': 5}, {'J8': 9}, 
535.0, {'J8': -8781.5}, {'J8': 5}, {'J8': 9}, 
540.0, {'J8': -8871.5}, {'J8': 5}, {'J8': 9}, 
545.0, {'J8': -8961.5}, {'J8': 5}, {'J8': 9}, 
550.0, {'J8': -9051.5}, {'J8': 5}, {'J8': 9}, 
555.0, {'J8': -9141.5}, {'J8': 5}, {'J8': 9}, 
560.0, {'J8': -9231.5}, {'J8': 5}, {'J8': 9}, 
565.0, {'J8': -9321.5}, {'J8': 5}, {'J8': 9}, 
570.0, {'J8': -9411.5}, {'J8': 5}, {'J8': 9}, 
575.0, {'J8': -9501.5}, {'J8': 5}, {'J8': 9}, 
580.0, {'J8': -9591.5}, {'J8': 5}, {'J8': 9}, 
585.0, {'J8': -9681.5}, {'J8': 5}, {'J8': 9}, 
590.0, {'J8': -9771.5}, {'J8': 5}, {'J8': 9}, 
595.0, {'J8': -9861.5}, {'J8': 5}, {'J8': 9}, 
600.0, {'J8': -9951.5}, {'J8': 5}, {'J8': 9}, 
605.0, {'J8': -10041.5}, {'J8': 5}, {'J8': 9}, 
610.0, {'J8': -10131.5}, {'J8': 5}, {'J8': 9}, 
615.0, {'J8': -10221.5}, {'J8': 5}, {'J8': 9}, 
620.0, {'J8': -10311.5}, {'J8': 5}, {'J8': 9}, 
625.0, {'J8': -10401.5}, {'J8': 5}, {'J8': 9}, 
630.0, {'J8': -10491.5}, {'J8': 5}, {'J8': 9}, 
635.0, {'J8': -10581.5}, {'J8': 5}, {'J8': 9}, 
640.0, {'J8': -10671.5}, {'J8': 5}, {'J8': 9}, 
645.0, {'J8': -10761.5}, {'J8': 5}, {'J8': 9}, 
650.0, {'J8': -10851.5}, {'J8': 5}, {'J8': 9}, 
655.0, {'J8': -10941.5}, {'J8': 5}, {'J8': 9}, 
660.0, {'J8': -11031.5}, {'J8': 5}, {'J8': 9}, 
665.0, {'J8': -11121.5}, {'J8': 5}, {'J8': 9}, 
670.0, {'J8': -11211.5}, {'J8': 5}, {'J8': 9}, 
675.0, {'J8': -11301.5}, {'J8': 5}, {'J8': 9}, 
680.0, {'J8': -11391.5}, {'J8': 5}, {'J8': 9}, 
685.0, {'J8': -11481.5}, {'J8': 5}, {'J8': 9}, 
690.0, {'J8': -11571.5}, {'J8': 5}, {'J8': 9}, 
695.0, {'J8': -11661.5}, {'J8': 5}, {'J8': 9}, 
700.0, {'J8': -11751.5}, {'J8': 5}, {'J8': 9}, 
705.0, {'J8': -11841.5}, {'J8': 5}, {'J8': 9}, 
