5.0, {'J8': 0}, {'J8': 0}, {'J8': 0}, 
10.0, {'J8': 0}, {'J8': 0}, {'J8': 0}, 
15.0, {'J8': 0}, {'J8': 0}, {'J8': 0}, 
20.0, {'J8': -1}, {'J8': 1}, {'J8': 1}, 
25.0, {'J8': -1}, {'J8': 1}, {'J8': 1}, 
30.0, {'J8': -1}, {'J8': 1}, {'J8': 1}, 
35.0, {'J8': -2}, {'J8': 1}, {'J8': 2}, 
40.0, {'J8': -2}, {'J8': 1}, {'J8': 2}, 
45.0, {'J8': -2}, {'J8': 1}, {'J8': 2}, 
50.0, {'J8': -2}, {'J8': 1}, {'J8': 2}, 
55.0, {'J8': -2}, {'J8': 1}, {'J8': 2}, 
60.0, {'J8': -3}, {'J8': 3}, {'J8': 3}, 
65.0, {'J8': -5}, {'J8': 4}, {'J8': 5}, 
70.0, {'J8': -5}, {'J8': 4}, {'J8': 5}, 
75.0, {'J8': -4}, {'J8': 4}, {'J8': 4}, 
80.0, {'J8': -5}, {'J8': 4}, {'J8': 5}, 
85.0, {'J8': -5}, {'J8': 4}, {'J8': 5}, 
90.0, {'J8': -4}, {'J8': 4}, {'J8': 4}, 
95.0, {'J8': -5}, {'J8': 4}, {'J8': 5}, 
100.0, {'J8': -4}, {'J8': 4}, {'J8': 4}, 
105.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
110.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
115.0, {'J8': -5}, {'J8': 5}, {'J8': 5}, 
120.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
125.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
130.0, {'J8': -5}, {'J8': 5}, {'J8': 5}, 
135.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
140.0, {'J8': -8}, {'J8': 5}, {'J8': 8}, 
145.0, {'J8': -7}, {'J8': 5}, {'J8': 7}, 
150.0, {'J8': -7}, {'J8': 5}, {'J8': 7}, 
155.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
160.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
165.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
170.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
175.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
180.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
185.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
190.0, {'J8': -5}, {'J8': 5}, {'J8': 5}, 
195.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
200.0, {'J8': -5}, {'J8': 5}, {'J8': 5}, 
205.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
210.0, {'J8': -5}, {'J8': 5}, {'J8': 5}, 
215.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
220.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
225.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
230.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
235.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
240.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
245.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
250.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
255.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
260.0, {'J8': -5}, {'J8': 5}, {'J8': 5}, 
265.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
270.0, {'J8': -5}, {'J8': 5}, {'J8': 5}, 
275.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
280.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
285.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
290.0, {'J8': -7}, {'J8': 5}, {'J8': 7}, 
295.0, {'J8': -8}, {'J8': 5}, {'J8': 8}, 
300.0, {'J8': -8}, {'J8': 5}, {'J8': 8}, 
305.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
310.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
315.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
320.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
325.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
330.0, {'J8': -5}, {'J8': 5}, {'J8': 5}, 
335.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
340.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
345.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
350.0, {'J8': -5}, {'J8': 5}, {'J8': 5}, 
355.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
360.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
365.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
370.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
375.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
380.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
385.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
390.0, {'J8': -5}, {'J8': 5}, {'J8': 5}, 
395.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
400.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
405.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
410.0, {'J8': -5}, {'J8': 5}, {'J8': 5}, 
415.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
420.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
425.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
430.0, {'J8': -8}, {'J8': 5}, {'J8': 8}, 
435.0, {'J8': -9}, {'J8': 5}, {'J8': 9}, 
440.0, {'J8': -7}, {'J8': 5}, {'J8': 7}, 
445.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
450.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
455.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
460.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
465.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
470.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
475.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
480.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
485.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
490.0, {'J8': -5}, {'J8': 5}, {'J8': 5}, 
495.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
500.0, {'J8': -5}, {'J8': 5}, {'J8': 5}, 
505.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
510.0, {'J8': -8}, {'J8': 5}, {'J8': 8}, 
515.0, {'J8': -9}, {'J8': 5}, {'J8': 9}, 
520.0, {'J8': -9}, {'J8': 5}, {'J8': 9}, 
525.0, {'J8': -7}, {'J8': 5}, {'J8': 7}, 
530.0, {'J8': -7}, {'J8': 5}, {'J8': 7}, 
535.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
540.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
545.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
550.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
555.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
560.0, {'J8': -5}, {'J8': 5}, {'J8': 5}, 
565.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
570.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
575.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
580.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
585.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
590.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
595.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
600.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
605.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
610.0, {'J8': -5}, {'J8': 5}, {'J8': 5}, 
615.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
620.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
625.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
630.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
635.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
640.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
645.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
650.0, {'J8': -9}, {'J8': 5}, {'J8': 9}, 
655.0, {'J8': -9}, {'J8': 5}, {'J8': 9}, 
660.0, {'J8': -10}, {'J8': 5}, {'J8': 10}, 
665.0, {'J8': -8}, {'J8': 5}, {'J8': 8}, 
670.0, {'J8': -7}, {'J8': 5}, {'J8': 7}, 
675.0, {'J8': -7}, {'J8': 5}, {'J8': 7}, 
680.0, {'J8': -5}, {'J8': 5}, {'J8': 5}, 
685.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
690.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
695.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
700.0, {'J8': -5}, {'J8': 5}, {'J8': 5}, 
705.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
710.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
715.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
720.0, {'J8': -5}, {'J8': 5}, {'J8': 5}, 
725.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
730.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
735.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
740.0, {'J8': -5}, {'J8': 5}, {'J8': 5}, 
745.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
750.0, {'J8': -5}, {'J8': 5}, {'J8': 5}, 
755.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
760.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
765.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
