episode,agent,decision,signal_id,reward
1,MAXWAVE,50,J01,-3305.0
1,MAXWAVE,100,J01,-9020.5
1,MAXWAVE,150,J01,-12597.0
1,MAXWAVE,200,J01,-13712.0
1,MAXWAVE,250,J01,-13096.0
1,MAXWAVE,300,J01,-21907.5
1,MAXWAVE,350,J01,-27853.0
1,MAXWAVE,400,J01,-11170.5
1,MAXWAVE,450,J01,-15703.5
1,MAXWAVE,500,J01,-34668.0
1,MAXWAVE,550,J01,-56493.0
1,MAXWAVE,600,J01,-87340.0
1,MAXWAVE,650,J01,-127858.0
1,MAXWAVE,700,J01,-173504.0
1,MAXWAVE,750,J01,-207309.5
1,MAXWAVE,800,J01,-248511.0
1,MAXWAVE,850,J01,-271535.0
1,MAXWAVE,900,J01,-313662.0
1,MAXWAVE,950,J01,-355398.0
1,MAXWAVE,1000,J01,-383936.5
1,MAXWAVE,1050,J01,-267112.0
2,MAXWAVE,50,J01,-4762.5
2,MAXWAVE,100,J01,-8530.5
2,MAXWAVE,150,J01,-5637.5
2,MAXWAVE,200,J01,-8050.0
2,MAXWAVE,250,J01,-13252.0
2,MAXWAVE,300,J01,-19177.5
2,MAXWAVE,350,J01,-15028.5
2,MAXWAVE,400,J01,-12173.0
2,MAXWAVE,450,J01,-19270.0
2,MAXWAVE,500,J01,-13814.5
2,MAXWAVE,550,J01,-47041.0
2,MAXWAVE,600,J01,-71013.0
2,MAXWAVE,650,J01,-113867.0
2,MAXWAVE,700,J01,-160359.0
2,MAXWAVE,750,J01,-188822.5
2,MAXWAVE,800,J01,-228678.5
2,MAXWAVE,850,J01,-258541.0
2,MAXWAVE,900,J01,-307511.5
2,MAXWAVE,950,J01,-334316.5
2,MAXWAVE,1000,J01,-299661.0
2,MAXWAVE,1050,J01,-127635.5
3,MAXWAVE,50,J01,-4812.0
3,MAXWAVE,100,J01,-9112.0
3,MAXWAVE,150,J01,-14211.5
3,MAXWAVE,200,J01,-20103.5
3,MAXWAVE,250,J01,-24606.0
3,MAXWAVE,300,J01,-32130.0
3,MAXWAVE,350,J01,-35194.0
3,MAXWAVE,400,J01,-24072.5
3,MAXWAVE,450,J01,-17481.0
3,MAXWAVE,500,J01,-12514.0
3,MAXWAVE,550,J01,-17203.5
3,MAXWAVE,600,J01,-13016.5
3,MAXWAVE,650,J01,-25766.5
3,MAXWAVE,700,J01,-59275.0
3,MAXWAVE,750,J01,-73629.0
3,MAXWAVE,800,J01,-79495.5
3,MAXWAVE,850,J01,-22581.0
3,MAXWAVE,900,J01,-6886.0
3,MAXWAVE,950,J01,-10551.0
3,MAXWAVE,1000,J01,-14349.5
3,MAXWAVE,1050,J01,-18271.0
4,MAXWAVE,50,J01,-4530.5
4,MAXWAVE,100,J01,-9164.0
4,MAXWAVE,150,J01,-15005.5
4,MAXWAVE,200,J01,-15715.5
4,MAXWAVE,250,J01,-18888.5
4,MAXWAVE,300,J01,-25855.5
4,MAXWAVE,350,J01,-31124.0
4,MAXWAVE,400,J01,-23848.5
4,MAXWAVE,450,J01,-28623.0
4,MAXWAVE,500,J01,-11545.5
4,MAXWAVE,550,J01,-35830.0
4,MAXWAVE,600,J01,-60004.0
4,MAXWAVE,650,J01,-88630.0
4,MAXWAVE,700,J01,-131557.0
4,MAXWAVE,750,J01,-175852.5
4,MAXWAVE,800,J01,-211312.5
4,MAXWAVE,850,J01,-236258.5
4,MAXWAVE,900,J01,-275034.0
4,MAXWAVE,950,J01,-165054.0
4,MAXWAVE,1000,J01,-90259.5
4,MAXWAVE,1050,J01,-43753.0
5,MAXWAVE,50,J01,-5250.0
5,MAXWAVE,100,J01,-7863.5
5,MAXWAVE,150,J01,-9172.5
5,MAXWAVE,200,J01,-16670.0
5,MAXWAVE,250,J01,-19935.0
5,MAXWAVE,300,J01,-17179.5
5,MAXWAVE,350,J01,-14151.0
5,MAXWAVE,400,J01,-18548.5
5,MAXWAVE,450,J01,-15529.0
5,MAXWAVE,500,J01,-14623.0
5,MAXWAVE,550,J01,-16946.5
5,MAXWAVE,600,J01,-23982.5
5,MAXWAVE,650,J01,-31159.0
5,MAXWAVE,700,J01,-54923.0
5,MAXWAVE,750,J01,-53662.0
5,MAXWAVE,800,J01,-35006.0
5,MAXWAVE,850,J01,-2247.0
5,MAXWAVE,900,J01,-7913.5
5,MAXWAVE,950,J01,-13646.0
5,MAXWAVE,1000,J01,-13804.5
5,MAXWAVE,1050,J01,-20253.5
6,MAXWAVE,50,J01,-5653.5
6,MAXWAVE,100,J01,-21136.0
6,MAXWAVE,150,J01,-46081.5
6,MAXWAVE,200,J01,-75569.5
6,MAXWAVE,250,J01,-115995.5
6,MAXWAVE,300,J01,-147356.5
6,MAXWAVE,350,J01,-181338.0
6,MAXWAVE,400,J01,-208163.0
6,MAXWAVE,450,J01,-244785.5
6,MAXWAVE,500,J01,-288942.0
6,MAXWAVE,550,J01,-327407.5
6,MAXWAVE,600,J01,-362828.5
6,MAXWAVE,650,J01,-413142.0
6,MAXWAVE,700,J01,-439484.5
6,MAXWAVE,750,J01,-474497.5
6,MAXWAVE,800,J01,-532818.5
6,MAXWAVE,850,J01,-553368.5
6,MAXWAVE,900,J01,-575628.0
6,MAXWAVE,950,J01,-603763.0
6,MAXWAVE,1000,J01,-641650.5
6,MAXWAVE,1050,J01,-681770.5
7,MAXWAVE,50,J01,-4472.5
7,MAXWAVE,100,J01,-8525.5
7,MAXWAVE,150,J01,-13888.5
