5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -7.5}, {'J01': 1}, {'J01': 3}, 
20.0, {'J01': -40.5}, {'J01': 2}, {'J01': 4}, 
25.0, {'J01': -83.5}, {'J01': 3}, {'J01': 6}, 
30.0, {'J01': -144.0}, {'J01': 4}, {'J01': 7}, 
35.0, {'J01': -219.0}, {'J01': 4}, {'J01': 8}, 
40.0, {'J01': -299.5}, {'J01': 4}, {'J01': 9}, 
45.0, {'J01': -394.5}, {'J01': 4}, {'J01': 10}, 
50.0, {'J01': -502.0}, {'J01': 4}, {'J01': 13}, 
55.0, {'J01': -601.0}, {'J01': 4}, {'J01': 14}, 
60.0, {'J01': -749.5}, {'J01': 4}, {'J01': 19}, 
65.0, {'J01': -877.5}, {'J01': 4}, {'J01': 16}, 
70.0, {'J01': -1042.0}, {'J01': 4}, {'J01': 18}, 
75.0, {'J01': -855.0}, {'J01': 3}, {'J01': 15}, 
80.0, {'J01': -1015.0}, {'J01': 3}, {'J01': 21}, 
85.0, {'J01': -1242.0}, {'J01': 4}, {'J01': 27}, 
90.0, {'J01': -1397.0}, {'J01': 5}, {'J01': 28}, 
95.0, {'J01': -1618.0}, {'J01': 4}, {'J01': 27}, 
100.0, {'J01': -1739.0}, {'J01': 4}, {'J01': 21}, 
105.0, {'J01': -1918.5}, {'J01': 4}, {'J01': 20}, 
110.0, {'J01': -2118.5}, {'J01': 4}, {'J01': 20}, 
115.0, {'J01': -2323.0}, {'J01': 4}, {'J01': 22}, 
120.0, {'J01': -2546.0}, {'J01': 4}, {'J01': 23}, 
125.0, {'J01': -2776.0}, {'J01': 4}, {'J01': 23}, 
130.0, {'J01': -2524.5}, {'J01': 3}, {'J01': 20}, 
135.0, {'J01': -2499.5}, {'J01': 5}, {'J01': 24}, 
140.0, {'J01': -2733.5}, {'J01': 5}, {'J01': 30}, 
145.0, {'J01': -2944.5}, {'J01': 5}, {'J01': 30}, 
150.0, {'J01': -3131.5}, {'J01': 5}, {'J01': 25}, 
155.0, {'J01': -2596.5}, {'J01': 3}, {'J01': 22}, 
160.0, {'J01': -2354.0}, {'J01': 4}, {'J01': 24}, 
165.0, {'J01': -2631.5}, {'J01': 7}, {'J01': 36}, 
170.0, {'J01': -2888.5}, {'J01': 6}, {'J01': 34}, 
175.0, {'J01': -3041.5}, {'J01': 5}, {'J01': 28}, 
180.0, {'J01': -3159.5}, {'J01': 5}, {'J01': 24}, 
185.0, {'J01': -3318.5}, {'J01': 5}, {'J01': 23}, 
190.0, {'J01': -3548.5}, {'J01': 5}, {'J01': 23}, 
195.0, {'J01': -3465.0}, {'J01': 7}, {'J01': 25}, 
200.0, {'J01': -3731.0}, {'J01': 7}, {'J01': 31}, 
205.0, {'J01': -4064.0}, {'J01': 7}, {'J01': 40}, 
210.0, {'J01': -4481.0}, {'J01': 7}, {'J01': 44}, 
215.0, {'J01': -4727.0}, {'J01': 7}, {'J01': 39}, 
220.0, {'J01': -4778.0}, {'J01': 7}, {'J01': 31}, 
225.0, {'J01': -4895.5}, {'J01': 7}, {'J01': 26}, 
230.0, {'J01': -5105.0}, {'J01': 7}, {'J01': 25}, 
235.0, {'J01': -5355.0}, {'J01': 7}, {'J01': 25}, 
240.0, {'J01': -5605.0}, {'J01': 7}, {'J01': 25}, 
245.0, {'J01': -5856.0}, {'J01': 7}, {'J01': 26}, 
250.0, {'J01': -6116.0}, {'J01': 7}, {'J01': 26}, 
255.0, {'J01': -5420.0}, {'J01': 7}, {'J01': 22}, 
260.0, {'J01': -5453.0}, {'J01': 7}, {'J01': 24}, 
265.0, {'J01': -5707.0}, {'J01': 7}, {'J01': 29}, 
