5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -10.0}, {'J01': 1}, {'J01': 5}, 
20.0, {'J01': -67.5}, {'J01': 3}, {'J01': 9}, 
25.0, {'J01': -117.5}, {'J01': 3}, {'J01': 9}, 
30.0, {'J01': -145.0}, {'J01': 4}, {'J01': 8}, 
35.0, {'J01': -126.5}, {'J01': 4}, {'J01': 8}, 
40.0, {'J01': -215.0}, {'J01': 4}, {'J01': 12}, 
45.0, {'J01': -197.5}, {'J01': 3}, {'J01': 12}, 
50.0, {'J01': -257.5}, {'J01': 5}, {'J01': 20}, 
55.0, {'J01': -423.0}, {'J01': 7}, {'J01': 25}, 
60.0, {'J01': -678.5}, {'J01': 8}, {'J01': 33}, 
65.0, {'J01': -762.0}, {'J01': 7}, {'J01': 30}, 
70.0, {'J01': -465.5}, {'J01': 4}, {'J01': 19}, 
75.0, {'J01': -498.5}, {'J01': 4}, {'J01': 18}, 
80.0, {'J01': -692.0}, {'J01': 4}, {'J01': 25}, 
85.0, {'J01': -820.0}, {'J01': 7}, {'J01': 27}, 
90.0, {'J01': -889.0}, {'J01': 8}, {'J01': 26}, 
95.0, {'J01': -1106.5}, {'J01': 8}, {'J01': 29}, 
100.0, {'J01': -1408.5}, {'J01': 8}, {'J01': 34}, 
105.0, {'J01': -1269.0}, {'J01': 7}, {'J01': 29}, 
110.0, {'J01': -828.0}, {'J01': 5}, {'J01': 21}, 
115.0, {'J01': -746.5}, {'J01': 4}, {'J01': 20}, 
120.0, {'J01': -902.0}, {'J01': 4}, {'J01': 23}, 
125.0, {'J01': -1086.0}, {'J01': 6}, {'J01': 28}, 
130.0, {'J01': -1262.0}, {'J01': 8}, {'J01': 31}, 
135.0, {'J01': -1516.5}, {'J01': 8}, {'J01': 33}, 
140.0, {'J01': -1867.0}, {'J01': 8}, {'J01': 39}, 
145.0, {'J01': -1816.5}, {'J01': 7}, {'J01': 36}, 
150.0, {'J01': -1199.5}, {'J01': 5}, {'J01': 25}, 
155.0, {'J01': -1197.5}, {'J01': 4}, {'J01': 24}, 
160.0, {'J01': -1447.0}, {'J01': 4}, {'J01': 29}, 
165.0, {'J01': -1118.5}, {'J01': 6}, {'J01': 29}, 
170.0, {'J01': -1111.5}, {'J01': 8}, {'J01': 30}, 
175.0, {'J01': -1424.0}, {'J01': 8}, {'J01': 35}, 
180.0, {'J01': -1782.0}, {'J01': 8}, {'J01': 38}, 
185.0, {'J01': -1803.0}, {'J01': 7}, {'J01': 36}, 
190.0, {'J01': -2169.5}, {'J01': 7}, {'J01': 38}, 
195.0, {'J01': -2514.5}, {'J01': 7}, {'J01': 42}, 
200.0, {'J01': -2853.5}, {'J01': 8}, {'J01': 44}, 
205.0, {'J01': -2864.0}, {'J01': 8}, {'J01': 40}, 
210.0, {'J01': -3022.0}, {'J01': 8}, {'J01': 36}, 
215.0, {'J01': -3321.0}, {'J01': 9}, {'J01': 38}, 
220.0, {'J01': -3708.5}, {'J01': 9}, {'J01': 41}, 
225.0, {'J01': -3039.5}, {'J01': 7}, {'J01': 37}, 
230.0, {'J01': -2472.5}, {'J01': 6}, {'J01': 31}, 
235.0, {'J01': -2783.5}, {'J01': 6}, {'J01': 32}, 
240.0, {'J01': -3116.0}, {'J01': 6}, {'J01': 38}, 
245.0, {'J01': -3326.0}, {'J01': 7}, {'J01': 39}, 
250.0, {'J01': -3548.5}, {'J01': 8}, {'J01': 38}, 
255.0, {'J01': -3872.0}, {'J01': 8}, {'J01': 41}, 
260.0, {'J01': -4288.0}, {'J01': 8}, {'J01': 43}, 
265.0, {'J01': -2894.0}, {'J01': 7}, {'J01': 35}, 
270.0, {'J01': -1397.0}, {'J01': 4}, {'J01': 21}, 
275.0, {'J01': -1203.5}, {'J01': 4}, {'J01': 20}, 
280.0, {'J01': -1416.0}, {'J01': 4}, {'J01': 26}, 
285.0, {'J01': -1555.5}, {'J01': 7}, {'J01': 29}, 
290.0, {'J01': -1737.0}, {'J01': 8}, {'J01': 33}, 
295.0, {'J01': -1969.5}, {'J01': 9}, {'J01': 35}, 
300.0, {'J01': -2329.0}, {'J01': 9}, {'J01': 39}, 
305.0, {'J01': -1690.0}, {'J01': 7}, {'J01': 32}, 
310.0, {'J01': -1016.5}, {'J01': 5}, {'J01': 22}, 
315.0, {'J01': -914.5}, {'J01': 4}, {'J01': 20}, 
320.0, {'J01': -1126.0}, {'J01': 4}, {'J01': 26}, 
