5.0, {'J01': -0.0, 'top_mgr': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -2.0, 'top_mgr': 0}, {'J01': 1}, {'J01': 1}, 
15.0, {'J01': -10.2, 'top_mgr': 2}, {'J01': 3}, {'J01': 4}, 
20.0, {'J01': -27.0, 'top_mgr': 0}, {'J01': 4}, {'J01': 9}, 
25.0, {'J01': -45.0, 'top_mgr': 1}, {'J01': 4}, {'J01': 11}, 
30.0, {'J01': -57.400000000000006, 'top_mgr': 4}, {'J01': 4}, {'J01': 10}, 
35.0, {'J01': -70.8, 'top_mgr': 4}, {'J01': 4}, {'J01': 9}, 
40.0, {'J01': -101.8, 'top_mgr': 1}, {'J01': 4}, {'J01': 15}, 
45.0, {'J01': -99.00000000000001, 'top_mgr': 5}, {'J01': 4}, {'J01': 13}, 
50.0, {'J01': -108.6, 'top_mgr': 6}, {'J01': 4}, {'J01': 13}, 
55.0, {'J01': -93.39999999999999, 'top_mgr': 5}, {'J01': 4}, {'J01': 19}, 
60.0, {'J01': -131.99999999999997, 'top_mgr': 2}, {'J01': 7}, {'J01': 26}, 
65.0, {'J01': -164.20000000000002, 'top_mgr': 5}, {'J01': 8}, {'J01': 27}, 
70.0, {'J01': -157.4, 'top_mgr': 4}, {'J01': 8}, {'J01': 26}, 
75.0, {'J01': -160.60000000000002, 'top_mgr': 3}, {'J01': 8}, {'J01': 29}, 
80.0, {'J01': -130.4, 'top_mgr': 7}, {'J01': 7}, {'J01': 26}, 
85.0, {'J01': -173.4, 'top_mgr': 1}, {'J01': 7}, {'J01': 29}, 
90.0, {'J01': -193.20000000000002, 'top_mgr': 5}, {'J01': 6}, {'J01': 24}, 
95.0, {'J01': -150.80000000000004, 'top_mgr': 15}, {'J01': 4}, {'J01': 17}, 
100.0, {'J01': -178.60000000000002, 'top_mgr': 3}, {'J01': 4}, {'J01': 18}, 
105.0, {'J01': -206.8, 'top_mgr': 4}, {'J01': 4}, {'J01': 18}, 
110.0, {'J01': -234.60000000000002, 'top_mgr': 10}, {'J01': 4}, {'J01': 14}, 
115.0, {'J01': -189.20000000000002, 'top_mgr': 9}, {'J01': 4}, {'J01': 14}, 
120.0, {'J01': -224.60000000000002, 'top_mgr': 7}, {'J01': 4}, {'J01': 16}, 
125.0, {'J01': -260.6, 'top_mgr': 8}, {'J01': 4}, {'J01': 16}, 
130.0, {'J01': -296.59999999999997, 'top_mgr': 7}, {'J01': 4}, {'J01': 16}, 
135.0, {'J01': -295.4, 'top_mgr': 4}, {'J01': 4}, {'J01': 16}, 
140.0, {'J01': -264.4, 'top_mgr': 3}, {'J01': 4}, {'J01': 23}, 
145.0, {'J01': -200.39999999999998, 'top_mgr': 5}, {'J01': 7}, {'J01': 28}, 
150.0, {'J01': -230.0, 'top_mgr': 3}, {'J01': 8}, {'J01': 33}, 
155.0, {'J01': -274.0, 'top_mgr': 0}, {'J01': 8}, {'J01': 37}, 
160.0, {'J01': -319.19999999999993, 'top_mgr': 0}, {'J01': 8}, {'J01': 41}, 
165.0, {'J01': -364.19999999999993, 'top_mgr': 0}, {'J01': 8}, {'J01': 42}, 
170.0, {'J01': -369.19999999999993, 'top_mgr': 7}, {'J01': 7}, {'J01': 37}, 
175.0, {'J01': -323.40000000000003, 'top_mgr': 14}, {'J01': 5}, {'J01': 26}, 
180.0, {'J01': -330.6000000000001, 'top_mgr': 14}, {'J01': 4}, {'J01': 19}, 
185.0, {'J01': -298.00000000000006, 'top_mgr': 5}, {'J01': 4}, {'J01': 16}, 
190.0, {'J01': -322.00000000000006, 'top_mgr': 6}, {'J01': 4}, {'J01': 16}, 
195.0, {'J01': -329.00000000000006, 'top_mgr': 4}, {'J01': 4}, {'J01': 18}, 
200.0, {'J01': -364.0000000000001, 'top_mgr': 1}, {'J01': 5}, {'J01': 25}, 
205.0, {'J01': -389.8, 'top_mgr': 2}, {'J01': 5}, {'J01': 25}, 
210.0, {'J01': -394.19999999999993, 'top_mgr': 5}, {'J01': 6}, {'J01': 28}, 
215.0, {'J01': -414.99999999999994, 'top_mgr': 3}, {'J01': 8}, {'J01': 33}, 
220.0, {'J01': -328.0, 'top_mgr': 4}, {'J01': 8}, {'J01': 30}, 
225.0, {'J01': -348.8, 'top_mgr': 2}, {'J01': 8}, {'J01': 29}, 
230.0, {'J01': -351.80000000000007, 'top_mgr': 3}, {'J01': 8}, {'J01': 31}, 
235.0, {'J01': -391.20000000000005, 'top_mgr': 1}, {'J01': 8}, {'J01': 36}, 
240.0, {'J01': -391.40000000000003, 'top_mgr': 9}, {'J01': 6}, {'J01': 28}, 
245.0, {'J01': -385.6, 'top_mgr': 12}, {'J01': 4}, {'J01': 21}, 
250.0, {'J01': -385.19999999999993, 'top_mgr': 5}, {'J01': 4}, {'J01': 20}, 
255.0, {'J01': -411.59999999999997, 'top_mgr': 3}, {'J01': 4}, {'J01': 23}, 
260.0, {'J01': -452.4, 'top_mgr': 0}, {'J01': 7}, {'J01': 31}, 
265.0, {'J01': -495.0, 'top_mgr': 0}, {'J01': 8}, {'J01': 36}, 
270.0, {'J01': -500.6, 'top_mgr': 8}, {'J01': 7}, {'J01': 30}, 
275.0, {'J01': -428.8, 'top_mgr': 9}, {'J01': 4}, {'J01': 23}, 
280.0, {'J01': -450.79999999999995, 'top_mgr': 6}, {'J01': 4}, {'J01': 23}, 
285.0, {'J01': -422.40000000000003, 'top_mgr': 3}, {'J01': 4}, {'J01': 23}, 
