episode,agent,decision,signal_id,reward
1,FMA2CFull,50,J01,-367.2
1,FMA2CFull,50,top_mgr,10.0
1,FMA2CFull,100,J01,-666.8
1,FMA2CFull,100,top_mgr,2.0
1,FMA2CFull,150,J01,-438.4
1,FMA2CFull,150,top_mgr,2.0
1,FMA2CFull,200,J01,-1073.4
1,FMA2CFull,200,top_mgr,1.0
1,FMA2CFull,250,J01,-980.0
1,FMA2CFull,250,top_mgr,4.0
1,FMA2CFull,300,J01,-586.8
1,FMA2CFull,300,top_mgr,2.0
1,FMA2CFull,350,J01,-474.0
1,FMA2CFull,350,top_mgr,4.0
1,FMA2CFull,400,J01,-417.8
1,FMA2CFull,400,top_mgr,2.0
1,FMA2CFull,450,J01,-337.6
1,FMA2CFull,450,top_mgr,14.0
1,FMA2CFull,500,J01,-188.4
1,FMA2CFull,500,top_mgr,5.0
1,FMA2CFull,550,J01,-564.0
1,FMA2CFull,550,top_mgr,1.0
1,FMA2CFull,600,J01,-753.8
1,FMA2CFull,600,top_mgr,3.0
1,FMA2CFull,650,J01,-385.2
1,FMA2CFull,650,top_mgr,13.0
1,FMA2CFull,700,J01,-875.4
1,FMA2CFull,700,top_mgr,5.0
1,FMA2CFull,750,J01,-410.2
1,FMA2CFull,750,top_mgr,0.0
1,FMA2CFull,800,J01,-549.4
1,FMA2CFull,800,top_mgr,2.0
1,FMA2CFull,850,J01,-87.0
1,FMA2CFull,850,top_mgr,8.0
1,FMA2CFull,900,J01,-307.6
1,FMA2CFull,900,top_mgr,5.0
1,FMA2CFull,950,J01,-182.6
1,FMA2CFull,950,top_mgr,4.0
1,FMA2CFull,1000,J01,-82.0
1,FMA2CFull,1000,top_mgr,1.0
1,FMA2CFull,1050,J01,-106.2
1,FMA2CFull,1050,top_mgr,4.0
2,FMA2CFull,50,J01,-713.6
2,FMA2CFull,50,top_mgr,4.0
2,FMA2CFull,100,J01,-861.4
2,FMA2CFull,100,top_mgr,5.0
2,FMA2CFull,150,J01,-452.6
2,FMA2CFull,150,top_mgr,5.0
2,FMA2CFull,200,J01,-435.0
2,FMA2CFull,200,top_mgr,7.0
2,FMA2CFull,250,J01,-461.0
2,FMA2CFull,250,top_mgr,8.0
2,FMA2CFull,300,J01,-498.2
2,FMA2CFull,300,top_mgr,2.0
2,FMA2CFull,350,J01,-384.8
2,FMA2CFull,350,top_mgr,6.0
2,FMA2CFull,400,J01,-619.0
2,FMA2CFull,400,top_mgr,0.0
2,FMA2CFull,450,J01,-1059.6
2,FMA2CFull,450,top_mgr,1.0
2,FMA2CFull,500,J01,-464.2
2,FMA2CFull,500,top_mgr,4.0
2,FMA2CFull,550,J01,-401.2
2,FMA2CFull,550,top_mgr,9.0
2,FMA2CFull,600,J01,-514.8
2,FMA2CFull,600,top_mgr,4.0
2,FMA2CFull,650,J01,-839.4
2,FMA2CFull,650,top_mgr,6.0
2,FMA2CFull,700,J01,-525.2
2,FMA2CFull,700,top_mgr,3.0
2,FMA2CFull,750,J01,-275.0
2,FMA2CFull,750,top_mgr,4.0
2,FMA2CFull,800,J01,-653.0
2,FMA2CFull,800,top_mgr,2.0
2,FMA2CFull,850,J01,-171.8
2,FMA2CFull,850,top_mgr,3.0
2,FMA2CFull,900,J01,-285.4
2,FMA2CFull,900,top_mgr,4.0
2,FMA2CFull,950,J01,-549.6
2,FMA2CFull,950,top_mgr,0.0
2,FMA2CFull,1000,J01,-76.8
2,FMA2CFull,1000,top_mgr,0.0
2,FMA2CFull,1050,J01,-287.8
2,FMA2CFull,1050,top_mgr,0.0
3,FMA2CFull,50,J01,-635.6
3,FMA2CFull,50,top_mgr,4.0
3,FMA2CFull,100,J01,-494.4
3,FMA2CFull,100,top_mgr,2.0
3,FMA2CFull,150,J01,-585.2
3,FMA2CFull,150,top_mgr,4.0
3,FMA2CFull,200,J01,-810.4
3,FMA2CFull,200,top_mgr,1.0
3,FMA2CFull,250,J01,-584.8
3,FMA2CFull,250,top_mgr,6.0
3,FMA2CFull,300,J01,-1003.4
3,FMA2CFull,300,top_mgr,0.0
3,FMA2CFull,350,J01,-526.8
3,FMA2CFull,350,top_mgr,9.0
