5.0, {'J01': -0.0, 'top_mgr': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -2.0, 'top_mgr': 0}, {'J01': 1}, {'J01': 1}, 
15.0, {'J01': -11.6, 'top_mgr': 3}, {'J01': 3}, {'J01': 5}, 
20.0, {'J01': -19.2, 'top_mgr': 2}, {'J01': 4}, {'J01': 5}, 
25.0, {'J01': -30.2, 'top_mgr': 3}, {'J01': 4}, {'J01': 7}, 
30.0, {'J01': -36.6, 'top_mgr': 4}, {'J01': 4}, {'J01': 6}, 
35.0, {'J01': -51.4, 'top_mgr': 3}, {'J01': 4}, {'J01': 7}, 
40.0, {'J01': -74.6, 'top_mgr': 1}, {'J01': 4}, {'J01': 11}, 
45.0, {'J01': -69.0, 'top_mgr': 3}, {'J01': 3}, {'J01': 13}, 
50.0, {'J01': -107.8, 'top_mgr': 3}, {'J01': 4}, {'J01': 20}, 
55.0, {'J01': -129.4, 'top_mgr': 2}, {'J01': 6}, {'J01': 25}, 
60.0, {'J01': -125.6, 'top_mgr': 6}, {'J01': 6}, {'J01': 24}, 
65.0, {'J01': -131.60000000000002, 'top_mgr': 6}, {'J01': 5}, {'J01': 21}, 
70.0, {'J01': -172.60000000000002, 'top_mgr': 0}, {'J01': 5}, {'J01': 26}, 
75.0, {'J01': -163.0, 'top_mgr': 7}, {'J01': 4}, {'J01': 21}, 
80.0, {'J01': -194.2, 'top_mgr': 3}, {'J01': 4}, {'J01': 19}, 
85.0, {'J01': -239.00000000000003, 'top_mgr': 0}, {'J01': 4}, {'J01': 26}, 
90.0, {'J01': -225.4, 'top_mgr': 4}, {'J01': 7}, {'J01': 29}, 
95.0, {'J01': -233.80000000000004, 'top_mgr': 4}, {'J01': 7}, {'J01': 28}, 
100.0, {'J01': -271.40000000000003, 'top_mgr': 1}, {'J01': 7}, {'J01': 30}, 
105.0, {'J01': -269.8, 'top_mgr': 6}, {'J01': 7}, {'J01': 30}, 
110.0, {'J01': -186.20000000000002, 'top_mgr': 6}, {'J01': 7}, {'J01': 26}, 
115.0, {'J01': -216.2, 'top_mgr': 3}, {'J01': 7}, {'J01': 30}, 
120.0, {'J01': -250.6, 'top_mgr': 2}, {'J01': 7}, {'J01': 33}, 
125.0, {'J01': -255.8, 'top_mgr': 3}, {'J01': 7}, {'J01': 32}, 
130.0, {'J01': -275.6, 'top_mgr': 4}, {'J01': 7}, {'J01': 30}, 
135.0, {'J01': -312.20000000000005, 'top_mgr': 3}, {'J01': 7}, {'J01': 34}, 
140.0, {'J01': -336.2000000000001, 'top_mgr': 2}, {'J01': 7}, {'J01': 35}, 
145.0, {'J01': -344.00000000000006, 'top_mgr': 6}, {'J01': 7}, {'J01': 34}, 
150.0, {'J01': -380.0000000000001, 'top_mgr': 2}, {'J01': 7}, {'J01': 38}, 
155.0, {'J01': -424.0000000000001, 'top_mgr': 0}, {'J01': 7}, {'J01': 42}, 
160.0, {'J01': -461.6, 'top_mgr': 2}, {'J01': 7}, {'J01': 42}, 
165.0, {'J01': -436.2, 'top_mgr': 5}, {'J01': 7}, {'J01': 39}, 
170.0, {'J01': -465.00000000000006, 'top_mgr': 2}, {'J01': 8}, {'J01': 41}, 
175.0, {'J01': -484.40000000000003, 'top_mgr': 4}, {'J01': 10}, {'J01': 41}, 
180.0, {'J01': -477.80000000000007, 'top_mgr': 4}, {'J01': 10}, {'J01': 40}, 
185.0, {'J01': -513.8000000000001, 'top_mgr': 0}, {'J01': 10}, {'J01': 44}, 
190.0, {'J01': -547.8000000000001, 'top_mgr': 0}, {'J01': 11}, {'J01': 46}, 
195.0, {'J01': -465.00000000000006, 'top_mgr': 13}, {'J01': 8}, {'J01': 34}, 
200.0, {'J01': -493.0, 'top_mgr': 2}, {'J01': 8}, {'J01': 33}, 
205.0, {'J01': -390.20000000000005, 'top_mgr': 10}, {'J01': 5}, {'J01': 24}, 
210.0, {'J01': -291.40000000000003, 'top_mgr': 16}, {'J01': 4}, {'J01': 11}, 
215.0, {'J01': -183.2, 'top_mgr': 6}, {'J01': 4}, {'J01': 11}, 
220.0, {'J01': -197.8, 'top_mgr': 2}, {'J01': 4}, {'J01': 18}, 
225.0, {'J01': -234.0, 'top_mgr': 0}, {'J01': 7}, {'J01': 27}, 
230.0, {'J01': -268.2, 'top_mgr': 1}, {'J01': 7}, {'J01': 29}, 
235.0, {'J01': -305.2, 'top_mgr': 0}, {'J01': 7}, {'J01': 30}, 
240.0, {'J01': -344.2, 'top_mgr': 0}, {'J01': 7}, {'J01': 33}, 
245.0, {'J01': -366.8, 'top_mgr': 2}, {'J01': 7}, {'J01': 35}, 
250.0, {'J01': -370.20000000000005, 'top_mgr': 6}, {'J01': 7}, {'J01': 29}, 
255.0, {'J01': -406.80000000000007, 'top_mgr': 3}, {'J01': 7}, {'J01': 27}, 
260.0, {'J01': -434.00000000000006, 'top_mgr': 1}, {'J01': 7}, {'J01': 31}, 
265.0, {'J01': -477.00000000000006, 'top_mgr': 0}, {'J01': 7}, {'J01': 34}, 
270.0, {'J01': -520.0000000000001, 'top_mgr': 0}, {'J01': 7}, {'J01': 37}, 
275.0, {'J01': -476.4000000000001, 'top_mgr': 4}, {'J01': 7}, {'J01': 34}, 
280.0, {'J01': -371.00000000000006, 'top_mgr': 7}, {'J01': 7}, {'J01': 28}, 
285.0, {'J01': -405.6000000000001, 'top_mgr': 0}, {'J01': 7}, {'J01': 30}, 
290.0, {'J01': -447.8000000000001, 'top_mgr': 0}, {'J01': 7}, {'J01': 36}, 
295.0, {'J01': -491.0000000000001, 'top_mgr': 1}, {'J01': 7}, {'J01': 39}, 
300.0, {'J01': -505.40000000000003, 'top_mgr': 2}, {'J01': 7}, {'J01': 39}, 
305.0, {'J01': -524.4000000000001, 'top_mgr': 4}, {'J01': 7}, {'J01': 35}, 
310.0, {'J01': -564.0000000000001, 'top_mgr': 1}, {'J01': 7}, {'J01': 38}, 
315.0, {'J01': -602.4000000000001, 'top_mgr': 1}, {'J01': 7}, {'J01': 40}, 
320.0, {'J01': -447.8, 'top_mgr': 9}, {'J01': 6}, {'J01': 32}, 
325.0, {'J01': -443.6000000000001, 'top_mgr': 6}, {'J01': 5}, {'J01': 29}, 
330.0, {'J01': -458.20000000000005, 'top_mgr': 2}, {'J01': 6}, {'J01': 33}, 
