5.0, {'J01': np.float32(0.0)}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': np.float32(0.0)}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': np.float32(-0.035714287)}, {'J01': 1}, {'J01': 4}, 
20.0, {'J01': np.float32(-0.22321428)}, {'J01': 2}, {'J01': 6}, 
25.0, {'J01': np.float32(-0.42410713)}, {'J01': 3}, {'J01': 9}, 
30.0, {'J01': np.float32(-0.66071427)}, {'J01': 4}, {'J01': 10}, 
35.0, {'J01': np.float32(-1.1808035)}, {'J01': 5}, {'J01': 16}, 
40.0, {'J01': np.float32(-1.9486607)}, {'J01': 6}, {'J01': 22}, 
45.0, {'J01': np.float32(-2.1473215)}, {'J01': 7}, {'J01': 24}, 
50.0, {'J01': np.float32(-2.033482)}, {'J01': 6}, {'J01': 20}, 
55.0, {'J01': np.float32(-2.9419644)}, {'J01': 6}, {'J01': 26}, 
60.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 33}, 
65.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 34}, 
70.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 34}, 
75.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 34}, 
80.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 30}, 
85.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 29}, 
90.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 30}, 
95.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 35}, 
100.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 35}, 
105.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 35}, 
110.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 38}, 
115.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 39}, 
120.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 42}, 
125.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 43}, 
130.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 39}, 
135.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 39}, 
140.0, {'J01': np.float32(-4.0)}, {'J01': 9}, {'J01': 44}, 
145.0, {'J01': np.float32(-4.0)}, {'J01': 10}, {'J01': 48}, 
150.0, {'J01': np.float32(-4.0)}, {'J01': 11}, {'J01': 52}, 
155.0, {'J01': np.float32(-4.0)}, {'J01': 11}, {'J01': 52}, 
160.0, {'J01': np.float32(-4.0)}, {'J01': 13}, {'J01': 55}, 
165.0, {'J01': np.float32(-4.0)}, {'J01': 13}, {'J01': 55}, 
170.0, {'J01': np.float32(-4.0)}, {'J01': 13}, {'J01': 52}, 
175.0, {'J01': np.float32(-4.0)}, {'J01': 16}, {'J01': 53}, 
180.0, {'J01': np.float32(-4.0)}, {'J01': 17}, {'J01': 56}, 
185.0, {'J01': np.float32(-4.0)}, {'J01': 17}, {'J01': 55}, 
190.0, {'J01': np.float32(-4.0)}, {'J01': 17}, {'J01': 54}, 
195.0, {'J01': np.float32(-4.0)}, {'J01': 18}, {'J01': 59}, 
200.0, {'J01': np.float32(-4.0)}, {'J01': 18}, {'J01': 61}, 
205.0, {'J01': np.float32(-4.0)}, {'J01': 18}, {'J01': 61}, 
210.0, {'J01': np.float32(-4.0)}, {'J01': 18}, {'J01': 61}, 
215.0, {'J01': np.float32(-4.0)}, {'J01': 19}, {'J01': 62}, 
220.0, {'J01': np.float32(-4.0)}, {'J01': 20}, {'J01': 63}, 
225.0, {'J01': np.float32(-4.0)}, {'J01': 20}, {'J01': 63}, 
230.0, {'J01': np.float32(-4.0)}, {'J01': 20}, {'J01': 63}, 
235.0, {'J01': np.float32(-4.0)}, {'J01': 20}, {'J01': 63}, 
240.0, {'J01': np.float32(-4.0)}, {'J01': 21}, {'J01': 64}, 
245.0, {'J01': np.float32(-4.0)}, {'J01': 21}, {'J01': 65}, 
250.0, {'J01': np.float32(-4.0)}, {'J01': 21}, {'J01': 62}, 
255.0, {'J01': np.float32(-4.0)}, {'J01': 20}, {'J01': 62}, 
260.0, {'J01': np.float32(-4.0)}, {'J01': 20}, {'J01': 64}, 
265.0, {'J01': np.float32(-4.0)}, {'J01': 20}, {'J01': 64}, 
270.0, {'J01': np.float32(-4.0)}, {'J01': 22}, {'J01': 66}, 
275.0, {'J01': np.float32(-4.0)}, {'J01': 23}, {'J01': 69}, 
280.0, {'J01': np.float32(-4.0)}, {'J01': 23}, {'J01': 71}, 
285.0, {'J01': np.float32(-4.0)}, {'J01': 24}, {'J01': 72}, 
290.0, {'J01': np.float32(-4.0)}, {'J01': 27}, {'J01': 75}, 
295.0, {'J01': np.float32(-4.0)}, {'J01': 27}, {'J01': 76}, 
300.0, {'J01': np.float32(-4.0)}, {'J01': 27}, {'J01': 76}, 
305.0, {'J01': np.float32(-4.0)}, {'J01': 27}, {'J01': 76}, 
310.0, {'J01': np.float32(-4.0)}, {'J01': 28}, {'J01': 77}, 
315.0, {'J01': np.float32(-4.0)}, {'J01': 25}, {'J01': 66}, 
320.0, {'J01': np.float32(-4.0)}, {'J01': 25}, {'J01': 64}, 
325.0, {'J01': np.float32(-4.0)}, {'J01': 25}, {'J01': 68}, 
330.0, {'J01': np.float32(-4.0)}, {'J01': 25}, {'J01': 73}, 
335.0, {'J01': np.float32(-4.0)}, {'J01': 25}, {'J01': 77}, 
340.0, {'J01': np.float32(-4.0)}, {'J01': 28}, {'J01': 78}, 
345.0, {'J01': np.float32(-4.0)}, {'J01': 28}, {'J01': 80}, 
350.0, {'J01': np.float32(-4.0)}, {'J01': 28}, {'J01': 80}, 
355.0, {'J01': np.float32(-4.0)}, {'J01': 30}, {'J01': 82}, 
360.0, {'J01': np.float32(-4.0)}, {'J01': 30}, {'J01': 82}, 
365.0, {'J01': np.float32(-4.0)}, {'J01': 30}, {'J01': 82}, 
370.0, {'J01': np.float32(-4.0)}, {'J01': 30}, {'J01': 82}, 
375.0, {'J01': np.float32(-4.0)}, {'J01': 30}, {'J01': 82}, 
380.0, {'J01': np.float32(-4.0)}, {'J01': 31}, {'J01': 83}, 
385.0, {'J01': np.float32(-4.0)}, {'J01': 31}, {'J01': 83}, 
390.0, {'J01': np.float32(-4.0)}, {'J01': 32}, {'J01': 85}, 
395.0, {'J01': np.float32(-4.0)}, {'J01': 32}, {'J01': 86}, 
400.0, {'J01': np.float32(-4.0)}, {'J01': 33}, {'J01': 87}, 
405.0, {'J01': np.float32(-4.0)}, {'J01': 33}, {'J01': 81}, 
410.0, {'J01': np.float32(-4.0)}, {'J01': 33}, {'J01': 75}, 
415.0, {'J01': np.float32(-4.0)}, {'J01': 33}, {'J01': 79}, 
420.0, {'J01': np.float32(-4.0)}, {'J01': 33}, {'J01': 84}, 
425.0, {'J01': np.float32(-4.0)}, {'J01': 33}, {'J01': 89}, 
430.0, {'J01': np.float32(-4.0)}, {'J01': 33}, {'J01': 89}, 
435.0, {'J01': np.float32(-4.0)}, {'J01': 34}, {'J01': 90}, 
440.0, {'J01': np.float32(-4.0)}, {'J01': 35}, {'J01': 91}, 
445.0, {'J01': np.float32(-4.0)}, {'J01': 35}, {'J01': 91}, 
450.0, {'J01': np.float32(-4.0)}, {'J01': 36}, {'J01': 92}, 
455.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 95}, 
460.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 95}, 
465.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 95}, 
470.0, {'J01': np.float32(-4.0)}, {'J01': 36}, {'J01': 87}, 
475.0, {'J01': np.float32(-4.0)}, {'J01': 33}, {'J01': 78}, 
480.0, {'J01': np.float32(-4.0)}, {'J01': 33}, {'J01': 81}, 
485.0, {'J01': np.float32(-4.0)}, {'J01': 33}, {'J01': 86}, 
490.0, {'J01': np.float32(-4.0)}, {'J01': 33}, {'J01': 91}, 
495.0, {'J01': np.float32(-4.0)}, {'J01': 33}, {'J01': 91}, 
500.0, {'J01': np.float32(-4.0)}, {'J01': 37}, {'J01': 95}, 
505.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 97}, 
510.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 98}, 
515.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 99}, 
520.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 100}, 
525.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 100}, 
530.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 100}, 
535.0, {'J01': np.float32(-4.0)}, {'J01': 36}, {'J01': 88}, 
540.0, {'J01': np.float32(-4.0)}, {'J01': 35}, {'J01': 83}, 
545.0, {'J01': np.float32(-4.0)}, {'J01': 35}, {'J01': 87}, 
550.0, {'J01': np.float32(-4.0)}, {'J01': 35}, {'J01': 90}, 
555.0, {'J01': np.float32(-4.0)}, {'J01': 35}, {'J01': 96}, 
560.0, {'J01': np.float32(-4.0)}, {'J01': 35}, {'J01': 98}, 
565.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 101}, 
570.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 101}, 
575.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 101}, 
580.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 101}, 
585.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 102}, 
590.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 102}, 
595.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 102}, 
600.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 102}, 
605.0, {'J01': np.float32(-4.0)}, {'J01': 36}, {'J01': 92}, 
610.0, {'J01': np.float32(-4.0)}, {'J01': 35}, {'J01': 87}, 
615.0, {'J01': np.float32(-4.0)}, {'J01': 35}, {'J01': 92}, 
620.0, {'J01': np.float32(-4.0)}, {'J01': 35}, {'J01': 96}, 
625.0, {'J01': np.float32(-4.0)}, {'J01': 35}, {'J01': 102}, 
630.0, {'J01': np.float32(-4.0)}, {'J01': 35}, {'J01': 102}, 
635.0, {'J01': np.float32(-4.0)}, {'J01': 37}, {'J01': 105}, 
640.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 107}, 
645.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 107}, 
650.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 108}, 
655.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 108}, 
660.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 108}, 
665.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 109}, 
670.0, {'J01': np.float32(-4.0)}, {'J01': 36}, {'J01': 100}, 
675.0, {'J01': np.float32(-4.0)}, {'J01': 34}, {'J01': 95}, 
680.0, {'J01': np.float32(-4.0)}, {'J01': 34}, {'J01': 100}, 
685.0, {'J01': np.float32(-4.0)}, {'J01': 34}, {'J01': 102}, 
690.0, {'J01': np.float32(-4.0)}, {'J01': 34}, {'J01': 108}, 
695.0, {'J01': np.float32(-4.0)}, {'J01': 34}, {'J01': 108}, 
700.0, {'J01': np.float32(-4.0)}, {'J01': 37}, {'J01': 112}, 
705.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 113}, 
710.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 113}, 
715.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 113}, 
720.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 113}, 
725.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 114}, 
730.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 114}, 
735.0, {'J01': np.float32(-4.0)}, {'J01': 36}, {'J01': 106}, 
740.0, {'J01': np.float32(-4.0)}, {'J01': 34}, {'J01': 99}, 
745.0, {'J01': np.float32(-4.0)}, {'J01': 34}, {'J01': 103}, 
750.0, {'J01': np.float32(-4.0)}, {'J01': 34}, {'J01': 108}, 
755.0, {'J01': np.float32(-4.0)}, {'J01': 34}, {'J01': 112}, 
760.0, {'J01': np.float32(-4.0)}, {'J01': 34}, {'J01': 112}, 
765.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 107}, 
770.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 108}, 
775.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 110}, 
780.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 112}, 
785.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 114}, 
790.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 114}, 
795.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 114}, 
800.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 115}, 
805.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 115}, 
810.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 116}, 
815.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 116}, 
820.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 116}, 
825.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 116}, 
830.0, {'J01': np.float32(-4.0)}, {'J01': 37}, {'J01': 108}, 
835.0, {'J01': np.float32(-4.0)}, {'J01': 35}, {'J01': 100}, 
840.0, {'J01': np.float32(-4.0)}, {'J01': 35}, {'J01': 103}, 
845.0, {'J01': np.float32(-4.0)}, {'J01': 35}, {'J01': 106}, 
850.0, {'J01': np.float32(-4.0)}, {'J01': 35}, {'J01': 112}, 
855.0, {'J01': np.float32(-4.0)}, {'J01': 35}, {'J01': 112}, 
860.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 116}, 
865.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 116}, 
870.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 116}, 
875.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 116}, 
880.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 116}, 
885.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 116}, 
890.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 116}, 
895.0, {'J01': np.float32(-4.0)}, {'J01': 36}, {'J01': 108}, 
900.0, {'J01': np.float32(-4.0)}, {'J01': 34}, {'J01': 100}, 
905.0, {'J01': np.float32(-4.0)}, {'J01': 34}, {'J01': 104}, 
910.0, {'J01': np.float32(-4.0)}, {'J01': 34}, {'J01': 108}, 
915.0, {'J01': np.float32(-4.0)}, {'J01': 34}, {'J01': 113}, 
920.0, {'J01': np.float32(-4.0)}, {'J01': 34}, {'J01': 113}, 
925.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 118}, 
930.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 118}, 
935.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 118}, 
940.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 118}, 
945.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 118}, 
950.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 118}, 
955.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 118}, 
960.0, {'J01': np.float32(-4.0)}, {'J01': 36}, {'J01': 109}, 
965.0, {'J01': np.float32(-4.0)}, {'J01': 34}, {'J01': 102}, 
970.0, {'J01': np.float32(-4.0)}, {'J01': 34}, {'J01': 106}, 
975.0, {'J01': np.float32(-4.0)}, {'J01': 34}, {'J01': 109}, 
980.0, {'J01': np.float32(-4.0)}, {'J01': 34}, {'J01': 115}, 
985.0, {'J01': np.float32(-4.0)}, {'J01': 34}, {'J01': 115}, 
990.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 120}, 
995.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 120}, 
1000.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 120}, 
1005.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 121}, 
1010.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 121}, 
1015.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 121}, 
1020.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 121}, 
1025.0, {'J01': np.float32(-4.0)}, {'J01': 36}, {'J01': 111}, 
1030.0, {'J01': np.float32(-4.0)}, {'J01': 34}, {'J01': 105}, 
1035.0, {'J01': np.float32(-4.0)}, {'J01': 34}, {'J01': 109}, 
1040.0, {'J01': np.float32(-4.0)}, {'J01': 34}, {'J01': 113}, 
1045.0, {'J01': np.float32(-4.0)}, {'J01': 34}, {'J01': 118}, 
1050.0, {'J01': np.float32(-4.0)}, {'J01': 34}, {'J01': 118}, 
1055.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 123}, 
1060.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 123}, 
1065.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 123}, 
1070.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 123}, 
1075.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 123}, 
1080.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 123}, 
1085.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 123}, 
1090.0, {'J01': np.float32(-4.0)}, {'J01': 37}, {'J01': 114}, 
1095.0, {'J01': np.float32(-4.0)}, {'J01': 36}, {'J01': 109}, 
1100.0, {'J01': np.float32(-4.0)}, {'J01': 36}, {'J01': 113}, 
1105.0, {'J01': np.float32(-4.0)}, {'J01': 36}, {'J01': 116}, 
1110.0, {'J01': np.float32(-4.0)}, {'J01': 37}, {'J01': 121}, 
1115.0, {'J01': np.float32(-4.0)}, {'J01': 37}, {'J01': 121}, 
1120.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 123}, 
1125.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 123}, 
1130.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 123}, 
1135.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 123}, 
1140.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 123}, 
1145.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 123}, 
1150.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 123}, 
1155.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 116}, 
1160.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 114}, 
1165.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 118}, 
1170.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 122}, 
1175.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 126}, 
1180.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 126}, 
1185.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 126}, 
1190.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 126}, 
1195.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 127}, 
1200.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 127}, 
1205.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 127}, 
1210.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 127}, 
1215.0, {'J01': np.float32(-4.0)}, {'J01': 39}, {'J01': 127}, 
1220.0, {'J01': np.float32(-4.0)}, {'J01': 37}, {'J01': 120}, 
1225.0, {'J01': np.float32(-4.0)}, {'J01': 37}, {'J01': 117}, 
1230.0, {'J01': np.float32(-4.0)}, {'J01': 37}, {'J01': 119}, 
1235.0, {'J01': np.float32(-4.0)}, {'J01': 37}, {'J01': 121}, 
1240.0, {'J01': np.float32(-4.0)}, {'J01': 33}, {'J01': 120}, 
1245.0, {'J01': np.float32(-4.0)}, {'J01': 33}, {'J01': 121}, 
1250.0, {'J01': np.float32(-4.0)}, {'J01': 35}, {'J01': 123}, 
1255.0, {'J01': np.float32(-4.0)}, {'J01': 35}, {'J01': 123}, 
1260.0, {'J01': np.float32(-4.0)}, {'J01': 35}, {'J01': 123}, 
1265.0, {'J01': np.float32(-4.0)}, {'J01': 35}, {'J01': 124}, 
1270.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 127}, 
1275.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 127}, 
1280.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 127}, 
1285.0, {'J01': np.float32(-4.0)}, {'J01': 36}, {'J01': 116}, 
1290.0, {'J01': np.float32(-4.0)}, {'J01': 33}, {'J01': 111}, 
1295.0, {'J01': np.float32(-4.0)}, {'J01': 33}, {'J01': 114}, 
1300.0, {'J01': np.float32(-4.0)}, {'J01': 33}, {'J01': 116}, 
1305.0, {'J01': np.float32(-4.0)}, {'J01': 33}, {'J01': 122}, 
1310.0, {'J01': np.float32(-4.0)}, {'J01': 33}, {'J01': 122}, 
1315.0, {'J01': np.float32(-4.0)}, {'J01': 37}, {'J01': 126}, 
1320.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 127}, 
1325.0, {'J01': np.float32(-4.0)}, {'J01': 38}, {'J01': 127}, 
