5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -7.0}, {'J01': 1}, {'J01': 3}, 
20.0, {'J01': -40.0}, {'J01': 2}, {'J01': 4}, 
25.0, {'J01': -82.5}, {'J01': 3}, {'J01': 5}, 
30.0, {'J01': -139.0}, {'J01': 4}, {'J01': 8}, 
35.0, {'J01': -223.5}, {'J01': 4}, {'J01': 9}, 
40.0, {'J01': -313.5}, {'J01': 4}, {'J01': 9}, 
45.0, {'J01': -410.0}, {'J01': 4}, {'J01': 11}, 
50.0, {'J01': -485.0}, {'J01': 4}, {'J01': 13}, 
55.0, {'J01': -623.5}, {'J01': 4}, {'J01': 17}, 
60.0, {'J01': -733.5}, {'J01': 4}, {'J01': 19}, 
65.0, {'J01': -855.5}, {'J01': 4}, {'J01': 16}, 
70.0, {'J01': -1016.0}, {'J01': 4}, {'J01': 17}, 
75.0, {'J01': -1186.0}, {'J01': 4}, {'J01': 17}, 
80.0, {'J01': -1358.0}, {'J01': 4}, {'J01': 18}, 
85.0, {'J01': -990.0}, {'J01': 3}, {'J01': 14}, 
90.0, {'J01': -974.0}, {'J01': 3}, {'J01': 16}, 
95.0, {'J01': -1095.0}, {'J01': 3}, {'J01': 20}, 
100.0, {'J01': -1268.5}, {'J01': 4}, {'J01': 21}, 
105.0, {'J01': -1435.5}, {'J01': 4}, {'J01': 19}, 
110.0, {'J01': -1625.5}, {'J01': 4}, {'J01': 19}, 
115.0, {'J01': -1591.5}, {'J01': 3}, {'J01': 19}, 
120.0, {'J01': -1607.5}, {'J01': 3}, {'J01': 21}, 
125.0, {'J01': -1822.5}, {'J01': 5}, {'J01': 30}, 
130.0, {'J01': -2075.5}, {'J01': 6}, {'J01': 30}, 
135.0, {'J01': -2241.5}, {'J01': 5}, {'J01': 26}, 
140.0, {'J01': -2391.0}, {'J01': 5}, {'J01': 24}, 
145.0, {'J01': -2261.5}, {'J01': 3}, {'J01': 21}, 
150.0, {'J01': -2490.5}, {'J01': 4}, {'J01': 31}, 
155.0, {'J01': -2758.5}, {'J01': 6}, {'J01': 34}, 
160.0, {'J01': -3024.5}, {'J01': 6}, {'J01': 32}, 
165.0, {'J01': -3171.5}, {'J01': 4}, {'J01': 27}, 
170.0, {'J01': -3315.0}, {'J01': 4}, {'J01': 23}, 
175.0, {'J01': -3516.0}, {'J01': 4}, {'J01': 23}, 
180.0, {'J01': -2854.5}, {'J01': 5}, {'J01': 21}, 
185.0, {'J01': -2757.0}, {'J01': 5}, {'J01': 23}, 
190.0, {'J01': -3014.0}, {'J01': 6}, {'J01': 34}, 
195.0, {'J01': -3259.5}, {'J01': 7}, {'J01': 32}, 
200.0, {'J01': -3432.0}, {'J01': 7}, {'J01': 29}, 
205.0, {'J01': -3547.5}, {'J01': 7}, {'J01': 24}, 
210.0, {'J01': -3669.0}, {'J01': 7}, {'J01': 22}, 
215.0, {'J01': -3889.0}, {'J01': 7}, {'J01': 22}, 
220.0, {'J01': -4109.0}, {'J01': 7}, {'J01': 22}, 
225.0, {'J01': -4330.0}, {'J01': 7}, {'J01': 23}, 
230.0, {'J01': -4560.0}, {'J01': 7}, {'J01': 23}, 
235.0, {'J01': -4790.0}, {'J01': 7}, {'J01': 23}, 
240.0, {'J01': -5020.0}, {'J01': 7}, {'J01': 23}, 
245.0, {'J01': -4590.5}, {'J01': 7}, {'J01': 23}, 
250.0, {'J01': -4634.0}, {'J01': 7}, {'J01': 25}, 
255.0, {'J01': -4830.5}, {'J01': 7}, {'J01': 27}, 
260.0, {'J01': -5032.5}, {'J01': 7}, {'J01': 29}, 
265.0, {'J01': -5225.5}, {'J01': 7}, {'J01': 25}, 
270.0, {'J01': -5404.5}, {'J01': 7}, {'J01': 23}, 
275.0, {'J01': -5608.5}, {'J01': 7}, {'J01': 24}, 
280.0, {'J01': -5848.5}, {'J01': 7}, {'J01': 24}, 
285.0, {'J01': -5081.5}, {'J01': 7}, {'J01': 22}, 
290.0, {'J01': -4927.5}, {'J01': 7}, {'J01': 26}, 
295.0, {'J01': -5204.0}, {'J01': 7}, {'J01': 33}, 
300.0, {'J01': -5546.0}, {'J01': 7}, {'J01': 37}, 
305.0, {'J01': -5715.0}, {'J01': 7}, {'J01': 32}, 
310.0, {'J01': -5733.5}, {'J01': 7}, {'J01': 22}, 
315.0, {'J01': -5923.0}, {'J01': 7}, {'J01': 22}, 
320.0, {'J01': -6144.5}, {'J01': 7}, {'J01': 23}, 
325.0, {'J01': -6375.5}, {'J01': 7}, {'J01': 24}, 
330.0, {'J01': -6616.5}, {'J01': 7}, {'J01': 25}, 
335.0, {'J01': -6866.5}, {'J01': 7}, {'J01': 25}, 
340.0, {'J01': -6165.0}, {'J01': 7}, {'J01': 21}, 
345.0, {'J01': -6009.5}, {'J01': 7}, {'J01': 22}, 
350.0, {'J01': -6235.5}, {'J01': 7}, {'J01': 25}, 
355.0, {'J01': -6456.5}, {'J01': 7}, {'J01': 26}, 
360.0, {'J01': -6623.5}, {'J01': 7}, {'J01': 23}, 
365.0, {'J01': -6853.5}, {'J01': 7}, {'J01': 23}, 
370.0, {'J01': -7085.5}, {'J01': 7}, {'J01': 24}, 
375.0, {'J01': -7084.5}, {'J01': 7}, {'J01': 24}, 
380.0, {'J01': -6868.5}, {'J01': 7}, {'J01': 23}, 
385.0, {'J01': -6744.0}, {'J01': 7}, {'J01': 26}, 
390.0, {'J01': -6983.0}, {'J01': 7}, {'J01': 29}, 
395.0, {'J01': -7212.0}, {'J01': 7}, {'J01': 30}, 
400.0, {'J01': -7352.5}, {'J01': 7}, {'J01': 25}, 
405.0, {'J01': -7569.0}, {'J01': 7}, {'J01': 25}, 
410.0, {'J01': -7819.0}, {'J01': 7}, {'J01': 25}, 
415.0, {'J01': -8069.0}, {'J01': 7}, {'J01': 25}, 
420.0, {'J01': -8150.0}, {'J01': 7}, {'J01': 25}, 
425.0, {'J01': -8339.5}, {'J01': 7}, {'J01': 29}, 
430.0, {'J01': -8643.5}, {'J01': 7}, {'J01': 37}, 
435.0, {'J01': -8836.5}, {'J01': 7}, {'J01': 30}, 
440.0, {'J01': -9072.5}, {'J01': 7}, {'J01': 27}, 
445.0, {'J01': -9311.5}, {'J01': 7}, {'J01': 26}, 
450.0, {'J01': -9572.5}, {'J01': 7}, {'J01': 27}, 
455.0, {'J01': -8941.0}, {'J01': 7}, {'J01': 26}, 
460.0, {'J01': -8993.0}, {'J01': 7}, {'J01': 28}, 
465.0, {'J01': -9288.5}, {'J01': 7}, {'J01': 34}, 
470.0, {'J01': -9496.0}, {'J01': 7}, {'J01': 27}, 
475.0, {'J01': -9744.5}, {'J01': 7}, {'J01': 26}, 
480.0, {'J01': -10004.5}, {'J01': 7}, {'J01': 26}, 
485.0, {'J01': -10264.5}, {'J01': 7}, {'J01': 26}, 
490.0, {'J01': -9616.5}, {'J01': 7}, {'J01': 24}, 
495.0, {'J01': -9618.0}, {'J01': 7}, {'J01': 26}, 
500.0, {'J01': -9902.0}, {'J01': 7}, {'J01': 35}, 
505.0, {'J01': -10079.0}, {'J01': 7}, {'J01': 27}, 
510.0, {'J01': -10213.5}, {'J01': 7}, {'J01': 23}, 
515.0, {'J01': -10448.0}, {'J01': 7}, {'J01': 24}, 
520.0, {'J01': -8606.5}, {'J01': 7}, {'J01': 25}, 
525.0, {'J01': -6875.0}, {'J01': 7}, {'J01': 22}, 
530.0, {'J01': -7106.0}, {'J01': 7}, {'J01': 27}, 
535.0, {'J01': -7329.0}, {'J01': 7}, {'J01': 29}, 
540.0, {'J01': -7545.0}, {'J01': 7}, {'J01': 27}, 
545.0, {'J01': -7739.5}, {'J01': 7}, {'J01': 24}, 
550.0, {'J01': -7979.5}, {'J01': 7}, {'J01': 24}, 
555.0, {'J01': -7889.0}, {'J01': 7}, {'J01': 25}, 
560.0, {'J01': -7767.5}, {'J01': 7}, {'J01': 26}, 
565.0, {'J01': -8048.5}, {'J01': 7}, {'J01': 32}, 
570.0, {'J01': -8376.5}, {'J01': 7}, {'J01': 34}, 
575.0, {'J01': -8586.0}, {'J01': 7}, {'J01': 30}, 
580.0, {'J01': -8681.0}, {'J01': 7}, {'J01': 24}, 
585.0, {'J01': -8921.0}, {'J01': 7}, {'J01': 24}, 
590.0, {'J01': -7981.5}, {'J01': 7}, {'J01': 25}, 
595.0, {'J01': -7727.0}, {'J01': 7}, {'J01': 28}, 
600.0, {'J01': -8014.0}, {'J01': 7}, {'J01': 30}, 
605.0, {'J01': -8159.5}, {'J01': 7}, {'J01': 29}, 
610.0, {'J01': -8405.5}, {'J01': 7}, {'J01': 28}, 
615.0, {'J01': -8527.0}, {'J01': 7}, {'J01': 24}, 
620.0, {'J01': -8767.0}, {'J01': 7}, {'J01': 24}, 
625.0, {'J01': -9007.5}, {'J01': 7}, {'J01': 25}, 
630.0, {'J01': -7655.5}, {'J01': 7}, {'J01': 20}, 
635.0, {'J01': -7618.0}, {'J01': 7}, {'J01': 23}, 
640.0, {'J01': -7838.5}, {'J01': 7}, {'J01': 26}, 
645.0, {'J01': -8007.0}, {'J01': 7}, {'J01': 26}, 
650.0, {'J01': -8142.5}, {'J01': 7}, {'J01': 21}, 
655.0, {'J01': -8314.5}, {'J01': 7}, {'J01': 21}, 
660.0, {'J01': -8463.0}, {'J01': 7}, {'J01': 21}, 
665.0, {'J01': -8221.5}, {'J01': 7}, {'J01': 26}, 
670.0, {'J01': -8478.0}, {'J01': 7}, {'J01': 30}, 
675.0, {'J01': -8701.0}, {'J01': 7}, {'J01': 31}, 
680.0, {'J01': -8915.0}, {'J01': 7}, {'J01': 28}, 
685.0, {'J01': -9134.5}, {'J01': 7}, {'J01': 27}, 
690.0, {'J01': -9353.0}, {'J01': 7}, {'J01': 26}, 
695.0, {'J01': -9578.5}, {'J01': 7}, {'J01': 27}, 
700.0, {'J01': -9848.5}, {'J01': 7}, {'J01': 27}, 
705.0, {'J01': -10118.5}, {'J01': 7}, {'J01': 27}, 
710.0, {'J01': -10388.5}, {'J01': 7}, {'J01': 27}, 
715.0, {'J01': -10658.5}, {'J01': 7}, {'J01': 27}, 
720.0, {'J01': -10928.5}, {'J01': 7}, {'J01': 27}, 
725.0, {'J01': -7922.0}, {'J01': 6}, {'J01': 23}, 
730.0, {'J01': -7030.0}, {'J01': 5}, {'J01': 25}, 
735.0, {'J01': -7241.0}, {'J01': 5}, {'J01': 25}, 
740.0, {'J01': -6689.0}, {'J01': 7}, {'J01': 26}, 
745.0, {'J01': -6676.0}, {'J01': 7}, {'J01': 30}, 
750.0, {'J01': -6940.0}, {'J01': 7}, {'J01': 31}, 
755.0, {'J01': -7178.5}, {'J01': 7}, {'J01': 31}, 
760.0, {'J01': -7405.5}, {'J01': 7}, {'J01': 30}, 
